DAY,Temperature,N.Treatment,HOUR,MINUTE,Particles.per.ml,Hours.since.Innoc,day,log.Particles.per.ml
0,13,0,15,4,89,3.566666667,0.148611111125,4.499809670330265
0,13,11,15,6,30,3.6,0.15,3.4339872044851463
0,13,22,15,11,127,3.683333333,0.15347222220833334,4.852030263919617
0,13,33,15,15,61,3.75,0.15625,4.127134385045092
0,13,55,15,17,270,3.783333333,0.157638888875,5.602118820879701
0,13,110,15,20,102,3.833333333,0.15972222220833335,4.634728988229636
0,13,220,15,22,81,3.866666667,0.161111111125,4.406719247264253
0,13,440,15,26,498,3.933333333,0.163888888875,6.212606095751519
0,16,0,15,30,60,4,0.16666666666666666,4.110873864173311
0,16,11,15,32,59,4.033333333,0.16805555554166665,4.0943445622221
0,16,22,15,34,90,4.066666667,0.16944444445833332,4.51085950651685
0,16,33,15,37,154,4.116666667,0.17152777779166664,5.043425116919247
0,16,55,15,39,60,4.15,0.1729166666666667,4.110873864173311
0,16,110,15,41,59,4.183333333,0.17430555554166668,4.0943445622221
0,16,220,15,43,60,4.216666667,0.17569444445833335,4.110873864173311
0,16,440,15,46,181,4.266666667,0.17777777779166667,5.204006687076795
0,19,0,15,53,86,4.383333333,0.18263888887500002,4.465908118654584
0,19,11,15,55,0,4.416666667,0.18402777779166668,0
0,19,22,15,58,82,4.466666667,0.186111111125,4.418840607796598
0,19,33,16,0,204,4.5,0.1875,5.3230099791384085
0,19,55,16,2,0,4.533333333,0.188888888875,0
0,19,110,16,5,75,4.583333333,0.19097222220833332,4.330733340286331
0,19,220,16,7,31,4.616666667,0.19236111112499998,3.4657359027997265
0,19,440,16,11,30,4.683333333,0.195138888875,3.4339872044851463
0,22,0,16,19,123,4.816666667,0.20069444445833332,4.820281565605037
0,22,11,16,21,92,4.85,0.2020833333333333,4.532599493153256
0,22,22,16,24,147,4.9,0.2041666666666667,4.997212273764115
0,22,33,16,26,122,4.933333333,0.20555555554166668,4.812184355372417
0,22,55,16,28,120,4.966666667,0.20694444445833335,4.795790545596741
0,22,110,16,30,110,5,0.20833333333333334,4.709530201312334
