Temperature,run,term,estimate,std.error,statistic,p.value
13,1,ks,0,1.2943993589068294,0,1
13,1,umax,0.03595549327070425,0.0019017473739981604,18.906556024374996,7.626262101759823e-6
13,2,ks,0,1.0269228913827582,0,1
13,2,umax,0.03636245920890053,0.0015258447941046496,23.83103402744029,2.423431756953952e-6
13,3,ks,0,1.240368457149123,0,1
13,3,umax,0.03666755735188231,0.001858454570037206,19.730133812820743,6.176950546231755e-6
13,4,ks,0,1.0068372876346865,0,1
13,4,umax,0.03649730713139641,0.0015015486165793938,24.306443846313268,2.197115312767106e-6
13,5,ks,0,1.3483129279488582,0,1
13,5,umax,0.035831017127199036,0.00197409985174465,18.150559656611424,9.328937775076995e-6
13,6,ks,0,1.2213627071349884,0,1
13,6,umax,0.036721815165495726,0.0018326859473198646,20.037156512930117,5.72272575710362e-6
13,7,ks,0,1.2383818121564574,0,1
13,7,umax,0.036656622094916935,0.0018549245962349945,19.76178555684698,6.1281749751153875e-6
13,8,ks,0,0.9781026348552722,0,1
13,8,umax,0.036440452959378096,0.0014564227241430638,25.020519355614343,1.9029089517348142e-6
13,9,ks,0,1.2048236258959875,0,1
13,9,umax,0.03594038017236868,0.001769397530719807,20.312213365499503,5.349401968022193e-6
13,10,ks,0,1.0618331531883891,0,1
13,10,umax,0.03668786604694447,0.001591834899639707,23.047532162568075,2.8606287313589056e-6
13,11,ks,0,1.042247790667081,0,1
13,11,umax,0.03645927643792038,0.0015527384236723818,23.48063001602713,2.608268216197048e-6
13,12,ks,0,1.0365720472168714,0,1
13,12,umax,0.036466724687376675,0.0015445981852267893,23.609198195466195,2.538549652955525e-6
13,13,ks,0,1.092436469280187,0,1
13,13,umax,0.03587754939661297,0.001601541547802268,22.401884887623623,3.2934674961381512e-6
13,14,ks,0,0.9405469615669014,0,1
13,14,umax,0.03682961188019122,0.0014154576957288768,26.01957797207507,1.566585365080066e-6
13,15,ks,0,0.9893273105382885,0,1
13,15,umax,0.036403250099952086,0.0014716326430691978,24.736642171806164,2.013843095486514e-6
13,16,ks,0,1.1959017109061691,0,1
13,16,umax,0.03626404857903116,0.001772111609809814,20.463749787702753,5.156201650209345e-6
13,17,ks,0,1.3533098511031934,0,1
13,17,umax,0.03654126785296216,0.0020206920288817587,18.08354134656726,9.500829444002575e-6
13,18,ks,0,1.0355209110760393,0,1
13,18,umax,0.03654482817282791,0.001546336704499017,23.63316350604749,2.5258021637310508e-6
13,19,ks,0,0.9840031970314168,0,1
13,19,umax,0.03686116503437537,0.0014821249873198544,24.870483494804233,1.9606009672761418e-6
13,20,ks,0,1.119870758501062,0,1
13,20,umax,0.035921526201365926,0.0016437733358110464,21.853089728847596,3.7243030630043976e-6
13,21,ks,0,1.1452113407524112,0,1
13,21,umax,0.03676478551328513,0.0017204296654750948,21.369537070341423,4.160948245506297e-6
13,22,ks,0,1.1171089360879334,0,1
13,22,umax,0.03646961525593398,0.001664738443379685,21.90711423825525,3.6790095202705775e-6
13,23,ks,0,1.1877880917120613,0,1
13,23,umax,0.03605700911589018,0.0017500397719776909,20.603536955701728,4.9853497611143324e-6
13,24,ks,0,1.2669251302205862,0,1
13,24,umax,0.036148887123167016,0.0018713936372625785,19.316559810497477,6.8590587672983844e-6
13,25,ks,0,1.2069419935899688,0,1
13,25,umax,0.03628652377151607,0.0017895796023739772,20.27656312319383,5.3961067239604e-6
13,26,ks,0,1.1938823773054592,0,1
13,26,umax,0.03629973220226734,0.001770860046942911,20.49836307783479,5.113251311965005e-6
13,27,ks,0,1.3284142650058348,0,1
13,27,umax,0.03710257373714761,0.0020139877980753364,18.422442168023366,8.66870469455189e-6
13,28,ks,0,1.1798666542340779,0,1
13,28,umax,0.03644687659068042,0.0017571647995024205,20.741865874504853,4.822913959459565e-6
13,29,ks,0,0.9658107561464423,0,1
13,29,umax,0.036307631260023676,0.0014328780251793018,25.338954622798653,1.78706511843414e-6
13,30,ks,0,1.0131535971023504,0,1
