DAY,Temperature,N.Treatment,HOUR,MINUTE,Particles.per.ml,Hours.since.Innoc,day,log.Particles.per.ml
0,13,0,19,26,432,7.933333333,0.33055555554166666,6.07073772800249
0,13,11,19,39,551,8.15,0.33958333333333335,6.313548046277095
0,13,22,19,42,610,8.2,0.3416666666666666,6.415096959171596
0,13,33,19,44,831,8.233333333,0.3430555555416666,6.723832440821209
0,13,55,19,46,527,8.266666667,0.3444444444583334,6.269096283706261
0,13,110,19,48,704,8.3,0.3458333333333334,6.558197802812269
0,13,220,19,51,826,8.35,0.34791666666666665,6.717804695023691
0,13,330,19,53,664,8.383333333,0.34930555554166665,6.499787040655854
0,13,440,19,55,936,8.416666667,0.3506944444583333,6.842683282238422
0,16,0,19,28,606,7.966666667,0.3319444444583333,6.408528791059498
0,16,11,20,0,489,8.5,0.3541666666666667,6.194405391104672
0,16,22,20,2,273,8.533333333,0.3555555555416667,5.6131281063880705
0,16,33,20,4,489,8.566666667,0.35694444445833334,6.194405391104672
0,16,55,20,6,857,8.6,0.35833333333333334,6.754604099487962
0,16,110,20,9,864,8.65,0.36041666666666666,6.762729506931879
0,16,220,20,12,795,8.7,0.3625,6.679599185844383
0,16,330,20,14,518,8.733333333,0.363888888875,6.251903883165888
0,16,440,20,17,799,8.783333333,0.3659722222083333,6.684611727667927
0,19,0,19,30,177,8,0.3333333333333333,5.181783550292085
0,19,11,20,22,307,8.866666667,0.36944444445833335,5.730099782973574
0,19,22,20,24,399,8.9,0.37083333333333335,5.991464547107982
0,19,33,20,26,369,8.933333333,0.37222222220833334,5.91350300563827
0,19,55,20,28,372,8.966666667,0.373611111125,5.921578419643816
0,19,110,20,30,357,9,0.375,5.8805329864007
0,19,220,20,32,278,9.033333333,0.376388888875,5.631211781821365
0,19,330,20,35,188,9.083333333,0.3784722222083334,5.241747015059643
0,19,440,20,37,371,9.116666667,0.37986111112500004,5.918893854273146
0,22,0,19,33,186,8.05,0.3354166666666667,5.231108616854587
0,22,11,20,42,122,9.2,0.3833333333333333,4.812184355372417
0,22,22,20,45,62,9.25,0.3854166666666667,4.143134726391533
0,22,33,20,47,216,9.283333333,0.3868055555416667,5.37989735354046
0,22,55,20,49,166,9.316666667,0.38819444445833334,5.117993812416755
0,22,110,20,51,152,9.35,0.38958333333333334,5.030437921392435
0,22,220,20,53,214,9.383333333,0.39097222220833333,5.3706380281276624
0,22,330,20,55,306,9.416666667,0.392361111125,5.726847747587197
0,22,440,20,57,61,9.45,0.39375,4.127134385045092
0,25,0,19,35,124,8.083333333,0.3368055555416667,4.8283137373023015
0,25,11,21,2,28,9.533333333,0.3972222222083333,3.367295829986474
0,25,33,21,7,154,9.616666667,0.40069444445833335,5.043425116919247
0,25,55,21,9,63,9.65,0.40208333333333335,4.1588830833596715
0,25,110,21,12,387,9.7,0.4041666666666666,5.961005339623274
0,25,220,21,14,185,9.733333333,0.4055555555416666,5.225746673713202
0,25,330,21,16,369,9.766666667,0.4069444444583334,5.91350300563827
0,25,440,21,18,556,9.8,0.4083333333333334,6.322565239927284
0,28,0,19,37,31,8.116666667,0.33819444445833335,3.4657359027997265
0,28,11,21,23,124,9.883333333,0.41180555554166665,4.8283137373023015
0,28,22,21,25,198,9.916666667,0.4131944444583333,5.293304824724492
0,28,33,21,27,374,9.95,0.4145833333333333,5.926926025970411
0,28,55,21,29,93,9.983333333,0.4159722222083333,4.543294782270004
0,28,110,21,31,525,10.01666667,0.41736111124999997,6.26530121273771
0,28,220,21,33,549,10.05,0.41875,6.309918278226516
0,28,330,21,35,343,10.08333333,0.42013888875,5.840641657373398
0,28,440,21,37,343,10.11666667,0.4215277779166667,5.840641657373398
1,25,0,10,43,1644,23.21666667,0.9673611112499999,7.405495663199472
1,25,11,11,16,884,23.76666667,0.9902777779166666,6.785587645007929
1,25,22,11,18,626,23.8,0.9916666666666667,6.440946540632921
1,25,33,11,21,511,23.85,0.99375,6.238324625039508
1,25,55,11,23,527,23.88333333,0.99513888875,6.269096283706261
1,25,110,11,25,1411,23.91666667,0.9965277779166667,7.252762418053187
1,25,220,11,29,1342,23.98333333,0.9993055554166667,7.202661196523238
1,25,330,11,32,1375,24.03333333,1.00138888875,7.226936018493289
1,25,440,11,34,1310,24.06666667,1.0027777779166667,7.1785454837637
1,28,0,10,45,778,23.25,0.96875,6.658011045870748
1,28,11,11,50,982,24.33333333,1.01388888875,6.890609120147166
1,28,22,11,53,506,24.38333333,1.0159722220833334,6.2285110035911835
1,28,33,11,55,1316,24.41666667,1.01736111125,7.183111701743281
1,28,55,11,58,551,24.46666667,1.0194444445833333,6.313548046277095
1,28,110,12,0,2275,24.5,1.0208333333333333,7.730174795246222
1,28,220,12,5,2478,24.58333333,1.0243055554166667,7.8156105320351905
1,28,330,12,7,1276,24.61666667,1.0256944445833334,7.152268856032539
1,28,440,12,9,1093,24.65,1.0270833333333333,6.9975959829819265
1,13,0,10,33,351,23.05,0.9604166666666667,5.863631175598097
1,13,11,12,13,336,24.71666667,1.02986111125,5.820082930352362
1,13,22,12,15,316,24.75,1.03125,5.75890177387728
1,13,33,12,18,799,24.8,1.0333333333333334,6.684611727667927
1,13,55,12,20,202,24.83333333,1.0347222220833332,5.313205979041787
