DAY,Temperature,N.Treatment,HOUR,MINUTE,Particles.per.ml,Hours.since.Innoc,day,log.Particles.per.ml
0,13,0,10,59,909,0.983333333,0.04097222220833333,6.813444599510896
0,13,11,14,1,948,4.016666667,0.167361111125,6.855408798609928
0,13,22,14,3,1123,4.05,0.16874999999999998,7.024649030453636
0,13,33,14,5,1137,4.083333333,0.17013888887499998,7.037027614686276
0,13,55,14,8,1274,4.133333333,0.17222222220833336,7.150701457592526
0,13,110,14,10,1152,4.166666667,0.17361111112500002,7.050122520269059
0,13,220,14,12,853,4.2,0.17500000000000002,6.74993119378857
0,13,330,14,15,1079,4.25,0.17708333333333334,6.984716320118266
0,13,440,14,17,1064,4.283333333,0.17847222220833334,6.970730078143525
0,16,0,13,47,875,3.783333333,0.157638888875,6.775366090936392
0,16,11,14,22,813,4.366666667,0.18194444445833333,6.70196036600254
0,16,22,14,24,966,4.4,0.18333333333333335,6.874198495453294
0,16,33,14,26,812,4.433333333,0.18472222220833334,6.70073110954781
0,16,55,14,28,884,4.466666667,0.186111111125,6.785587645007929
0,16,110,14,30,724,4.5,0.1875,6.586171654854675
0,16,220,14,34,755,4.566666667,0.19027777779166666,6.628041376179533
0,16,330,14,36,1281,4.6,0.19166666666666665,7.156176637480615
0,16,440,14,38,1010,4.633333333,0.19305555554166667,6.918695219020472
0,19,0,13,49,1632,3.816666667,0.15902777779166666,7.398174092970465
0,19,11,15,36,825,5.6,0.2333333333333333,6.716594773520978
0,19,22,15,38,653,5.633333333,0.23472222220833336,6.483107351457199
0,19,33,15,40,630,5.666666667,0.23611111112500002,6.447305862541213
0,19,55,15,45,770,5.75,0.23958333333333334,6.647688373563329
0,19,110,15,48,898,5.8,0.24166666666666667,6.80128303447162
0,19,220,15,51,812,5.85,0.24375,6.70073110954781
0,19,330,15,53,891,5.883333333,0.24513888887500002,6.79346613258001
0,19,440,15,55,875,5.916666667,0.24652777779166668,6.775366090936392
0,22,0,13,51,931,3.85,0.16041666666666668,6.837332814685591
0,22,11,15,59,612,5.983333333,0.24930555554166667,6.418364935936212
0,22,22,16,2,1000,6.033333333,0.251388888875,6.90875477931522
0,22,33,16,4,831,6.066666667,0.25277777779166666,6.723832440821209
0,22,55,16,6,576,6.1,0.25416666666666665,6.3578422665081
0,22,110,16,9,582,6.15,0.25625000000000003,6.368187186350492
0,22,220,16,11,1054,6.183333333,0.257638888875,6.961296045910167
