Temperature,term,estimate,std.error,statistic,p.value
13,ks,0.3786787919206214,1.2649583222831338,0.2993606866328536,0.7747637962250357
13,umax,0.6498509567150285,0.030010296447292847,21.65426649004828,6.332070513086358e-7
16,ks,1.4401003245469928,1.0387362065704084,1.3863965802268188,0.21494570752459047
16,umax,0.9072344587232851,0.030516919258065517,29.728900583026782,9.605429362468157e-8
19,ks,0.3257134379400703,1.212534807035402,0.2686219282532815,0.7972180550121226
19,umax,1.0364790271343989,0.04617386925375566,22.4473071866312,5.11471653555705e-7
22,ks,1.524083231713764,0.86765452328616,1.7565553925097306,0.12951090710632537
22,umax,1.2330961902135213,0.034339005164224626,35.90949080546448,3.1099668770842824e-8
25,ks,0.29195966878409024,0.652196821817125,0.4476557674271453,0.6701103869005036
25,umax,1.0983953202410397,0.02642695860411948,41.56344045091212,1.297424248977214e-8
28,ks,1.175300160832241,0.6871445535243091,1.710411811902199,0.13804071283090083
28,umax,0.6677489759849167,0.015290158204120103,43.67181601855397,9.64973354505165e-9
