file_name,X3,X4,X5,X6,species,temperature,replicate,cell_density,start_time,cell_volume,begin.time,time_since_innoc,time_since_innoc_days,time_since_innoc_hours,total_biovolume
flowcamdata/summaries_010617/1-10-1_summary,NA,NA,NA,NA,1,10,1.lst,29835,2017-06-01T16:30:28Z,872.69,2017-04-04T11:00:00Z,2017-04-04 11:00:00 UTC--2017-06-01 16:30:28 UTC,58.229490740740744,1397.5077777777778,26036706.150000002
flowcamdata/summaries_010617/1-10-2_summary,NA,NA,NA,NA,1,10,2.lst,23631,2017-06-01T16:23:55Z,913.79,2017-04-04T11:00:00Z,2017-04-04 11:00:00 UTC--2017-06-01 16:23:55 UTC,58.22494212962963,1397.3986111111112,21593771.49
flowcamdata/summaries_010617/1-10-3_summary,NA,NA,NA,NA,1,10,3.lst,24237,2017-06-01T16:25:29Z,864.94,2017-04-04T11:00:00Z,2017-04-04 11:00:00 UTC--2017-06-01 16:25:29 UTC,58.226030092592595,1397.4247222222223,20963550.78
flowcamdata/summaries_010617/1-10-4_summary,NA,NA,NA,NA,1,10,4.lst,24185,2017-06-01T16:27:19Z,887.84,2017-04-04T11:00:00Z,2017-04-04 11:00:00 UTC--2017-06-01 16:27:19 UTC,58.22730324074074,1397.4552777777778,21472410.400000002
flowcamdata/summaries_010617/1-10-5r2_summary,NA,NA,NA,NA,1,10,5r2.lst,25846,2017-06-01T16:32:11Z,898.63,2017-04-04T11:00:00Z,2017-04-04 11:00:00 UTC--2017-06-01 16:32:11 UTC,58.23068287037037,1397.536388888889,23225990.98
flowcamdata/summaries_010617/3-10-1_summary,NA,NA,NA,NA,3,10,1.lst,8631,2017-06-01T16:44:58Z,764.07,2017-04-14T11:00:00Z,2017-04-14 11:00:00 UTC--2017-06-01 16:44:58 UTC,48.239560185185184,1157.7494444444444,6594688.170000001
flowcamdata/summaries_010617/3-10-2r2_summary,NA,NA,NA,NA,3,10,2r2.lst,5862,2017-06-01T16:48:04Z,725.73,2017-04-14T11:00:00Z,2017-04-14 11:00:00 UTC--2017-06-01 16:48:04 UTC,48.241712962962964,1157.8011111111111,4254229.26
flowcamdata/summaries_010617/3-10-3_summary,NA,NA,NA,NA,3,10,3.lst,6472,2017-06-01T16:50:17Z,745.95,2017-04-14T11:00:00Z,2017-04-14 11:00:00 UTC--2017-06-01 16:50:17 UTC,48.24325231481482,1157.8380555555555,4827788.4
flowcamdata/summaries_010617/3-10-4_summary,NA,NA,NA,NA,3,10,4.lst,6185,2017-06-01T16:52:25Z,777.55,2017-04-14T11:00:00Z,2017-04-14 11:00:00 UTC--2017-06-01 16:52:25 UTC,48.244733796296295,1157.8736111111111,4809146.75
flowcamdata/summaries_010617/3-10-5_summary,NA,NA,NA,NA,3,10,5.lst,7292,2017-06-01T16:54:08Z,798.83,2017-04-14T11:00:00Z,2017-04-14 11:00:00 UTC--2017-06-01 16:54:08 UTC,48.245925925925924,1157.9022222222222,5825068.36
