file_name,X3,X4,X5,X6,species,temperature,replicate,cell_density,start_time,cell_volume,begin.time,time_since_innoc,time_since_innoc_days,time_since_innoc_hours,total_biovolume
flowcamdata/summaries_010617/1-10-1_summary,NA,NA,NA,NA,1,10,1,29835,2017-06-01T16:30:28Z,872.69,2017-04-04T11:00:00Z,2017-04-04 11:00:00 UTC--2017-06-01 16:30:28 UTC,58.22949074,1397.507778,26036706.15
flowcamdata/summaries_010617/1-10-2_summary,NA,NA,NA,NA,1,10,2,23631,2017-06-01T16:23:55Z,913.79,2017-04-04T11:00:00Z,2017-04-04 11:00:00 UTC--2017-06-01 16:23:55 UTC,58.22494213,1397.398611,21593771.49
flowcamdata/summaries_010617/1-10-3_summary,NA,NA,NA,NA,1,10,3,24237,2017-06-01T16:25:29Z,864.94,2017-04-04T11:00:00Z,2017-04-04 11:00:00 UTC--2017-06-01 16:25:29 UTC,58.22603009,1397.424722,20963550.78
flowcamdata/summaries_010617/1-10-4_summary,NA,NA,NA,NA,1,10,4,24185,2017-06-01T16:27:19Z,887.84,2017-04-04T11:00:00Z,2017-04-04 11:00:00 UTC--2017-06-01 16:27:19 UTC,58.22730324,1397.455278,21472410.4
flowcamdata/summaries_010617/1-10-5r2_summary,NA,NA,NA,NA,1,10,5,25846,2017-06-01T16:32:11Z,898.63,2017-04-04T11:00:00Z,2017-04-04 11:00:00 UTC--2017-06-01 16:32:11 UTC,58.23068287,1397.536389,23225990.98
flowcamdata/summaries_010617/3-10-1_summary,NA,NA,NA,NA,3,10,1,8631,2017-06-01T16:44:58Z,764.07,2017-04-14T11:00:00Z,2017-04-14 11:00:00 UTC--2017-06-01 16:44:58 UTC,48.23956019,1157.749444,6594688.17
flowcamdata/summaries_010617/3-10-2r2_summary,NA,NA,NA,NA,3,10,2,5862,2017-06-01T16:48:04Z,725.73,2017-04-14T11:00:00Z,2017-04-14 11:00:00 UTC--2017-06-01 16:48:04 UTC,48.24171296,1157.801111,4254229.26
flowcamdata/summaries_010617/3-10-3_summary,NA,NA,NA,NA,3,10,3,6472,2017-06-01T16:50:17Z,745.95,2017-04-14T11:00:00Z,2017-04-14 11:00:00 UTC--2017-06-01 16:50:17 UTC,48.24325231,1157.838056,4827788.4
flowcamdata/summaries_010617/3-10-4_summary,NA,NA,NA,NA,3,10,4,6185,2017-06-01T16:52:25Z,777.55,2017-04-14T11:00:00Z,2017-04-14 11:00:00 UTC--2017-06-01 16:52:25 UTC,48.2447338,1157.873611,4809146.75
flowcamdata/summaries_010617/3-10-5_summary,NA,NA,NA,NA,3,10,5,7292,2017-06-01T16:54:08Z,798.83,2017-04-14T11:00:00Z,2017-04-14 11:00:00 UTC--2017-06-01 16:54:08 UTC,48.24592593,1157.902222,5825068.36
flowcamdata/summaries_010617/4-10-1_summary,NA,NA,NA,NA,4,10,1,34477,2017-06-01T16:56:40Z,293.64,2017-04-14T11:00:00Z,2017-04-14 11:00:00 UTC--2017-06-01 16:56:40 UTC,48.24768519,1157.944444,10123826.28
flowcamdata/summaries_010617/4-10-2_summary,NA,NA,NA,NA,4,10,2,38216,2017-06-01T16:59:11Z,305.31,2017-04-14T11:00:00Z,2017-04-14 11:00:00 UTC--2017-06-01 16:59:11 UTC,48.24943287,1157.986389,11667726.96
flowcamdata/summaries_010617/4-10-3_summary,NA,NA,NA,NA,4,10,3,30277,2017-06-01T17:00:47Z,286.52,2017-04-14T11:00:00Z,2017-04-14 11:00:00 UTC--2017-06-01 17:00:47 UTC,48.25054398,1158.013056,8674966.04
flowcamdata/summaries_010617/4-10-4r2_summary,NA,NA,NA,NA,4,10,4,35215,2017-06-01T17:04:37Z,290.34,2017-04-14T11:00:00Z,2017-04-14 11:00:00 UTC--2017-06-01 17:04:37 UTC,48.25320602,1158.076944,10224323.1
flowcamdata/summaries_010617/4-10-5_summary,NA,NA,NA,NA,4,10,5,39201,2017-06-01T17:06:14Z,294.66,2017-04-14T11:00:00Z,2017-04-14 11:00:00 UTC--2017-06-01 17:06:14 UTC,48.2543287,1158.103889,11550966.66
flowcamdata/summaries_020517/1-03-1_summary,NA,NA,NA,NA,1,3,1,677,2017-05-02T11:05:14Z,841.14,2017-04-04T11:00:00Z,2017-04-04 11:00:00 UTC--2017-05-02 11:05:14 UTC,28.00363426,672.0872222,569451.78
flowcamdata/summaries_020517/1-03-2_summary,NA,NA,NA,NA,1,3,2,180,2017-05-02T11:07:16Z,1630.51,2017-04-04T11:00:00Z,2017-04-04 11:00:00 UTC--2017-05-02 11:07:16 UTC,28.0050463,672.1211111,293491.8
flowcamdata/summaries_020517/1-03-3_summary,NA,NA,NA,NA,1,3,3,634,2017-05-02T11:09:03Z,1565.07,2017-04-04T11:00:00Z,2017-04-04 11:00:00 UTC--2017-05-02 11:09:03 UTC,28.00628472,672.1508333,992254.38
flowcamdata/summaries_020517/1-03-4_summary,NA,NA,NA,NA,1,3,4,271,2017-05-02T11:10:35Z,625.21,2017-04-04T11:00:00Z,2017-04-04 11:00:00 UTC--2017-05-02 11:10:35 UTC,28.00734954,672.1763889,169431.91
flowcamdata/summaries_020517/1-03-5_summary,NA,NA,NA,NA,1,3,5,407,2017-05-02T11:13:18Z,1218.67,2017-04-04T11:00:00Z,2017-04-04 11:00:00 UTC--2017-05-02 11:13:18 UTC,28.00923611,672.2216667,495998.69
flowcamdata/summaries_020517/1-07-1_summary,NA,NA,NA,NA,1,10,1,14866,2017-05-02T11:33:00Z,905.35,2017-04-04T11:00:00Z,2017-04-04 11:00:00 UTC--2017-05-02 11:33:00 UTC,28.02291667,672.55,13458933.1
flowcamdata/summaries_020517/1-07-2_summary,NA,NA,NA,NA,1,10,2,21508,2017-05-02T11:35:14Z,1014.92,2017-04-04T11:00:00Z,2017-04-04 11:00:00 UTC--2017-05-02 11:35:14 UTC,28.02446759,672.5872222,21828899.36
flowcamdata/summaries_020517/1-07-3_summary,NA,NA,NA,NA,1,10,3,16266,2017-05-02T11:36:48Z,1050.17,2017-04-04T11:00:00Z,2017-04-04 11:00:00 UTC--2017-05-02 11:36:48 UTC,28.02555556,672.6133333,17082065.22
flowcamdata/summaries_020517/1-07-4_summary,NA,NA,NA,NA,1,10,4,18406,2017-05-02T11:38:36Z,1037.2,2017-04-04T11:00:00Z,2017-04-04 11:00:00 UTC--2017-05-02 11:38:36 UTC,28.02680556,672.6433333,19090703.2
flowcamdata/summaries_020517/1-07-5_summary,NA,NA,NA,NA,1,10,5,19701,2017-05-02T11:40:15Z,1076.38,2017-04-04T11:00:00Z,2017-04-04 11:00:00 UTC--2017-05-02 11:40:15 UTC,28.02795139,672.6708333,21205762.38
flowcamdata/summaries_020517/1-17-1_summary,NA,NA,NA,NA,1,17,1,17188,2017-05-02T11:59:23Z,768.31,2017-04-04T11:00:00Z,2017-04-04 11:00:00 UTC--2017-05-02 11:59:23 UTC,28.04123843,672.9897222,13205712.28
flowcamdata/summaries_020517/1-17-2_summary,NA,NA,NA,NA,1,17,2,18194,2017-05-02T12:03:31Z,844.23,2017-04-04T11:00:00Z,2017-04-04 11:00:00 UTC--2017-05-02 12:03:31 UTC,28.0441088,673.0586111,15359920.62
flowcamdata/summaries_020517/1-17-3_summary,NA,NA,NA,NA,1,17,3,26208,2017-05-02T12:05:10Z,894.19,2017-04-04T11:00:00Z,2017-04-04 11:00:00 UTC--2017-05-02 12:05:10 UTC,28.04525463,673.0861111,23434931.52
flowcamdata/summaries_020517/1-17-4_summary,NA,NA,NA,NA,1,17,4,29825,2017-05-02T12:06:44Z,809.62,2017-04-04T11:00:00Z,2017-04-04 11:00:00 UTC--2017-05-02 12:06:44 UTC,28.04634259,673.1122222,24146916.5
flowcamdata/summaries_020517/1-17-5_summary,NA,NA,NA,NA,1,17,5,30689,2017-05-02T12:08:17Z,861.05,2017-04-04T11:00:00Z,2017-04-04 11:00:00 UTC--2017-05-02 12:08:17 UTC,28.04741898,673.1380556,26424763.45
flowcamdata/summaries_020517/1-24-1_summary,NA,NA,NA,NA,1,24,1,16646,2017-05-02T12:28:25Z,767.75,2017-04-04T11:00:00Z,2017-04-04 11:00:00 UTC--2017-05-02 12:28:25 UTC,28.06140046,673.4736111,12779966.5
flowcamdata/summaries_020517/1-24-2_summary,NA,NA,NA,NA,1,24,2,19308,2017-05-02T12:32:16Z,778.89,2017-04-04T11:00:00Z,2017-04-04 11:00:00 UTC--2017-05-02 12:32:16 UTC,28.06407407,673.5377778,15038808.12
flowcamdata/summaries_020517/1-24-3_summary,NA,NA,NA,NA,1,24,3,18797,2017-05-02T12:34:27Z,776.38,2017-04-04T11:00:00Z,2017-04-04 11:00:00 UTC--2017-05-02 12:34:27 UTC,28.06559028,673.5741667,14593614.86
flowcamdata/summaries_020517/1-24-4_summary,NA,NA,NA,NA,1,24,4,17226,2017-05-02T12:37:43Z,759.58,2017-04-04T11:00:00Z,2017-04-04 11:00:00 UTC--2017-05-02 12:37:43 UTC,28.0678588,673.6286111,13084525.08
flowcamdata/summaries_020517/1-24-5_summary,NA,NA,NA,NA,1,24,5,23722,2017-05-02T12:39:23Z,742.6,2017-04-04T11:00:00Z,2017-04-04 11:00:00 UTC--2017-05-02 12:39:23 UTC,28.0690162,673.6563889,17615957.2
flowcamdata/summaries_020517/1-31-1_summary,NA,NA,NA,NA,1,31,1,136,2017-05-02T13:05:31Z,1242.15,2017-04-04T11:00:00Z,2017-04-04 11:00:00 UTC--2017-05-02 13:05:31 UTC,28.08716435,674.0919444,168932.4
flowcamdata/summaries_020517/1-31-2_summary,NA,NA,NA,NA,1,31,2,90,2017-05-02T13:07:37Z,571.25,2017-04-04T11:00:00Z,2017-04-04 11:00:00 UTC--2017-05-02 13:07:37 UTC,28.08862269,674.1269444,51412.5
flowcamdata/summaries_020517/1-31-3_summary,NA,NA,NA,NA,1,31,3,317,2017-05-02T13:09:16Z,413.88,2017-04-04T11:00:00Z,2017-04-04 11:00:00 UTC--2017-05-02 13:09:16 UTC,28.08976852,674.1544444,131199.96
flowcamdata/summaries_020517/1-31-4_summary,NA,NA,NA,NA,1,31,4,135,2017-05-02T13:10:48Z,382.23,2017-04-04T11:00:00Z,2017-04-04 11:00:00 UTC--2017-05-02 13:10:48 UTC,28.09083333,674.18,51601.05
flowcamdata/summaries_020517/1-31-5_summary,NA,NA,NA,NA,1,31,5,90,2017-05-02T13:12:22Z,318.51,2017-04-04T11:00:00Z,2017-04-04 11:00:00 UTC--2017-05-02 13:12:22 UTC,28.0919213,674.2061111,28665.9
flowcamdata/summaries_020517/2-03-1_summary,NA,NA,NA,NA,2,1,1,316,2017-05-02T11:18:52Z,1092.28,2017-04-11T11:00:00Z,2017-04-11 11:00:00 UTC--2017-05-02 11:18:52 UTC,21.01310185,504.3144444,345160.48
flowcamdata/summaries_020517/2-03-2_summary,NA,NA,NA,NA,2,3,2,181,2017-05-02T11:22:07Z,464.28,2017-04-11T11:00:00Z,2017-04-11 11:00:00 UTC--2017-05-02 11:22:07 UTC,21.0153588,504.3686111,84034.68
flowcamdata/summaries_020517/2-03-3_summary,NA,NA,NA,NA,2,3,3,135,2017-05-02T11:24:10Z,179.98,2017-04-11T11:00:00Z,2017-04-11 11:00:00 UTC--2017-05-02 11:24:10 UTC,21.01678241,504.4027778,24297.3
flowcamdata/summaries_020517/2-03-4_summary,NA,NA,NA,NA,2,3,4,542,2017-05-02T11:25:40Z,1564.74,2017-04-11T11:00:00Z,2017-04-11 11:00:00 UTC--2017-05-02 11:25:40 UTC,21.01782407,504.4277778,848089.08
flowcamdata/summaries_020517/2-03-5_summary,NA,NA,NA,NA,2,3,5,316,2017-05-02T11:28:02Z,596.82,2017-04-11T11:00:00Z,2017-04-11 11:00:00 UTC--2017-05-02 11:28:02 UTC,21.01946759,504.4672222,188595.12
flowcamdata/summaries_020517/2-07-1_summary,NA,NA,NA,NA,2,10,1,10827,2017-05-02T11:43:20Z,470.66,2017-04-11T11:00:00Z,2017-04-11 11:00:00 UTC--2017-05-02 11:43:20 UTC,21.03009259,504.7222222,5095835.82
flowcamdata/summaries_020517/2-07-2_summary,NA,NA,NA,NA,2,10,2,7804,2017-05-02T11:44:50Z,417.68,2017-04-11T11:00:00Z,2017-04-11 11:00:00 UTC--2017-05-02 11:44:50 UTC,21.03113426,504.7472222,3259574.72
flowcamdata/summaries_020517/2-07-3_summary,NA,NA,NA,NA,2,10,3,7489,2017-05-02T11:46:29Z,452.72,2017-04-11T11:00:00Z,2017-04-11 11:00:00 UTC--2017-05-02 11:46:29 UTC,21.03228009,504.7747222,3390420.08
flowcamdata/summaries_020517/2-07-4_summary,NA,NA,NA,NA,2,10,4,7759,2017-05-02T11:49:29Z,536.35,2017-04-11T11:00:00Z,2017-04-11 11:00:00 UTC--2017-05-02 11:49:29 UTC,21.03436343,504.8247222,4161539.65
flowcamdata/summaries_020517/2-07-5_summary,NA,NA,NA,NA,2,10,5,7443,2017-05-02T11:53:02Z,447.33,2017-04-11T11:00:00Z,2017-04-11 11:00:00 UTC--2017-05-02 11:53:02 UTC,21.0368287,504.8838889,3329477.19
flowcamdata/summaries_020517/2-17-1_summary,NA,NA,NA,NA,2,17,1,9127,2017-05-02T12:11:15Z,373.9,2017-04-11T11:00:00Z,2017-04-11 11:00:00 UTC--2017-05-02 12:11:15 UTC,21.04947917,505.1875,3412585.3
flowcamdata/summaries_020517/2-17-2_summary,NA,NA,NA,NA,2,17,2,10692,2017-05-02T12:12:45Z,418.3,2017-04-11T11:00:00Z,2017-04-11 11:00:00 UTC--2017-05-02 12:12:45 UTC,21.05052083,505.2125,4472463.6
flowcamdata/summaries_020517/2-17-3_summary,NA,NA,NA,NA,2,17,3,6371,2017-05-02T12:17:31Z,369.25,2017-04-11T11:00:00Z,2017-04-11 11:00:00 UTC--2017-05-02 12:17:31 UTC,21.05383102,505.2919444,2352491.75
flowcamdata/summaries_020517/2-17-4_summary,NA,NA,NA,NA,2,17,4,6461,2017-05-02T12:20:17Z,382.99,2017-04-11T11:00:00Z,2017-04-11 11:00:00 UTC--2017-05-02 12:20:17 UTC,21.05575231,505.3380556,2474498.39
