N.Treatment,Temperature,day,term,estimate,std.error,statistic,p.value,N.Treatment,Temperature,log.start
0,13,3.060416666666667,day,0.13050456814461892,NaN,NaN,NaN,0,13,6.899723107284872
0,13,4.9319444458333335,day,0.1080224456060815,NaN,NaN,NaN,0,13,6.899723107284872
0,13,6.238194445833333,day,0.0664983640124081,NaN,NaN,NaN,0,13,6.899723107284872
0,13,6.979166666666667,day,0.05566872268445402,NaN,NaN,NaN,0,13,6.899723107284872
0,16,3.05763888875,day,0.15747600389566074,NaN,NaN,NaN,0,16,6.9650803456014065
0,16,3.9729166666666664,day,0.23511017625380784,NaN,NaN,NaN,0,16,6.9650803456014065
0,16,4.934027779166667,day,0.19229854628319987,NaN,NaN,NaN,0,16,6.9650803456014065
0,16,6.253472220833333,day,0.1477585617724189,NaN,NaN,NaN,0,16,6.9650803456014065
0,16,6.997916666666666,day,0.2130760074751376,NaN,NaN,NaN,0,16,6.9650803456014065
0,19,3.078472222083333,day,0.36727496484932687,NaN,NaN,NaN,0,19,6.643789733147672
0,19,3.9743055554166666,day,0.1377950409832774,NaN,NaN,NaN,0,19,6.643789733147672
0,19,4.935416666666667,day,0.11991478083628422,NaN,NaN,NaN,0,19,6.643789733147672
0,22,1.0104166666666667,day,1.6474711598276912,NaN,NaN,NaN,0,22,6.222576268071369
0,22,2.2506944445833335,day,1.094783032026258,NaN,NaN,NaN,0,22,6.222576268071369
0,22,3.002083333333333,day,0.5045175771591709,NaN,NaN,NaN,0,22,6.222576268071369
0,22,3.1965277779166663,day,0.654310305633441,NaN,NaN,NaN,0,22,6.222576268071369
0,22,3.975694444583333,day,0.5621324651807633,NaN,NaN,NaN,0,22,6.222576268071369
0,22,4.2361111125,day,0.6169246867809743,NaN,NaN,NaN,0,22,6.222576268071369
0,22,4.936805554166667,day,0.3538983450001814,NaN,NaN,NaN,0,22,6.222576268071369
0,25,1.0125,day,2.6767121902926903,NaN,NaN,NaN,0,25,5.749392985908253
0,25,3.0034722220833334,day,0.663134517936571,NaN,NaN,NaN,0,25,5.749392985908253
0,25,3.1930555554166666,day,0.9189727599376861,NaN,NaN,NaN,0,25,5.749392985908253
0,25,3.9777777779166663,day,0.4878190263922991,NaN,NaN,NaN,0,25,5.749392985908253
0,25,4.2375,day,0.5675090758716167,NaN,NaN,NaN,0,25,5.749392985908253
0,25,4.938194445833333,day,0.425637150229092,NaN,NaN,NaN,0,25,5.749392985908253
0,28,1.01388888875,day,0.4872667665589821,NaN,NaN,NaN,0,28,6.974478911025045
0,28,1.2145833333333333,day,0.08759298991347088,NaN,NaN,NaN,0,28,6.974478911025045
0,28,2.2534722220833334,day,0.18034396898993257,NaN,NaN,NaN,0,28,6.974478911025045
0,28,3.00486111125,day,0.1839609179536379,NaN,NaN,NaN,0,28,6.974478911025045
0,28,3.9798611112500004,day,0.15877651533149514,NaN,NaN,NaN,0,28,6.974478911025045
0,28,4.939583333333333,day,0.06087424548515756,NaN,NaN,NaN,0,28,6.974478911025045
11,13,3.0625,day,0.6519736344150118,NaN,NaN,NaN,11,13,5.365976015021851
11,13,4.04513888875,day,0.7032371679628957,NaN,NaN,NaN,11,13,5.365976015021851
11,13,4.9875,day,0.5475981786259367,NaN,NaN,NaN,11,13,5.365976015021851
11,16,2.05138888875,day,0.8925329440787817,NaN,NaN,NaN,11,16,5.58724865840025
11,16,3.07986111125,day,0.8582622602982822,NaN,NaN,NaN,11,16,5.58724865840025
11,16,4.079166666666667,day,0.6632605188478344,NaN,NaN,NaN,11,16,5.58724865840025
11,16,5.000694445833333,day,0.6333891069209686,NaN,NaN,NaN,11,16,5.58724865840025
11,19,2.0659722220833334,day,0.5757548288145,NaN,NaN,NaN,11,19,6.173786103901937
11,19,3.09375,day,0.7858536720419625,NaN,NaN,NaN,11,19,6.173786103901937
11,19,4.09236111125,day,0.5393290106179099,NaN,NaN,NaN,11,19,6.173786103901937
11,19,5.0138888875,day,0.547958782891443,NaN,NaN,NaN,11,19,6.173786103901937
11,22,1.0152777779166666,day,2.0694022857932626,NaN,NaN,NaN,11,22,6.7226297948554485
11,22,1.9805555554166665,day,0.6521937437762145,NaN,NaN,NaN,11,22,6.7226297948554485
11,22,2.2576388887500003,day,0.505745234912789,NaN,NaN,NaN,11,22,6.7226297948554485
11,22,3.00625,day,0.48572437951287395,NaN,NaN,NaN,11,22,6.7226297948554485
11,22,3.1986111112500004,day,0.1733933612077317,NaN,NaN,NaN,11,22,6.7226297948554485
11,22,3.9812499999999997,day,0.5488522177540218,NaN,NaN,NaN,11,22,6.7226297948554485
11,22,4.240277779166667,day,0.5807391534767846,NaN,NaN,NaN,11,22,6.7226297948554485
11,22,4.940972220833333,day,0.5319482865696399,NaN,NaN,NaN,11,22,6.7226297948554485
11,25,1.21736111125,day,2.262656276927546,NaN,NaN,NaN,11,25,5.198497031265826
11,25,1.9972222220833336,day,0.9997336635029548,NaN,NaN,NaN,11,25,5.198497031265826
11,25,3.021527777916667,day,1.0813047429721176,NaN,NaN,NaN,11,25,5.198497031265826
11,25,3.21388888875,day,0.7625401416748985,NaN,NaN,NaN,11,25,5.198497031265826
11,25,4.009722222083333,day,0.5433385558653918,NaN,NaN,NaN,11,25,5.198497031265826
11,25,4.2555555541666665,day,0.8673896324530853,NaN,NaN,NaN,11,25,5.198497031265826
11,25,4.9548611125,day,0.6893882176159855,NaN,NaN,NaN,11,25,5.198497031265826
11,28,2.01111111125,day,1.1332190385973409,NaN,NaN,NaN,11,28,5.241747015059643
11,28,2.2847222220833334,day,0.8848264278594907,NaN,NaN,NaN,11,28,5.241747015059643
11,28,3.0368055554166666,day,1.0857486947944257,NaN,NaN,NaN,11,28,5.241747015059643
11,28,3.22638888875,day,0.5464731733986068,NaN,NaN,NaN,11,28,5.241747015059643
11,28,4.0249999999999995,day,0.7007914972729323,NaN,NaN,NaN,11,28,5.241747015059643
11,28,4.2749999999999995,day,0.7734636658202687,NaN,NaN,NaN,11,28,5.241747015059643
11,28,4.970833333333333,day,0.6517240684018196,NaN,NaN,NaN,11,28,5.241747015059643
22,13,3.06388888875,day,0.308793438228754,NaN,NaN,NaN,22,13,6.513230110912307
22,13,4.046527777916666,day,0.3175271710550313,NaN,NaN,NaN,22,13,6.513230110912307
22,13,4.9888888875,day,0.39253989147451335,NaN,NaN,NaN,22,13,6.513230110912307
22,13,6.241666666666667,day,0.3097451536829623,NaN,NaN,NaN,22,13,6.513230110912307
22,13,6.983333333333333,day,0.4586237209227178,NaN,NaN,NaN,22,13,6.513230110912307
22,16,2.0527777779166665,day,0.3001392816029942,NaN,NaN,NaN,22,16,6.799055862058796
22,16,3.0812500000000003,day,0.43501327701933046,NaN,NaN,NaN,22,16,6.799055862058796
22,16,4.080555555416667,day,0.36501858071211335,NaN,NaN,NaN,22,16,6.799055862058796
22,16,5.002083333333333,day,0.44550293735141233,NaN,NaN,NaN,22,16,6.799055862058796
22,16,6.2562500000000005,day,0.2735367199215689,NaN,NaN,NaN,22,16,6.799055862058796
22,16,7.000694445833333,day,0.3485602018982699,NaN,NaN,NaN,22,16,6.799055862058796
22,19,1.1027777779166665,day,0.7911730964184278,NaN,NaN,NaN,22,19,6.376726947898627
22,19,2.0680555554166666,day,0.6713639541263531,NaN,NaN,NaN,22,19,6.376726947898627
22,19,3.09513888875,day,1.0695100963721018,NaN,NaN,NaN,22,19,6.376726947898627
22,19,4.09375,day,0.7745987911503125,NaN,NaN,NaN,22,19,6.376726947898627
22,19,5.0152777791666665,day,0.6798332124085233,NaN,NaN,NaN,22,19,6.376726947898627
22,22,1.01736111125,day,1.4352467315094124,NaN,NaN,NaN,22,22,6.620073206530356
22,22,1.9819444445833332,day,0.7929923661798275,NaN,NaN,NaN,22,22,6.620073206530356
22,22,2.2590277779166668,day,0.5072624091121694,NaN,NaN,NaN,22,22,6.620073206530356
22,22,3.00763888875,day,0.6694552971546714,NaN,NaN,NaN,22,22,6.620073206530356
22,22,3.1999999999999997,day,0.37798661956869906,NaN,NaN,NaN,22,22,6.620073206530356
22,22,3.98263888875,day,0.5350539036787143,NaN,NaN,NaN,22,22,6.620073206530356
22,22,4.2423611125,day,0.5508541218975488,NaN,NaN,NaN,22,22,6.620073206530356
22,22,4.9423611124999995,day,0.49679967673163944,NaN,NaN,NaN,22,22,6.620073206530356
22,25,1.0333333333333334,day,0.7231992878923481,NaN,NaN,NaN,22,25,6.354370040797351
22,25,1.21875,day,1.021974907414275,NaN,NaN,NaN,22,25,6.354370040797351
22,25,1.99861111125,day,0.4912989894316273,NaN,NaN,NaN,22,25,6.354370040797351
22,25,2.2729166666666667,day,0.30188803640781897,NaN,NaN,NaN,22,25,6.354370040797351
22,25,3.2152777779166666,day,0.6896762473027785,NaN,NaN,NaN,22,25,6.354370040797351
22,25,4.01111111125,day,0.4459028733007439,NaN,NaN,NaN,22,25,6.354370040797351
22,25,4.256944445833333,day,0.48482812708044154,NaN,NaN,NaN,22,25,6.354370040797351
22,25,4.95625,day,0.5427082322570994,NaN,NaN,NaN,22,25,6.354370040797351
22,28,3.2277777779166663,day,0.5117776379177089,NaN,NaN,NaN,22,28,6.440946540632921
22,28,4.02638888875,day,0.37639937404912727,NaN,NaN,NaN,22,28,6.440946540632921
22,28,4.277083333333334,day,0.5211018527213486,NaN,NaN,NaN,22,28,6.440946540632921
22,28,4.972916666666666,day,0.6477553729289637,NaN,NaN,NaN,22,28,6.440946540632921
33,13,4.047916666666667,day,0.6859693420208203,NaN,NaN,NaN,33,13,4.499809670330265
33,13,4.990277779166667,day,0.8275729594967366,NaN,NaN,NaN,33,13,4.499809670330265
33,13,6.243055554166666,day,0.6338236680322259,NaN,NaN,NaN,33,13,4.499809670330265
33,13,6.9847222208333335,day,0.6152839823555728,NaN,NaN,NaN,33,13,4.499809670330265
33,16,2.0541666666666667,day,0.9830044177093982,NaN,NaN,NaN,33,16,5.365976015021851
33,16,3.0826388887499996,day,0.7769048750956048,NaN,NaN,NaN,33,16,5.365976015021851
33,16,4.08263888875,day,0.7704331381695783,NaN,NaN,NaN,33,16,5.365976015021851
33,16,5.003472220833333,day,0.6836213957739262,NaN,NaN,NaN,33,16,5.365976015021851
33,16,6.2576388875,day,0.6119808621348197,NaN,NaN,NaN,33,16,5.365976015021851
33,16,7.002777779166667,day,0.5794530228535734,NaN,NaN,NaN,33,16,5.365976015021851
33,19,2.069444444583333,day,1.0179020387459534,NaN,NaN,NaN,33,19,5.043425116919247
33,19,3.0965277779166667,day,1.041670969526247,NaN,NaN,NaN,33,19,5.043425116919247
33,19,4.09513888875,day,0.8918906843326867,NaN,NaN,NaN,33,19,5.043425116919247
33,19,5.016666666666667,day,0.892316942563776,NaN,NaN,NaN,33,19,5.043425116919247
33,22,1.01875,day,2.133726198047235,NaN,NaN,NaN,33,22,5.996452088619021
33,22,1.9833333333333334,day,0.8970976443510373,NaN,NaN,NaN,33,22,5.996452088619021
33,22,2.2604166666666665,day,0.8369618044400218,NaN,NaN,NaN,33,22,5.996452088619021
33,22,3.0090277779166663,day,1.0286810809623406,NaN,NaN,NaN,33,22,5.996452088619021
33,22,3.20138888875,day,1.0188172673442697,NaN,NaN,NaN,33,22,5.996452088619021
33,22,3.984027777916667,day,0.9120710539325708,NaN,NaN,NaN,33,22,5.996452088619021
33,22,4.2437499999999995,day,0.9320972028275164,NaN,NaN,NaN,33,22,5.996452088619021
33,25,1.0354166666666667,day,1.0589137044069283,NaN,NaN,NaN,33,25,6.1224928095143865
33,25,1.22013888875,day,1.3988077453852121,NaN,NaN,NaN,33,25,6.1224928095143865
33,25,2,day,1.5032645206421038,NaN,NaN,NaN,33,25,6.1224928095143865
33,25,2.274305555416667,day,0.7934161401711926,NaN,NaN,NaN,33,25,6.1224928095143865
33,25,3.025,day,0.9571419670566431,NaN,NaN,NaN,33,25,6.1224928095143865
33,25,3.216666666666667,day,0.728454882601472,NaN,NaN,NaN,33,25,6.1224928095143865
33,25,4.0125,day,0.648766827706581,NaN,NaN,NaN,33,25,6.1224928095143865
33,25,4.258333333333334,day,0.5598537303436373,NaN,NaN,NaN,33,25,6.1224928095143865
33,28,1.0534722220833335,day,1.533753822469497,NaN,NaN,NaN,33,28,5.752572638825633
33,28,1.2347222220833334,day,1.1517988787884308,NaN,NaN,NaN,33,28,5.752572638825633
33,28,2.01388888875,day,1.24428405044163,NaN,NaN,NaN,33,28,5.752572638825633
33,28,2.2875,day,0.8906211673132558,NaN,NaN,NaN,33,28,5.752572638825633
33,28,3.040972222083333,day,0.8753526701169967,NaN,NaN,NaN,33,28,5.752572638825633
33,28,3.2291666666666665,day,0.4198208518934425,NaN,NaN,NaN,33,28,5.752572638825633
33,28,4.027777777916667,day,0.5148919853525465,NaN,NaN,NaN,33,28,5.752572638825633
33,28,4.278472220833334,day,0.614264431854615,NaN,NaN,NaN,33,28,5.752572638825633
55,13,3.0666666666666664,day,0.8617056699210225,NaN,NaN,NaN,55,13,4.804021044733257
55,13,4.05,day,0.6995588503842509,NaN,NaN,NaN,55,13,4.804021044733257
55,13,4.991666666666666,day,0.5426236727762112,NaN,NaN,NaN,55,13,4.804021044733257
55,13,6.2444444458333335,day,0.6478777090580324,NaN,NaN,NaN,55,13,4.804021044733257
55,13,6.986111112500001,day,0.6355668846683314,NaN,NaN,NaN,55,13,4.804021044733257
55,16,2.055555555416667,day,0.6878291978849139,NaN,NaN,NaN,55,16,5.717027701406222
55,16,3.0847222220833337,day,0.8169899331296042,NaN,NaN,NaN,55,16,5.717027701406222
55,16,4.084027777916667,day,0.5749807873954735,NaN,NaN,NaN,55,16,5.717027701406222
55,16,5.0048611124999995,day,0.7193210927991517,NaN,NaN,NaN,55,16,5.717027701406222
55,19,1.1055555554166667,day,1.3333071345490677,NaN,NaN,NaN,55,19,5.823045895483019
55,19,3.0979166666666664,day,0.8080362260380618,NaN,NaN,NaN,55,19,5.823045895483019
55,19,4.097222222083333,day,0.8615825756528948,NaN,NaN,NaN,55,19,5.823045895483019
55,19,5.019444445833334,day,0.8410999375654045,NaN,NaN,NaN,55,19,5.823045895483019
55,22,1.02013888875,day,2.060244425358937,NaN,NaN,NaN,55,22,6.431331081933479
55,22,2.2618055554166667,day,0.7003237848164358,NaN,NaN,NaN,55,22,6.431331081933479
55,22,3.0104166666666665,day,1.1001758511113615,NaN,NaN,NaN,55,22,6.431331081933479
55,22,3.202777777916667,day,0.788826794496205,NaN,NaN,NaN,55,22,6.431331081933479
55,22,3.985416666666667,day,0.4531893043421191,NaN,NaN,NaN,55,22,6.431331081933479
55,22,4.2451388875000005,day,0.9519958893673334,NaN,NaN,NaN,55,22,6.431331081933479
55,25,1.0368055554166666,day,1.6625454639464765,NaN,NaN,NaN,55,25,6.650279048587422
55,25,1.2215277779166667,day,1.61760374145805,NaN,NaN,NaN,55,25,6.650279048587422
55,25,2.002083333333333,day,1.4568256063654283,NaN,NaN,NaN,55,25,6.650279048587422
55,25,2.2756944445833334,day,1.0954249941721579,NaN,NaN,NaN,55,25,6.650279048587422
