DAY,Temperature,N.Treatment,HOUR,MINUTE,Particles.per.ml,Hours.since.Innoc,day,log.Particles.per.ml
0,13,0,13,32,125,2.533333333,0.10555555554166667,4.836281906951478
0,13,11,16,53,213,5.883333333,0.24513888887500002,5.365976015021851
0,13,22,16,55,673,5.916666667,0.24652777779166668,6.513230110912307
0,13,33,16,57,89,5.95,0.24791666666666667,4.499809670330265
0,13,55,16,59,121,5.983333333,0.24930555554166667,4.804021044733257
0,13,110,17,1,123,6.016666667,0.25069444445833333,4.820281565605037
0,13,220,17,3,123,6.05,0.2520833333333333,4.820281565605037
0,13,330,17,5,331,6.083333333,0.2534722222083333,5.805134968916488
0,13,440,17,7,183,6.116666667,0.254861111125,5.214935757608986
0,16,0,13,30,1058,2.5,0.10416666666666667,6.9650803456014065
0,16,11,17,12,266,6.2,0.25833333333333336,5.58724865840025
0,16,22,17,14,896,6.233333333,0.25972222220833335,6.799055862058796
0,16,33,17,16,213,6.266666667,0.261111111125,5.365976015021851
0,16,55,17,18,303,6.3,0.2625,5.717027701406222
0,16,110,17,20,307,6.333333333,0.263888888875,5.730099782973574
0,16,220,17,22,89,6.366666667,0.26527777779166667,4.499809670330265
0,16,330,17,25,504,6.416666667,0.267361111125,6.22455842927536
0,16,440,17,27,214,6.45,0.26875,5.3706380281276624
0,19,0,13,27,156,2.45,0.10208333333333335,5.056245805348308
0,19,11,17,32,479,6.533333333,0.2722222222083333,6.173786103901937
0,19,22,17,34,587,6.566666667,0.273611111125,6.376726947898627
0,19,33,17,36,154,6.6,0.27499999999999997,5.043425116919247
0,19,55,17,38,337,6.633333333,0.276388888875,5.823045895483019
0,19,110,17,40,92,6.666666667,0.2777777777916667,4.532599493153256
0,19,220,17,42,61,6.7,0.2791666666666667,4.127134385045092
0,19,330,17,45,996,6.75,0.28125,6.904750769961838
0,19,440,17,47,245,6.783333333,0.282638888875,5.5053315359323625
0,22,0,13,25,503,2.416666667,0.10069444445833332,6.222576268071369
0,22,11,16,12,830,5.2,0.21666666666666667,6.7226297948554485
0,22,22,16,14,749,5.233333333,0.21805555554166667,6.620073206530356
0,22,33,16,16,401,5.266666667,0.21944444445833333,5.996452088619021
0,22,55,16,18,620,5.3,0.22083333333333333,6.431331081933479
0,22,110,16,21,558,5.35,0.22291666666666665,6.326149473155099
0,22,220,16,23,149,5.383333333,0.22430555554166667,5.0106352940962555
0,22,330,16,25,536,5.416666667,0.22569444445833334,6.285998094508865
