term,estimate,std.error,statistic,p.value,Species
N_init,4.990655109921903,0.11209980576295653,44.51974805803873,3.127926417409299e-169,AC
b1,0.02812420553330927,0.015209043859010129,1.8491764369952786,0.06507092330116188,AC
b2,0.14049350955865797,0.020804885289803027,6.752909597993179,4.366058001773433e-11,AC
ks,3.707039748625374,1.1881962308530811,3.119888493472039,0.0019224108369754866,AC
d0,0,0.054230734447437645,0,1,AC
d1,1.4609457983832445e-15,1.7881397868072e-13,0.008170199047982852,0.9934847235358177,AC
d2,1.1490447414254477,4.35106338620513,0.26408365942643985,0.7918332128188379,AC
N_init,6.365103105594503,0.1300829130628696,48.93112366355313,4.571214013866232e-168,CH
b1,0.08159870931134611,0.03366705242726533,2.4236962676680074,0.015819921306289106,CH
b2,0.11586838052906212,0.016985931714826184,6.821432140100169,3.472860969623079e-11,CH
ks,6.058126031374745,1.8824524157130538,3.2182093851652493,0.001398386986516907,CH
d0,0,0.07324973404289363,0,1,CH
d1,2.807798014998704e-6,1.714564968273022e-5,0.1637615410879898,0.8700041368608986,CH
d2,0.4344162221269198,0.20902558643119257,2.0782920863610244,0.03833927162530153,CH
N_init,6.6680326026419845,0.09088135927827369,73.37074022214873,1.2120525953473762e-235,CS
b1,0.09017309741986325,0.05009423903737262,1.8000692126012723,0.07259558308538934,CS
b2,0.06302072788110126,0.023158346609374544,2.7212965132662084,0.006783804020407386,CS
ks,2.4749145700934934,2.0335203140574616,1.2170591820424566,0.22429216495014656,CS
d0,0,0.05607223931940018,0,1,CS
d1,1.190179321674153e-5,2.461038023952352e-4,0.04836086684116979,0.9614525446872793,CS
d2,0.298684295759469,0.6975132499736906,0.42821307806086123,0.6687241892692459,CS
N_init,6.491127878910564,0.08553737423730794,75.88645240502832,7.487596175530119e-249,TT
b1,0.26973299595725253,0.07046529760767342,3.82788415170022,1.487260252301426e-4,TT
b2,0.04421373711044824,0.011427794823490963,3.8689649047218215,1.2648648919748892e-4,TT
ks,10.542012307232902,2.4792084861334547,4.252168531285606,2.6064066400749418e-5,TT
d0,0,0.051385520496678126,0,1,TT
d1,2.661289538444621e-7,3.5791778513992133e-5,0.0074354772211284205,0.9940708992769168,TT
d2,0.38278749408884594,4.6292248278616714,0.0826893288450764,0.9341375921411756,TT
