term,estimate,std.error,statistic,p.value,Species
N_init,4.946979673444762,0.06028769582326761,82.05620742160642,1.3766659555685043e-277,AC
a,0.10225209806582505,0.7778420361121131,0.13145612260416215,0.8954717196754798,AC
b,0.14335971059203326,0.16831791881620245,0.8517198382697286,0.3948108714014823,AC
z,-20,685.0364722418724,-0.029195525801053127,0.9767212568885312,AC
w,107.34025056131794,1366.5078579272465,0.07855077447131137,0.9374239523946526,AC
tn,2.2113225712131905,0.7436785646443628,2.973492415060632,0.0030982996290574412,AC
ks,1.8840806077350498,0.6240097817559167,3.0193126178781817,0.002673740790971682,AC
N_init,5.218911605898625,0.07146243234178067,73.03014234022058,7.94865936305432e-229,CH
a,1.4282068180662633,1.4255353943033298,1.0018739792597287,0.3170288615946239,CH
b,0.004994971859062221,0.035670033458767396,0.1400327214393038,0.8887067997739689,CH
z,27.786908685098265,9.51762253387576,2.919522032545127,0.0037101460339756614,CH
w,40.32899572218246,16.653225044031476,2.421692832202276,0.01590605738883904,CH
tn,0.7220811170630135,1.905120634106414,0.37902120429329217,0.7048794445732418,CH
ks,0.17534827144390694,0.469217254648374,0.37370380075922593,0.7088288083121959,CH
N_init,5.850327527025545,0.05091644500450477,114.90054984215698,1.20114527009586e-310,CS
a,0.13124564211184706,0.6525438298509938,0.20112923624121395,0.8406987435025719,CS
b,0.13813887664526978,0.10368676826824567,1.3322710211962034,0.18352215326692375,CS
z,-20,398.9323308351687,-0.05013381582317433,0.9600405289158466,CS
w,100.49435801602542,797.2775840834017,0.126046887586285,0.8997575128825058,CS
tn,0.13487307263790124,0.5839564004368384,0.23096428523945825,0.8174594685327617,CS
ks,0.1033779921245737,0.4500268028572413,0.22971518911367497,0.8184293492856496,CS
N_init,6.0600413529374215,0.06975314444204293,86.87839668608257,2.956467672504152e-272,TT
a,0.34020267772617224,0.17674762974478647,1.9247934369326796,0.0549239532449441,TT
b,0.0511975240317489,0.025223868518316383,2.0297252974725777,0.04300843453924799,TT
z,20.331667083964305,1.560378943231379,13.029954788969135,7.085097239086525e-33,TT
w,25.845401127481498,1.2209951837090416,21.167488186947963,2.173242164443464e-68,TT
tn,12.661568675679858,4.086966388064101,3.098035920397511,0.0020776427972194547,TT
ks,13.65510883416617,3.839667675563409,3.5563257000262407,4.184754552241935e-4,TT
