Temperature,Species,umax_lwr_CI,umax_upr_CI,root_lwr_CI,root_upr_CI,ks_lwr_CI,ks_upr_CI,model,resource_affects,ks
-3,CH,-2.2959555134607683,-0.026078969658629592,200,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
-3,CS,0.0620595875082641,0.08821940803045307,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
-2.5,CH,-2.173822794931332,-0.014552959304311386,200,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
-2.5,CS,0.06624341895189309,0.09348333386952234,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
-2,CH,-2.053624661365012,-0.0023493287183599743,200,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
-2,CS,0.07068864538168647,0.09903327701581477,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
-1.5,CH,-1.9353611127618118,0.010554045259828209,200,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
-1.5,CS,0.07540961853786543,0.10488231547732538,1.377180602749527,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
-1,CH,-1.819032149121727,0.024179327242405083,200,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
-1,CS,0.08042127014558058,0.11104388354579539,9.09501687260135e-5,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
-0.5,CH,-1.7046377704447615,0.03854866104501138,200,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
-0.5,CS,0.0857391102589793,0.11753175305130792,8.576476431009446e-5,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
0,CH,-1.592177976730912,0.053684100989629446,200,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
0,CS,0.09137922148146754,0.12436000996650863,8.090023078783166e-5,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
0.5,CH,-1.4816527679801816,0.06960753627716218,200,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
0.5,CS,0.09735824840550852,0.1315430257841022,7.633602332219305e-5,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
1,CH,-1.3730621441925674,0.08634060791739306,200,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
1,CS,0.10369338153633392,0.13909542303233483,7.205296304871531e-5,4.5820443709398235,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
1.5,CH,-1.2664061053680722,0.10390461767096405,9.596197860577792,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
1.5,CS,0.11040233487654243,0.14703203422874064,6.803314401339632e-5,2.8576911437737444,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
2,CH,-1.1616846515066934,0.12232042842302403,1.6787144486990182,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
2,CS,0.11750331625188178,0.1553678535020264,6.42598466756996e-5,2.0594941617202553,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
2.5,CH,-1.058897782608433,0.1416083553711435,0.9005205177164198,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
2.5,CS,0.12501498935163102,0.16411798003506417,6.225330206070838e-5,1.6888144218372183,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
3,CH,-0.9580454986732896,0.16178804737083916,0.6064473491976915,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
3,CS,0.13295642633890806,0.17329755239799502,6.372165017309376e-5,1.4196986485822998,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
3.5,CH,-0.8591277997012643,0.18287835774048758,0.45210137326261934,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
3.5,CS,0.1413470497558141,0.18292167274879093,6.747040903589072e-5,1.2157379977713574,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
4,CH,-0.7621446856923559,0.20489720378339454,0.3571793425817316,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
4,CS,0.15020656230438129,0.19300531977861948,6.349085630304052e-5,1.0561009010297535,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
4.5,CH,-0.6670961566465662,0.22786141423819323,0.2930438706594985,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
4.5,CS,0.15955486292547902,0.20356324917027055,9.71587609272755e-5,0.9280162749792733,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
5,CH,-0.573982212563893,0.2517865638194258,0.24685948493406681,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
5,CS,0.16941194742271204,0.21460988021896016,0,0.8231294259163661,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
5.5,CH,-0.48280285344433815,0.27668679395796303,0.21206680031472885,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
5.5,CS,0.17979779168530854,0.2261591671351631,0,0.7358230787459552,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
6,CH,-0.3935580792879002,0.302574618795679,0.18496526342940842,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
6,CS,0.1907322153513193,0.23822445340782697,0,0.6621520776900656,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
6.5,CH,-0.3062478900945806,0.3294607154303556,0.16329631217805982,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
6.5,CS,0.202234723518216,0.2508183074523816,0,0.5992627925057039,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
7,CH,-0.22087228586437788,0.35735369734495753,0.012301287899453655,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
7,CS,0.21432432385011269,0.2643545347447982,0,0.5450608588297938,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
7.5,CH,-0.13743126659729346,0.3862598698900169,0.0047261131352133315,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
7.5,CS,0.22701931614705445,0.27860992394545986,0,0.49796542574543473,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
8,CH,-0.05592483229332595,0.416182966618693,6.852816891985149e-5,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
8,CS,0.2403370511296438,0.29348127406751406,0,0.4566742843055299,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
8.5,CH,0.023647017047523415,0.44712386520091707,0,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
8.5,CS,0.25429365484896893,0.30897903748210387,0,0.4203068598180532,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
9,CH,0.10128428142525535,0.479080281565684,0,1.5788139790171254,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
9,CS,0.2689037147544059,0.3251116952120092,0,0.38807509788202854,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
9.5,CH,0.17698696083986984,0.5120464408387718,0,0.9775315748509665,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
9.5,CS,0.28417992303711764,0.34188540048068566,0,0.3593670395218066,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
10,CH,0.25075505529136655,0.5460127235567175,0,0.712056524973266,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
10,CS,0.3001326724114318,0.35930357996409595,0,0.3336656565138496,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
10.5,CH,0.32258856477974585,0.5809652855464986,0,0.5625932680656289,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
10.5,CS,0.31676959899585666,0.3773664884261175,0,0.3106329724987071,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
11,CH,0.3924874893050073,0.6168856497637945,0,0.46679998256607735,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
11,CS,0.33409506640606135,0.3962450287962931,0,0.28984239460118416,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
