"","species","temperature","replicate","cell_count"
"1","BB","16","1",62907
"2","BB","16","2",55518
"3","BB","16","3",84308
"4","BB","16","4",90914
"5","BB","16","5",80102
"6","BB","25","1",77198
"7","BB","25","2",83329
"8","BB","25","3",77023
"9","BB","25","4",79113
"10","BB","25","5",75298
"11","CH","16","1",119679
"12","CH","16","2",102258
"13","CH","16","3",137911
"14","CH","16","4",115812
"15","CH","16","5",110559
"16","CH","25","1",112707
"17","CH","25","2",98726
"18","CH","25","3",141470
"19","CH","25","4",110702
"20","CH","25","5",112991
"21","TT","16","1",35342
"22","TT","16","2",34071
"23","TT","16","3",49173
"24","TT","16","4",81909
"25","TT","16","5",63144
"26","TT","25","1",75038
"27","TT","25","2",67506
"28","TT","25","3",96469
"29","TT","25","4",76390
"30","TT","25","5",75525
