,species,temperature,replicate,start_time,cell_count
1,BB,16,1,2016-08-09 11:00:00,1000
2,BB,16,2,2016-08-09 11:00:00,1000
3,BB,16,3,2016-08-09 11:00:00,1000
4,BB,16,4,2016-08-09 11:00:00,1000
5,BB,16,5,2016-08-09 11:00:00,1000
6,BB,25,1,2016-08-09 11:00:00,1000
7,BB,25,2,2016-08-09 11:00:00,1000
8,BB,25,3,2016-08-09 11:00:00,1000
9,BB,25,4,2016-08-09 11:00:00,1000
10,BB,25,5,2016-08-09 11:00:00,1000
11,CH,16,1,2016-08-09 11:00:00,1000
12,CH,16,2,2016-08-09 11:00:00,1000
13,CH,16,3,2016-08-09 11:00:00,1000
14,CH,16,4,2016-08-09 11:00:00,1000
15,CH,16,5,2016-08-09 11:00:00,1000
16,CH,25,1,2016-08-09 11:00:00,1000
17,CH,25,2,2016-08-09 11:00:00,1000
18,CH,25,3,2016-08-09 11:00:00,1000
19,CH,25,4,2016-08-09 11:00:00,1000
20,CH,25,5,2016-08-09 11:00:00,1000
21,TT,16,1,2016-08-09 11:00:00,1000
22,TT,16,2,2016-08-09 11:00:00,1000
23,TT,16,3,2016-08-09 11:00:00,1000
24,TT,16,4,2016-08-09 11:00:00,1000
25,TT,16,5,2016-08-09 11:00:00,1000
26,TT,25,1,2016-08-09 11:00:00,1000
27,TT,25,2,2016-08-09 11:00:00,1000
28,TT,25,3,2016-08-09 11:00:00,1000
29,TT,25,4,2016-08-09 11:00:00,1000
30,TT,25,5,2016-08-09 11:00:00,1000
31,CONT,16,,2016-08-09 11:00:00,0
32,CONT,25,,2016-08-09 11:00:00,0
