"","unique_ID","species","temperature","replicate","start_time","cell_count","volume"
"1","BB_10_1","BB","10","1",2016-10-14 13:46:25,17809,955.99
"2","BB_10_2","BB","10","2",2016-10-14 13:50:34,22958,921.11
"3","BB_10_3","BB","10","3",2016-10-14 13:54:00,24641,870.18
"4","BB_10_4","BB","10","4",2016-10-14 13:57:07,26160,903.45
"5","BB_10_5","BB","10","5",2016-10-14 14:00:24,13664,934.33
"6","BB_30_1","BB","30","1",2016-10-14 15:04:02,13581,709.03
"7","BB_30_2","BB","30","2",2016-10-14 15:06:43,13873,676.07
"8","BB_30_3","BB","30","3",2016-10-14 15:13:18,8975,682.55
"9","BB_30_4","BB","30","4",2016-10-14 15:10:31,19309,580.58
"10","BB_30_5","BB","30","5",2016-10-14 15:18:49,12140,668.01
"11","CH_10_1","CH","10","1",2016-10-14 13:03:20,47925,416.83
"12","CH_10_2","CH","10","2",2016-10-14 13:06:44,58012,412.53
"13","CH_10_3","CH","10","3",2016-10-14 13:10:49,55782,437.71
"14","CH_10_4","CH","10","4",2016-10-14 13:14:31,49623,433.39
"15","CH_10_5","CH","10","5",2016-10-14 13:18:02,56183,443.56
"16","CH_30_1","CH","30","1",2016-10-14 14:24:41,59463,542.49
"17","CH_30_2","CH","30","2",2016-10-14 14:27:30,59688,505.83
"18","CH_30_3","CH","30","3",2016-10-14 14:30:23,55061,534.29
"19","CH_30_4","CH","30","4",2016-10-14 14:38:49,52885,584.18
"20","CH_30_5","CH","30","5",2016-10-14 14:42:09,64308,504.67
"21","CO_NT_1","CO","NT","1",2016-10-14 14:03:42,1437,662.97
"22","TT_10_1","TT","10","1",2016-10-14 13:21:44,35197,967.5
"23","TT_10_2","TT","10","2",2016-10-14 13:25:56,16539,979.09
"24","TT_10_3","TT","10","3",2016-10-14 13:31:54,16268,955.01
"25","TT_10_4","TT","10","4",2016-10-14 13:37:42,13727,1029.14
"26","TT_10_5","TT","10","5",2016-10-14 13:41:12,18143,984.55
"27","TT_30_1","TT","30","1",2016-10-14 14:45:57,17539,718.93
"28","TT_30_2","TT","30","2",2016-10-14 14:50:19,17581,681.6
"29","TT_30_3","TT","30","3",2016-10-14 14:53:05,24204,623.22
"30","TT_30_4","TT","30","4",2016-10-14 14:57:44,17455,641.57
"31","TT_30_5","TT","30","5",2016-10-14 15:00:46,21080,697.88
"32","BB_10_1","BB","10","1",2016-10-21 14:31:19,13985,1114.51
"33","BB_10_2","BB","10","2",2016-10-21 14:33:12,22096,965.35
"34","BB_10_3","BB","10","3",2016-10-21 14:35:21,13865,1029.05
"35","BB_10_4","BB","10","4",2016-10-21 14:37:12,24368,979.44
"36","BB_10_5","BB","10","5",2016-10-21 14:39:19,32078,960
"37","BB_30_1","BB","30","1",2016-10-21 15:10:34,26131,568.54
"38","BB_30_2","BB","30","2",2016-10-21 15:18:00,28529,498.57
"39","BB_30_3","BB","30","3",2016-10-21 15:20:11,19538,504.35
"40","BB_30_4","BB","30","4",2016-10-21 15:22:01,24613,495.67
"41","BB_30_5","BB","30","5",2016-10-21 15:24:22,16702,514.1
"42","CH_10_2","CH","10","2",2016-10-21 14:12:49,80759,389.01
"43","CH_10_3","CH","10","3",2016-10-21 14:14:55,79678,369
"44","CH_10_4","CH","10","4",2016-10-21 14:16:50,80594,407.92
"45","CH_10_5","CH","10","5",2016-10-21 14:18:37,92141,397.49
"46","CH_30_1","CH","30","1",2016-10-21 14:45:44,79229,480.3
"47","CH_30_2","CH","30","2",2016-10-21 14:47:29,57512,489.95
"48","CH_30_3","CH","30","3",2016-10-21 14:49:11,77639,494.63
"49","CH_30_4","CH","30","4",2016-10-21 14:51:51,78578,544.81
"50","CH_30_5","CH","30","5",2016-10-21 14:54:51,83258,531.85
"51","CO_NT_1","CO","NT","1",2016-10-21 14:42:42,1239,465.43
"52","TT_10_1","TT","10","1",2016-10-21 14:21:19,16902,1029.3
"53","TT_10_2","TT","10","2",2016-10-21 14:23:00,25207,969.04
"54","TT_10_3","TT","10","3",2016-10-21 14:25:23,26246,1137.97
"55","TT_10_4","TT","10","4",2016-10-21 14:27:13,14704,1038.16
"56","TT_10_5","TT","10","5",2016-10-21 14:29:06,26725,1023.88
"57","TT_30_1","TT","30","1",2016-10-21 14:56:47,22336,530.53
"58","TT_30_2","TT","30","2",2016-10-21 14:59:21,33878,538.68
"59","TT_30_3","TT","30","3",2016-10-21 15:01:29,20098,459.89
"60","TT_30_4","TT","30","4",2016-10-21 15:05:35,15103,605.65
"61","TT_30_5","TT","30","5",2016-10-21 15:07:40,12666,620.42
