"","X","unique_ID","unique_ID","species","temperature","replicate","start_time","cell_count","volume"
"1",1,"BB_10_1","BB_10_1","BB",10,1,2016-09-13 15:19:03,1263,865.95
"2",2,"BB_10_2","BB_10_2","BB",10,2,2016-09-13 15:21:07,851,673.54
"3",3,"BB_10_3","BB_10_3","BB",10,3,2016-09-13 15:23:09,391,513.32
"4",4,"BB_10_4","BB_10_4","BB",10,4,2016-09-13 15:25:21,820,608.84
"5",5,"BB_10_5","BB_10_5","BB",10,5,2016-09-13 15:27:34,648,587.02
"6",6,"BB_30_1","BB_30_1","BB",30,1,2016-09-13 18:18:45,1377,565.38
"7",7,"BB_30_2","BB_30_2","BB",30,2,2016-09-13 18:20:11,559,455.15
"8",8,"BB_30_3","BB_30_3","BB",30,3,2016-09-13 18:21:40,1167,600.19
"9",9,"BB_30_4","BB_30_4","BB",30,4,2016-09-13 18:23:07,1147,544.15
"10",10,"BB_30_5","BB_30_5","BB",30,5,2016-09-13 18:24:33,769,472.95
"11",11,"CH_10_1","CH_10_1","CH",10,1,2016-09-13 14:56:45,654,434.77
"12",12,"CH_10_2","CH_10_2","CH",10,2,2016-09-13 14:58:49,691,922.48
"13",13,"CH_10_3","CH_10_3","CH",10,3,2016-09-13 15:00:53,892,499.12
"14",14,"CH_10_4","CH_10_4","CH",10,4,2016-09-13 15:03:08,856,501.28
"15",15,"CH_10_5","CH_10_5","CH",10,5,2016-09-13 15:05:25,780,390.36
"16",16,"CH_30_1","CH_30_1","CH",30,1,2016-09-13 18:33:41,882,357.05
"17",17,"CH_30_2","CH_30_2","CH",30,2,2016-09-13 18:35:09,931,545.33
"18",18,"CH_30_3","CH_30_3","CH",30,3,2016-09-13 18:36:43,521,382.54
"19",19,"CH_30_4","CH_30_4","CH",30,4,2016-09-13 18:38:07,1407,493.24
"20",20,"CH_30_5","CH_30_5","CH",30,5,2016-09-13 18:39:40,696,415.15
"21",21,"CO_NT_1","CO_NA_1","CO",NA,1,2016-09-13 15:30:13,138,152.22
"22",22,"CO_NT_3","CO_NA_3","CO",NA,3,2016-09-13 18:16:53,604,331.27
"23",23,"TT_10_1","TT_10_1","TT",10,1,2016-09-13 15:07:29,685,618.26
"24",24,"TT_10_2","TT_10_2","TT",10,2,2016-09-13 15:09:55,241,720.7
"25",25,"TT_10_3","TT_10_3","TT",10,3,2016-09-13 15:12:19,160,523.22
"26",26,"TT_10_4","TT_10_4","TT",10,4,2016-09-13 15:14:36,191,600.59
"27",27,"TT_10_5","TT_10_5","TT",10,5,2016-09-13 15:16:47,343,661.88
"28",28,"TT_30_1","TT_30_1","TT",30,1,2016-09-13 18:26:02,165,797.67
"29",29,"TT_30_2","TT_30_2","TT",30,2,2016-09-13 18:27:30,120,177.92
"30",30,"TT_30_3","TT_30_3","TT",30,3,2016-09-13 18:28:58,221,645.44
"31",31,"TT_30_4","TT_30_4","TT",30,4,2016-09-13 18:30:13,206,1310.07
"32",32,"TT_30_5","TT_30_5","TT",30,5,2016-09-13 18:31:38,206,456.72
"33",33,"BB_10_1","BB_10_1","BB",10,1,2016-09-16 11:40:49,1327,933.38
"34",34,"BB_10_2","BB_10_2","BB",10,2,2016-09-16 11:42:48,1069,810.8
"35",35,"BB_10_3","BB_10_3","BB",10,3,2016-09-16 11:44:46,864,824.2
"36",36,"BB_10_4","BB_10_4","BB",10,4,2016-09-16 11:46:55,1000,886.76
"37",37,"BB_10_5","BB_10_5","BB",10,5,2016-09-16 11:48:57,931,926.46
"38",38,"BB_30_1","BB_30_1","BB",30,1,2016-09-16 15:46:13,43864,690.13
"39",39,"BB_30_2","BB_30_2","BB",30,2,2016-09-16 15:48:56,43736,730.88
"40",40,"BB_30_3","BB_30_3","BB",30,3,2016-09-16 15:52:29,34990,704.03
"41",41,"BB_30_4","BB_30_4","BB",30,4,2016-09-16 15:54:40,37924,764.04
"42",42,"BB_30_5","BB_30_5","BB",30,5,2016-09-16 15:56:50,39682,723.14
"43",43,"CH_10_1","CH_10_1","CH",10,1,2016-09-16 11:30:06,713,842.73
"44",44,"CH_10_2","CH_10_2","CH",10,2,2016-09-16 11:32:21,550,500.12
"45",45,"CH_10_3","CH_10_3","CH",10,3,2016-09-16 11:34:32,964,544.25
"46",46,"CH_10_4","CH_10_4","CH",10,4,2016-09-16 11:36:47,689,734.75
"47",47,"CH_10_5","CH_10_5","CH",10,5,2016-09-16 11:38:48,794,568.61
"48",48,"CH_30_1","CH_30_1","CH",30,1,2016-09-16 15:26:30,57700,449.42
"49",49,"CH_30_2","CH_30_2","CH",30,2,2016-09-16 15:30:01,58742,469.54
"50",50,"CH_30_3","CH_30_3","CH",30,3,2016-09-16 15:32:37,66441,471.68
"51",51,"CH_30_4","CH_30_4","CH",30,4,2016-09-16 15:39:05,52359,480.11
"52",52,"CH_30_5","CH_30_5","CH",30,5,2016-09-16 15:42:14,46710,526.28
"53",53,"CO_NT_1","CO_NA_1","CO",NA,1,2016-09-16 11:17:22,103,223.42
"54",54,"CO_NT_3","CO_NA_3","CO",NA,3,2016-09-16 16:02:36,231,780.46
"55",55,"TT_10_1","TT_10_1","TT",10,1,2016-09-16 11:19:24,758,1112.17
"56",56,"TT_10_2","TT_10_2","TT",10,2,2016-09-16 11:21:25,207,814.75
"57",57,"TT_10_3","TT_10_3","TT",10,3,2016-09-16 11:23:25,790,1218.82
"58",58,"TT_10_4","TT_10_4","TT",10,4,2016-09-16 11:25:27,205,2218.91
"59",59,"TT_10_5","TT_10_5","TT",10,5,2016-09-16 11:27:47,303,960.38
"60",60,"TT_30_1","TT_30_1","TT",30,1,2016-09-16 15:11:09,29207,916.01
"61",61,"TT_30_2","TT_30_2","TT",30,2,2016-09-16 15:13:52,20539,951.73
"62",62,"TT_30_3","TT_30_3","TT",30,3,2016-09-16 15:18:42,18997,1069.45
"63",63,"TT_30_4","TT_30_4","TT",30,4,2016-09-16 15:20:57,24171,1097.44
"64",64,"TT_30_5","TT_30_5","TT",30,5,2016-09-16 15:23:18,21233,1079.59
"65",65,"BB_10_1","BB_10_1","BB",10,1,2016-09-20 18:10:37,27408,851.63
"66",66,"BB_10_2","BB_10_2","BB",10,2,2016-09-20 18:11:54,18308,775.72
"67",67,"BB_10_3","BB_10_3","BB",10,3,2016-09-20 18:13:27,18492,628.1
"68",68,"BB_10_4","BB_10_4","BB",10,4,2016-09-20 18:15:00,22966,613.64
"69",69,"BB_10_5","BB_10_5","BB",10,5,2016-09-20 18:16:30,19561,541.31
"70",70,"BB_30_1","BB_30_1","BB",30,1,2016-09-20 15:55:26,32360,816.43
"71",71,"BB_30_2","BB_30_2","BB",30,2,2016-09-20 15:57:30,24833,808.61
"72",72,"BB_30_3","BB_30_3","BB",30,3,2016-09-20 15:59:31,24624,820.44
"73",73,"BB_30_4","BB_30_4","BB",30,4,2016-09-20 16:02:20,24288,798.77
"74",74,"BB_30_5","BB_30_5","BB",30,5,2016-09-20 16:04:22,16492,695.29
"75",75,"CH_10_1","CH_10_1","CH",10,1,2016-09-20 17:24:29,12598,594.92
"76",76,"CH_10_2","CH_10_2","CH",10,2,2016-09-20 17:25:56,10308,615.05
"77",77,"CH_10_3","CH_10_3","CH",10,3,2016-09-20 17:28:13,13834,556.02
"78",78,"CH_10_4","CH_10_4","CH",10,4,2016-09-20 17:29:37,21399,552.11
"79",79,"CH_10_5","CH_10_5","CH",10,5,2016-09-20 17:33:27,29677,535.38
"80",80,"CH_30_1","CH_30_1","CH",30,1,2016-09-20 15:44:57,51764,568.27
"81",81,"CH_30_2","CH_30_2","CH",30,2,2016-09-20 15:46:55,43529,583.13
"82",82,"CH_30_3","CH_30_3","CH",30,3,2016-09-20 15:48:57,39897,578.37
"83",83,"CH_30_4","CH_30_4","CH",30,4,2016-09-20 15:50:56,38316,560.42
"84",84,"CH_30_5","CH_30_5","CH",30,5,2016-09-20 15:53:21,44426,567.69
"85",85,"CO_NT_1","CO_NA_1","CO",NA,1,2016-09-20 17:22:44,131,553.21
"86",86,"CO_NT_3","CO_NA_3","CO",NA,3,2016-09-20 16:07:16,105,384.42
"87",87,"TT_10_1","TT_10_1","TT",10,1,2016-09-20 18:18:19,1617,1178.84
"88",88,"TT_10_2","TT_10_2","TT",10,2,2016-09-20 18:19:45,1535,1274.93
"89",89,"TT_10_3","TT_10_3","TT",10,3,2016-09-20 18:21:14,2595,1227.08
"90",90,"TT_10_4","TT_10_4","TT",10,4,2016-09-20 18:22:36,2304,1149.36
"91",91,"TT_10_5","TT_10_5","TT",10,5,2016-09-20 18:24:13,1442,1099.25
"92",92,"TT_30_1","TT_30_1","TT",30,1,2016-09-20 15:32:35,12941,1058.82
"93",93,"TT_30_2","TT_30_2","TT",30,2,2016-09-20 15:36:56,17256,1135.48
"94",94,"TT_30_3","TT_30_3","TT",30,3,2016-09-20 15:38:45,17377,1089.59
"95",95,"TT_30_4","TT_30_4","TT",30,4,2016-09-20 15:40:51,11461,1054.47
"96",96,"TT_30_5","TT_30_5","TT",30,5,2016-09-20 15:42:48,19156,1104.86
"97",97,"BB_10_1","BB_10_1","BB",10,1,2016-09-23 15:53:00,24093,871.81
"98",98,"BB_10_2","BB_10_2","BB",10,2,2016-09-23 15:54:52,25146,763.41
"99",99,"BB_10_3","BB_10_3","BB",10,3,2016-09-23 15:56:31,28399,548.22
