Species,term,estimate,std.error,statistic,p.value
AC,b1,0.22446609259314995,284.2882737956891,7.895721114211982e-4,0.9994973428866154
AC,b2,0.15880436962744193,10.137940446046022,0.015664362053870465,0.9900285729120857
AC,d0,0,2.247418364326531,0,1
AC,d1,0.14565240755798115,285.5799555874644,5.10023216644742e-4,0.9996753091640707
AC,d2,0.1719010346511637,10.884700417389116,0.015792904541179566,0.989946760462762
CH,b1,11.431103721541197,2733.9581468138667,0.0041811553460914955,0.9973382093464601
CH,b2,0.01871150081604414,11.833089883427302,0.0015812861222536912,0.9989933228278562
CH,d0,11.03794586970119,4691.250788105763,0.002352879086679163,0.9985021134155458
CH,d1,1.4186709407225375,1941.1547350653425,7.308386678791904e-4,0.9995347337364542
CH,d2,0.055875734230550804,14.771215255426396,0.003782744565314227,0.9975918415021
CS,b1,0.19951738640995503,1008.0694063348669,1.9792028719069972e-4,0.9998740000334669
CS,b2,0.1754960310087811,25.976989545389223,0.006755826370955703,0.9956991727843949
CS,d0,0,2.7082961806082233,0,1
CS,d1,0.1532930536754066,1009.4497036518766,1.5185804019837717e-4,0.9999033241697599
CS,d2,0.18451387285334916,26.46032127907993,0.006973228741528154,0.99556077665874
TT,b1,1.6119147883321305,1.814742114758251,0.8882335265288425,0.5376382601866141
TT,b2,0.055729244409676484,0.7680631483396794,0.07255815427435398,0.9538888512853192
TT,d0,1.9074318454743557,15.623639613527228,0.12208626751879677,0.9226602040445777
TT,d1,0.2441349782603874,16.065972206398573,0.015195779945589355,0.9903268105352152
TT,d2,0.10582542060505744,0.9317487827525881,0.11357720295853371,0.9280030308120816
