Temperature,N.Treatment,term,estimate,std.error,statistic,p.value
13,0,a,0.027759263050348825,0.0018698810339068735,14.845470137931423,2.5087021913298062e-5
13,11,a,0.035359997119656546,9.382630114849387e-4,37.68665788465238,2.4779645693854373e-7
13,22,a,0.03800922982431417,8.114658989105834e-4,46.84020594746208,1.2426750482926868e-6
13,33,a,0.04014511215132307,5.851544343828957e-4,68.60601200717232,6.451762539711843e-10
13,55,a,0.03886006173853556,9.015406656495493e-4,43.104058662220574,1.2682703809677942e-7
13,110,a,0.0351474952826923,3.264283999129293e-4,107.67290864418493,1.3102988487345216e-9
13,220,a,0.03548712524093465,0.0011804925431277943,30.061287085227264,7.640655804578089e-7
13,330,a,0.03215408458496359,9.137730675015769e-4,35.188260333475085,3.487901798633803e-7
13,440,a,0.0323467962418284,6.874550814234786e-4,47.05295970007163,8.189732377490657e-8
16,0,a,0.06338891771836039,0.004315891748124929,14.687328000267888,6.846076401559504e-4
16,11,a,0.05767793608607333,5.758762769404946e-4,100.15681908708525,5.95855001465367e-8
16,22,a,0.059116516360542264,4.258850217497914e-4,138.80862989183353,1.6156047797722756e-8
16,33,a,0.05446505542978208,9.784634808378805e-4,55.66386124410327,3.539456901293708e-8
16,55,a,0.05711967093084748,7.704297422395155e-4,74.14001277366287,8.456573385183862e-9
16,110,a,0.05199295466621752,2.731731251358974e-4,190.32968429947937,1.4193052296443061e-12
16,220,a,0.04739675393309716,2.2129929163190647e-4,214.17490125514524,6.991062956503905e-13
16,330,a,0.04547444488701882,5.402519731397291e-4,84.17265858880529,1.8937056259003356e-10
16,440,a,0.04847674980918622,5.269120002702959e-4,92.00160517186659,1.1110241711833066e-10
19,0,a,0.03997312405936731,0.0028551073579457264,14.000567771338835,3.342914614846382e-5
19,11,a,0.060398853790466056,0.0016758990657397852,36.039672689837346,3.5383604450159063e-6
19,22,a,0.051745820712300335,0.002103670517784412,24.597873229121017,2.0708860668917593e-6
19,33,a,0.05790208384788378,0.0017110496523786696,33.84009562048031,4.2373190674124587e-7
19,55,a,0.05919875178523205,0.0010289049698477264,57.53568455791715,3.000632638365277e-8
19,110,a,0.06226333506063623,9.777257684298025e-4,63.681798180106505,1.807509341036806e-8
19,220,a,0.06461921848822529,4.547774154853109e-4,142.0897702654552,3.2753623685321484e-10
19,330,a,0.06476454776043471,5.934044416643087e-4,109.14065216429957,1.2245614412924167e-9
19,440,a,0.06672147925061063,1.750983117156011e-4,381.0515281208494,2.3623991504937206e-12
22,0,a,0.04927418248494812,0.0033098379837045696,14.887188656224646,2.4744065876051903e-5
22,11,a,0.06196185345571089,0.0022829187693118973,27.14150599164202,1.2701010406288763e-6
22,22,a,0.06402155200648556,0.0015570634224002357,41.11685566911296,1.3123594157377973e-9
22,33,a,0.06666788928069739,0.001284216923336556,51.91326174668831,2.5782318812893905e-10
22,55,a,0.06710008968952041,4.935258804451597e-4,135.9606301274337,3.0716481509766386e-13
22,110,a,0.07397290322240654,0.001945975100839927,38.01328351553838,2.2682855626444223e-9
22,220,a,0.07228310554768844,0.001097808904460159,65.84306727156056,4.8980693877912525e-11
22,330,a,0.08238924613456251,6.407761311396292e-4,128.5772707981992,1.492467486511434e-11
22,440,a,0.07617707356691615,0.0017612096939644939,43.25269945309073,9.217992235844549e-10
25,0,a,0.0694494502114679,0.00653859622344533,10.621461830361113,0.0017833233796837934
25,11,a,0.08136171196278157,0.0028813258720598554,28.237594626745985,9.750577219626907e-5
25,22,a,0.08405284570222017,0.0012444494018262625,67.54219623463227,7.085235242117618e-10
25,33,a,0.09015922586662227,0.0037530145127918336,24.02314874065159,3.4176807258272083e-7
25,55,a,0.08659398516524199,0.001616920152324161,53.55489264004273,2.8452891206923345e-9
25,110,a,0.08617038341275762,3.2623912172342423e-4,264.1325876478122,2.9436470678416085e-15
25,220,a,0.08759865002880661,3.153348765165462e-4,277.7956279257621,2.0681155637134694e-15
25,330,a,0.08777667530187054,2.3230553276197435e-4,377.8501280544556,2.4014411094328195e-16
25,440,a,0.08944395680189017,2.4337888200639656e-4,367.5091119842492,2.916274476442963e-16
28,0,a,0.06043900468355798,0.007352527287705511,8.220167340911571,0.003768439818742214
28,11,a,0.07879699063565952,0.0022516199723961153,34.99568826075291,5.130409035274283e-5
28,22,a,0.08788055231782817,0.0017789379527813356,49.40057194261812,4.614369919310502e-9
28,33,a,0.09306802046078959,0.0010153428446688171,91.66166970049053,1.1359608136324792e-10
28,55,a,0.08394533458360803,6.378750264001354e-4,131.6015380902365,1.2982044637601205e-11
28,110,a,0.08960042050686697,7.774749670398739e-4,115.24540892680817,2.8777103206854382e-11
28,220,a,0.09315302516160498,3.770586688397462e-4,247.0518061506125,2.9679973486097977e-13
28,330,a,0.08607972682155433,0.0010761833409558674,79.98611718436212,2.57126849323279e-10
28,440,a,0.08568247085852763,8.069294652465409e-4,106.18334631311188,4.702824955310962e-11
