term,estimate,std.error,statistic,p.value,Species,Temperature,N.Treatment
r,0.3852607320818468,0.045081561322490596,8.545860453365561,5.9662393394235684e-5,AC,13,0
r,0.3327403262091048,0.07571071751398269,4.394890672481772,0.003176483888131143,AC,13,11
r,0.2943782595433345,0.032576578892486344,9.036500134494837,4.1548407278082044e-5,AC,13,22
r,0.23612623499727406,0.05043539633482559,4.681756309194087,0.0022561796857027507,AC,13,33
r,0.3179753641789872,0.05217352256307081,6.094573426484621,4.937155528300398e-4,AC,13,55
r,0.2642396739137371,0.0406108849981461,6.50662190508283,3.3205981363379825e-4,AC,13,110
r,0.23926761637493837,0.05202133596640035,4.599413143281769,0.00248590712135669,AC,13,220
r,0.37964854870174075,0.02861120901840858,13.269224256041511,3.2296804385881836e-6,AC,13,440
r,0.2914091297434115,0.07189895797155878,4.053036900182682,0.004852126738810483,AC,16,0
r,0.5071956981741768,0.07097078215972658,7.14654231980541,1.859211701004124e-4,AC,16,11
r,0.46738772885222285,0.05188389832669925,9.008338693233984,4.240082033153797e-5,AC,16,22
r,0.3668884014012064,0.02902208088454536,12.6416986728398,4.479090137899151e-6,AC,16,33
r,0.33497717404454913,0.07179860149080469,4.6655111254144686,0.002299576091658436,AC,16,55
r,0.38172402587423787,0.05584651250176264,6.835234802928649,2.452429801656783e-4,AC,16,110
r,0.32028469597460923,0.06990609083675135,4.581642202287582,0.0025388055054147325,AC,16,220
r,0.4657939884724498,0.033830148734848596,13.76860598879464,2.5149879846846776e-6,AC,16,440
r,0.29554933795709165,0.10420924290257406,2.836114434046918,0.029718151089352392,AC,19,0
r,0.7034916664363574,0.057233153417733,12.291681034971402,6.308588937987716e-5,AC,19,11
r,0.6855166732934898,0.06509895684586503,10.530378772682784,4.3104878098810365e-5,AC,19,22
r,0.6639426293947668,0.040390996313871254,16.43788690517527,3.229856452532482e-6,AC,19,33
r,0.5666403586908192,0.06917930241997727,8.190894369689213,4.412423741761622e-4,AC,19,55
r,0.5134333672433736,0.09650103952512111,5.320495714553592,0.0017943319081318333,AC,19,110
r,0.5252586012237652,0.12064217301063007,4.3538556055143625,0.004802418521493913,AC,19,220
r,0.7083328729356332,0.10234989343296645,6.920699662472558,4.5045682979651027e-4,AC,19,440
r,0.3120279004902778,0.07372791766437997,4.232153984202747,0.0021996084879554244,AC,22,0
r,0.66605835473996,0.05894661075231889,11.299349466224538,1.2832454842876537e-6,AC,22,11
r,0.7767161737937104,0.03423681103564955,22.686580621803355,1.509898292256741e-8,AC,22,22
r,0.7729496509169013,0.07509766845222862,10.292591858675248,2.8131776480759694e-6,AC,22,33
r,0.7805057907960025,0.061028704504790914,12.78915875946098,4.467778730728468e-7,AC,22,55
r,0.7989070014705495,0.06922410420798672,11.540878868872033,1.0727477021977487e-6,AC,22,110
r,0.6456869410992675,0.10685065405035636,6.042891799192632,1.9214591582522816e-4,AC,22,220
r,0.8587379667086881,0.06704781442527229,12.807844283511866,4.4122032661181766e-7,AC,22,440
r,0.9275269930309119,0.09279839473891315,9.9950758376855,3.5929366656375527e-6,AC,22,330
r,0.4292390364547508,0.0645487259112535,6.6498452199490545,5.710455135641915e-5,AC,25,0
r,0.7757886582648501,0.04341289473439655,17.870005283250176,6.43377338706318e-9,AC,25,11
r,0.8439344437598364,0.05787137605186226,14.582933763377813,4.5831111154093075e-8,AC,25,22
r,0.9178735198394858,0.036607920395591687,25.07308554872229,2.33134275122442e-10,AC,25,33
r,0.902011616145175,0.03520012823485021,25.62523665047703,1.8807646248843715e-10,AC,25,55
r,0.9483540458900459,0.05802754279827361,16.34317084883113,1.5295334961188457e-8,AC,25,110
r,0.9665688845493624,0.0428423642276879,22.561053806752668,6.58832689622849e-10,AC,25,220
r,1.0083963392239574,0.08141625135211424,12.385688636815027,2.168452234592139e-7,AC,25,440
r,1.113043972033115,0.04470621430333426,24.896851352276148,2.499176079445596e-10,AC,25,330
r,0.4375135449670725,0.06425556037923527,6.808960071079836,4.6886774149168664e-5,AC,28,0
r,0.8438497031760104,0.06005169032387401,14.052055797678879,6.536366936725688e-8,AC,28,11
r,0.9044084630398163,0.0498781030369613,18.132374889430338,5.583461250030462e-9,AC,28,22
r,0.9568488160478046,0.03781683759374588,25.302190160026697,2.1313994389494162e-10,AC,28,33
r,0.9681550313116081,0.04181729382686931,23.152024980859217,5.109912711022244e-10,AC,28,55
r,1.0173878792060087,0.049223515967135756,20.66873646094828,1.5555969626399328e-09,AC,28,110
r,1.0240988110173461,0.050475723491652184,20.288937734329146,1.8651897139677964e-9,AC,28,220
r,1.0115538262564925,0.039440387589921834,25.647664439154088,1.8646068404920068e-10,AC,28,440
r,1.0622442130023222,0.0410087903636619,25.902841892736788,1.6911258557792567e-10,AC,28,330
r,0.47198287767398844,0.043995038872518856,10.728093207091328,1.3436749980433796e-5,CH,13,0
