term,estimate,std.error,statistic,p.value,Species,Temperature,N.Treatment
r,0.4822123149591772,0.04827018795823122,9.989857826458877,2.1537790613114074e-5,AC,13,0
r,0.4294537714868481,0.06690780574977645,6.418589978767656,3.6085001731147025e-4,AC,13,11
r,0.3910830054024257,0.03614678581658049,10.819302368595006,1.2701645258300568e-5,AC,13,22
r,0.33280478355322024,0.05298626249725203,6.280963552967718,4.116477337980095e-4,AC,13,33
r,0.41441060889238224,0.05108087618539359,8.112832821980481,8.334268898574257e-5,AC,13,55
r,0.3608895432502118,0.023509535558104987,15.35077298138261,1.2003282067769086e-6,AC,13,110
r,0.33588924680956844,0.04450556294686674,7.547129495038003,1.3197946934779392e-4,AC,13,220
r,0.4762432994028738,0.047612463725291196,10.002492249732056,2.1359085264217002e-5,AC,13,440
r,0.3883028966995528,0.07014430039001726,5.5357726079026515,8.729028698949458e-4,AC,16,0
r,0.6037547247450086,0.05942217183366332,10.160428441341061,1.926140119849597e-5,AC,16,11
r,0.5639288817440836,0.044261485121969736,12.74084862245552,4.249319843359877e-6,AC,16,22
r,0.4634130864813501,0.027464978595432146,16.872872661128632,6.289617452263295e-7,AC,16,33
r,0.4314865713020964,0.05572996082593471,7.74245244222921,1.122621690229745e-4,AC,16,55
r,0.4782197021465347,0.03876062872282585,12.337769481662576,5.276475128557876e-6,AC,16,110
r,0.4167647518131846,0.048463124252627596,8.599626174339932,5.7294229986374655e-5,AC,16,220
r,0.5622590018878041,0.021854682903249406,25.727163572993597,3.426225676032264e-8,AC,16,440
r,0.40570915286400133,0.08623444871005588,4.704722520208924,0.003309925413211383,AC,19,0
r,0.8117131964260683,0.07832440400634301,10.363477471980925,1.4401213309886052e-4,AC,19,11
r,0.7945806414462107,0.04061946586121938,19.561572871513818,1.1564874357575e-6,AC,19,22
r,0.7729685615353342,0.03003233234162234,25.73787985370898,2.2677061813910036e-7,AC,19,33
r,0.6747605213658453,0.04704036462324542,14.344287651044404,2.968630671109097e-5,AC,19,55
r,0.6224144411637704,0.06988243239335085,8.906593829767605,1.1164423377666509e-4,AC,19,110
