term,estimate,std.error,statistic,p.value,Species,Temperature
umax,0.3862617569089769,0.040943276148061813,9.434070578821082,1.3485977284626525e-13,AC,13
ks,1e-4,2.5990420047877727,3.8475715211907704e-5,0.9999694243533075,AC,13
umax,0.4858983210694351,0.037494692376709625,12.95912275229808,2.654061827284274e-19,AC,16
ks,1e-4,1.8890387716635861,5.293697593720365e-5,0.9999579323668464,AC,16
umax,0.7153390775509869,0.04801219998884896,14.899110595163885,2.0938235098714052e-20,AC,19
ks,1e-4,1.6447138244166346,6.080085089299296e-5,0.9999517205968232,AC,19
umax,0.9357615553218684,0.039950674987386914,23.42292228147093,2.4644680803742434e-39,AC,22
ks,1.9592639882176937,1.3934946341432946,1.4060075584160594,0.16328342275199845,AC,22
umax,1.1360085644459432,0.03947753845395922,28.77607391278502,2.692216645904337e-49,AC,25
ks,3.4289484539700568,1.3023629363485643,2.632867043639772,0.009853049761014743,AC,25
umax,1.1534987657590443,0.038254471100790825,30.153305811492405,4.536935123050808e-51,AC,28
ks,2.3974922693569494,1.1286567011374093,2.124199738450908,0.036196327416749656,AC,28
umax,0.6805430991205921,0.04598067798129594,14.80063211328515,3.020402724635008e-23,CH,13
ks,1e-4,1.7704602468126256,5.648248820047264e-5,0.9999550941540122,CH,13
umax,1.0377182795978481,0.05838984284974199,17.77223963880618,6.462978004881842e-25,CH,16
ks,1e-4,1.7034504547942575,5.870437835075044e-5,0.999953365658144,CH,16
umax,1.3584477422374766,0.07689373645245377,17.6665591361587,3.841845535543098e-23,CH,19
ks,1.4620648146625297,2.126034473324491,0.6876957231913043,0.4948223670709211,CH,19
umax,1.3724025233572188,0.054147250947004816,25.34574700201163,2.649033102516622e-37,CH,22
ks,0.07925805624361672,1.437698090979252,0.055128442293216146,0.9561909740612426,CH,22
umax,1.7040529735877843,0.07838456243708601,21.739650265388832,2.509402170959173e-32,CH,25
ks,0.9468898304386237,1.6879776722906934,0.5609611110279876,0.5766679267569326,CH,25
umax,1.6302782170424792,0.07500163729072874,21.736568372808104,4.651198203693778e-32,CH,28
ks,0.7202127915413676,1.5729925107447789,0.45786155154696956,0.648533379391885,CH,28
umax,0.4653010604699256,0.02462840268943551,18.89286391559283,2.0655044405426267e-27,CS,13
ks,0.45298059653396366,1.4645499529862716,0.3092967881432241,0.7581328434232916,CS,13
umax,0.5272221039781881,0.047603456137472605,11.075290467474444,2.097645452752135e-15,CS,16
ks,1e-4,2.3640208510612917,4.230081132960672e-5,0.9999664076550578,CS,16
umax,0.7292262239701462,0.04625955872657628,15.763795506142674,1.1758921471170372e-21,CS,19
ks,0.46873806560476217,1.758554124114331,0.2665474205070799,0.7908519638951502,CS,19
umax,0.8259197901988541,0.04017807197020249,20.556481426271176,1.2361090139540571e-29,CS,22
ks,0.1294622385835457,1.3101040311745697,0.09881828885563898,0.9215963027723828,CS,22
umax,0.8384810438707729,0.036991521767145714,22.666843747300927,1.6740345067253328e-38,CS,25
ks,0.2051350990585156,1.2942661604492232,0.1584952966608629,0.8744296857194684,CS,25
umax,0.5456725949954266,0.033972528220831036,16.062172101187187,9.404427585192159e-27,CS,28
ks,0.724698873526452,1.7792662942339215,0.407302086188553,0.6848739453949961,CS,28
umax,0.3927150057345626,0.03166440365106544,12.402412818576755,4.001018524444165e-19,TT,13
ks,1e-4,2.694321293449355,3.711509842687575e-5,0.9999704951055978,TT,13
umax,0.6309718402956468,0.0396891314093331,15.89784955957163,1.3495731918738226e-24,TT,16
ks,5.522322459641605,3.262450406559852,1.6926916187102181,0.09509150214017931,TT,16
umax,0.8431874284400575,0.055801816038383384,15.110394039148643,1.1521544501756049e-20,TT,19
ks,3.762262272904457,2.552777562522184,1.4737916566405744,0.14656605068122494,TT,19
umax,0.9891341743937013,0.0638740792115565,15.4856897602798,1.6643309302592322e-25,TT,22
ks,5.950309146123109,2.970803594861825,2.0029291591051352,0.048659121093011494,TT,22
umax,1.0586816509978372,0.05696267225979609,18.585533455477442,1.4239986231330603e-30,TT,25
ks,11.128821181325563,4.033159320666846,2.759330910707865,0.007195593126797507,TT,25
umax,0.9549132376546142,0.052598149884835084,18.154882628864698,5.622835250197553e-29,TT,28
ks,11.359700804404232,4.311724410188825,2.634607345859276,0.010253584308793796,TT,28
