file_name,X3,X4,X5,X6,species,temperature,replicate,cell_density,start_time,cell_volume,begin.time,time_since_innoc,time_since_innoc_days,time_since_innoc_hours,total_biovolume
flowcamdata/summaries_mix_010617/mx1-24-1_summary,NA,NA,NA,NA,mx1,24,1.lst,36588.0,2017-06-01T12:29:51Z,566.15,2017-04-04T11:00:00Z,2017-04-04 11:00:00 UTC--2017-06-01 12:29:51 UTC,58.06239583333333,1393.4975,20714296.2
flowcamdata/summaries_mix_010617/mx1-24-2_summary,NA,NA,NA,NA,mx1,24,2.lst,34753.0,2017-06-01T12:31:17Z,643.55,2017-04-04T11:00:00Z,2017-04-04 11:00:00 UTC--2017-06-01 12:31:17 UTC,58.0633912037037,1393.5213888888889,22365293.15
flowcamdata/summaries_mix_010617/mx1-24-3_summary,NA,NA,NA,NA,mx1,24,3.lst,30146.0,2017-06-01T12:34:10Z,704.5,2017-04-04T11:00:00Z,2017-04-04 11:00:00 UTC--2017-06-01 12:34:10 UTC,58.06539351851852,1393.5694444444443,21237857.0
flowcamdata/summaries_mix_010617/mx1-24-4_summary,NA,NA,NA,NA,mx1,24,4.lst,37859.0,2017-06-01T12:35:31Z,688.19,2017-04-04T11:00:00Z,2017-04-04 11:00:00 UTC--2017-06-01 12:35:31 UTC,58.06633101851852,1393.5919444444444,26054185.21
flowcamdata/summaries_mix_010617/mx1-24-5_summary,NA,NA,NA,NA,mx1,24,5.lst,25714.0,2017-06-01T12:41:40Z,626.8,2017-04-04T11:00:00Z,2017-04-04 11:00:00 UTC--2017-06-01 12:41:40 UTC,58.070601851851855,1393.6944444444443,16117535.2
flowcamdata/summaries_mix_010617/mx2-24-1_summary,NA,NA,NA,NA,mx2,24,1.lst,7410.0,2017-06-01T12:05:36Z,331.6,2017-04-11T11:00:00Z,2017-04-11 11:00:00 UTC--2017-06-01 12:05:36 UTC,51.04555555555555,1225.0933333333332,2457156.0
flowcamdata/summaries_mix_010617/mx2-24-2_summary,NA,NA,NA,NA,mx2,24,2.lst,10257.0,2017-06-01T12:04:01Z,310.65,2017-04-11T11:00:00Z,2017-04-11 11:00:00 UTC--2017-06-01 12:04:01 UTC,51.04445601851852,1225.0669444444445,3186337.05
flowcamdata/summaries_mix_010617/mx2-24-3_summary,NA,NA,NA,NA,mx2,24,3.lst,9609.0,2017-06-01T12:08:04Z,329.01,2017-04-11T11:00:00Z,2017-04-11 11:00:00 UTC--2017-06-01 12:08:04 UTC,51.04726851851852,1225.1344444444444,3161457.09
flowcamdata/summaries_mix_010617/mx2-24-4_summary,NA,NA,NA,NA,mx2,24,4.lst,12123.0,2017-06-01T12:09:32Z,430.34,2017-04-11T11:00:00Z,2017-04-11 11:00:00 UTC--2017-06-01 12:09:32 UTC,51.048287037037035,1225.158888888889,5217011.819999999
flowcamdata/summaries_mix_010617/mx2-24-5_summary,NA,NA,NA,NA,mx2,24,5.lst,9789.0,2017-06-01T12:11:27Z,322.27,2017-04-11T11:00:00Z,2017-04-11 11:00:00 UTC--2017-06-01 12:11:27 UTC,51.049618055555555,1225.1908333333333,3154701.03
