"","Species","model","AIC","logLik"
"1","AC","IDE_kb_fixed",1566.43265795038,-775.216328975191
"2","CH","IDE_kb_fixed",1342.23400058537,-663.117000292685
"3","CS","IDE_kb_fixed",1096.32715530631,-540.163577653154
"4","TT","IDE_kb_fixed",1156.39904544292,-570.199522721462
"5","AC","IDE_kg_fixed",1196.97796081263,-590.488980406313
"6","CH","IDE_kg_fixed",1178.78976973352,-581.394884866759
"7","CS","IDE_kg_fixed",833.563228008538,-408.781614004269
"8","TT","IDE_kg_fixed",1092.61115670744,-538.305578353721
"9","AC","IDE_kb_var",1692.55215266659,-837.276076333296
"10","CH","IDE_kb_var",1924.34834958536,-953.17417479268
"11","CS","IDE_kb_var",1029.47570257517,-505.737851287584
"12","TT","IDE_kb_var",1224.03136471193,-603.015682355965
"13","AC","IDE_kg_var",1196.97238459425,-589.486192297127
"14","CH","IDE_kg_var",1180.73528295177,-581.367641475884
"15","CS","IDE_kg_var",835.673632595489,-408.836816297744
"16","TT","IDE_kg_var",1092.20559378738,-537.102796893692
"17","AC","NB_fixed",982.196487572064,-483.098243786032
"18","CH","NB_fixed",865.052929936009,-424.526464968004
"19","CS","NB_fixed",616.607506438375,-300.303753219188
"20","TT","NB_fixed",980.064209128462,-482.032104564231
"21","AC","NB_var",963.393352483016,-472.696676241508
"22","CH","NB_var",866.816836310985,-424.408418155492
"23","CS","NB_var",618.09213186653,-300.046065933265
"24","TT","NB_var",975.724531319278,-478.862265659639
