"","date","species","temperature","replicate","abs"
"1",2017-04-11,"1","38","1",0.062
"2",2017-04-11,"2","38","1",0.051
"3",2017-04-11,"1","03","2",0.054
"4",2017-04-11,"2","03","2",0.013
"5",2017-04-11,"1","10","2",0.039
"6",2017-04-11,"2","10","2",0.052
"7",2017-04-11,"1","17","2",0.018
"8",2017-04-11,"2","17","2",0.056
"9",2017-04-11,"1","24","2",0.019
"10",2017-04-11,"2","24","2",0.04
"11",2017-04-11,"1","31","2",0.024
"12",2017-04-11,"2","31","2",0.048
"13",2017-04-11,"1","38","2",0.05
"14",2017-04-11,"2","38","2",0.051
"15",2017-04-11,"1","03","3",0.054
"16",2017-04-11,"2","03","3",0.161
"17",2017-04-11,"1","10","3",0.017
"18",2017-04-11,"2","10","3",0.069
"19",2017-04-11,"1","17","3",0.019
"20",2017-04-11,"2","17","3",0.033
"21",2017-04-11,"1","24","3",0.029
"22",2017-04-11,"2","24","3",0.045
"23",2017-04-11,"1","31","3",0.048
"24",2017-04-11,"2","31","3",0.045
"25",2017-04-11,"1","38","3",0.05
"26",2017-04-11,"2","38","3",0.085
"27",2017-04-11,"1","03","4",0.053
"28",2017-04-11,"2","03","4",0.045
"29",2017-04-11,"1","10","4",0.02
"30",2017-04-11,"2","10","4",0.139
"31",2017-04-11,"1","17","4",0.016
"32",2017-04-11,"2","17","4",0.053
"33",2017-04-11,"1","24","4",0.029
"34",2017-04-11,"2","24","4",0.074
"35",2017-04-11,"1","31","4",0.02
"36",2017-04-11,"2","31","4",0.056
"37",2017-04-11,"1","38","4",0.049
"38",2017-04-11,"2","38","4",0.045
"39",2017-04-11,"1","03","5",0.065
"40",2017-04-11,"2","03","5",0.099
"41",2017-04-11,"1","10","5",0.023
"42",2017-04-11,"2","10","5",0.067
"43",2017-04-11,"1","17","5",0.025
"44",2017-04-11,"2","17","5",0.032
"45",2017-04-11,"1","24","5",0.022
"46",2017-04-11,"2","24","5",0.037
"47",2017-04-11,"1","31","5",0.023
"48",2017-04-11,"2","31","5",0.049
"49",2017-04-11,"1","38","5",0.052
"50",2017-04-11,"2","38","5",0.039
"51",2017-04-14,"medium","apr","14",0.021
"52",2017-04-14,"medium","apr","14",0.042
"53",2017-04-14,"medium","apr","14",0.046
"54",2017-04-04,"1","03","2",0.057
"55",2017-04-04,"1","03","1",0.021
"56",2017-04-04,"1","10","1",0.049
"57",2017-04-04,"1","17","1",0.022
"58",2017-04-04,"1","24","1",0.026
"59",2017-04-04,"1","31","1",0.025
"60",2017-04-04,"1","38","1",0.046
"61",2017-04-04,"1","10","2",0.114
"62",2017-04-04,"1","17","2",0.032
"63",2017-04-04,"1","24","2",0.035
"64",2017-04-04,"1","31","2",0.039
"65",2017-04-04,"1","38","2",0.051
"66",2017-04-04,"1","03","1",0.04
