"","r","K","temp","species","rep","Species"
"1",-0.03,2.76043347921799,3,1,1,"TT"
"2",-0.03,2.58963120946818,3,1,2,"TT"
"3",-0.03,3.05826423685586,3,1,3,"TT"
"4",-0.03,2.74079593186981,3,1,4,"TT"
"5",-0.03,2.61171404972911,3,1,5,"TT"
"6",-0.06,3.52068813581925,3,2,1,"CS"
"7",2,4.86196053826015,3,2,2,"CS"
"8",-2,4.95322096228099,3,2,3,"CS"
"9",2,4.74306396722168,3,2,4,"CS"
"10",0.06,3.93783352523739,3,2,5,"CS"
"11",-2,4.16450761196596,3,3,1,"AC"
"12",2,4.62985835256132,3,3,2,"AC"
"13",-2,4.49390823086283,3,3,3,"AC"
"14",2,4.93176568531349,3,3,4,"AC"
"15",0.6,4.4696147911256,3,3,5,"AC"
"16",-2,3.47679710759858,3,4,1,"CH"
"17",-0.06,2.55872953988884,3,4,2,"CH"
"18",-0.06,3.14951941869072,3,4,3,"CH"
"19",-0.06,3.62867960048535,3,4,4,"CH"
"20",-0.06,2.6061325985513,3,4,5,"CH"
"21",-0.06,2.36473248988638,10,1,1,"TT"
"22",-0.06,2.67236750118956,10,1,2,"TT"
"23",-0.06,2.53426429486078,10,1,3,"TT"
"24",-2.98252281223334,2.37719887092609,10,1,4,"TT"
"25",-2.90912910535733,2.67115674652302,10,1,5,"TT"
"26",-2.96239505830601,2.56819765456227,10,2,1,"CS"
"27",-0.06,1.98996102565172,10,2,2,"CS"
"28",-0.06,2.78165935476077,10,2,3,"CS"
"29",-0.111700785304323,2.36893612271117,10,2,4,"CS"
"30",-0.06,2.0943390396358,10,2,5,"CS"
"31",-0.53140767890032,2.43680457292225,10,3,1,"AC"
"32",-0.0660207220703916,3.16245762490039,10,3,2,"AC"
"33",-0.06,2.51311564740854,10,3,3,"AC"
"34",-2.6465699511157,2.56851915746437,10,3,4,"AC"
"35",-0.06,1.8984460659892,10,3,5,"AC"
"36",-2.60893265180384,2.29602159309839,10,4,1,"CH"
"37",-2.91288256343741,2.48904837222763,10,4,2,"CH"
"38",-2.60426545123882,2.7860616827609,10,4,3,"CH"
"39",-2.94038245641508,2.31921055662527,10,4,4,"CH"
"40",-2.59986574740977,2.2026453885279,10,4,5,"CH"
"41",-0.06,2.06582735071591,17,1,1,"TT"
"42",-2.65746292593889,2.36741787439145,17,1,2,"TT"
"43",-2.61088920464836,2.43071564376451,17,1,3,"TT"
"44",-2.92006424410448,2.20805073552488,17,1,4,"TT"
"45",-0.194670172140105,2.07712764804323,17,1,5,"TT"
"46",-0.09,1.7349692676613,17,2,1,"CS"
"47",-0.09,2.39071849046625,17,2,2,"CS"
"48",-2.57761818406638,2.08481809338119,17,2,3,"CS"
"49",-0.0942609551629016,2.60518549845269,17,2,4,"CS"
"50",-2.62973589673613,2.70428398552076,17,2,5,"CS"
"51",-2.67590771157787,1.93209419096537,17,3,1,"AC"
"52",-0.067707596489053,2.21035885482207,17,3,2,"AC"
"53",-2.88895942321791,2.46196260572012,17,3,3,"AC"
"54",-2.63066595303157,2.51529849239651,17,3,4,"AC"
"55",-0.243901393321514,2.50562690259006,17,3,5,"AC"
