"","sample","date.sampled","date.measured","absorbance.1","absorbance.2","species","temp","rep","notes"
"1","1-03-1","2017-04-04","2017-06-26",0.057,0.057,1,3,1,NA
"2","1-10-1","2017-04-04","2017-06-26",0.021,0.023,1,10,1,NA
"3","1-17-1","2017-04-04","2017-06-26",0.049,0.048,1,17,1,NA
"4","1-24-1","2017-04-04","2017-06-26",0.022,0.023,1,24,1,NA
"5","1-31-1","2017-04-04","2017-06-26",0.026,0.018,1,31,1,NA
"6","1-38-1","2017-04-04","2017-06-26",0.025,0.023,1,38,1,NA
"7","1-03-2","2017-04-04","2017-06-26",0.046,0.046,1,3,2,NA
"8","1-10-2","2017-04-04","2017-06-26",0.114,0.115,1,10,2,NA
"9","1-17-2","2017-04-04","2017-06-26",0.032,0.027,1,17,2,NA
"10","1-24-2","2017-04-04","2017-06-26",0.035,0.036,1,24,2,NA
"11","1-31-2","2017-04-04","2017-06-26",0.039,0.04,1,31,2,NA
"12","1-38-2","2017-04-04","2017-06-26",0.051,0.05,1,38,2,NA
"13","1-03-3","2017-04-04","2017-06-26",0.04,0.04,1,3,3,NA
"14","1-10-3","2017-04-04","2017-06-26",0.04,0.037,1,10,3,NA
"15","1-17-3","2017-04-04","2017-06-26",0.04,0.041,1,17,3,NA
"16","1-24-3","2017-04-04","2017-06-26",NA,NA,1,24,3,NA
"17","1-31-3","2017-04-04","2017-06-26",0.053,0.054,1,31,3,NA
"18","1-38-3","2017-04-04","2017-06-26",0.011,0.012,1,38,3,NA
"19","1-03-4","2017-04-04","2017-06-26",0.037,0.034,1,3,4,NA
"20","1-10-4","2017-04-04","2017-06-26",0.217,0.227,1,10,4,NA
"21","1-17-4","2017-04-04","2017-06-26",0.027,0.027,1,17,4,NA
"22","1-24-4","2017-04-04","2017-06-26",0.038,0.038,1,24,4,NA
"23","1-31-4","2017-04-04","2017-06-26",0.059,0.059,1,31,4,NA
"24","1-38-4","2017-04-04","2017-06-26",0.052,0.058,1,38,4,NA
"25","1-03-5","2017-04-04","2017-06-26",0.053,0.056,1,3,5,NA
"26","1-10-5","2017-04-04","2017-06-26",NA,NA,1,10,5,NA
"27","1-17-5","2017-04-04","2017-06-26",0.049,0.048,1,17,5,NA
"28","1-24-5","2017-04-04","2017-06-26",0.057,0.057,1,24,5,NA
"29","1-31-5","2017-04-04","2017-06-26",0.089,0.082,1,31,5,NA
"30","1-38-5","2017-04-04","2017-06-26",0.036,0.033,1,38,5,NA
"31","1-03-1","2017-04-11","2017-06-26",0.059,0.061,1,3,1,"wrong date entered"
"32","1-03-1","2017-04-11","2017-06-26",0.055,0.056,1,3,1,"wrong date entered"
"33","1-10-1","2017-04-11","2017-06-26",0.11,0.113,1,10,1,"wrong date entered"
"34","1-10-1","2017-04-11","2017-06-26",0.075,0.077,1,10,1,"wrong date entered"
"35","1-17-1","2017-04-11","2017-06-26",0.011,0.015,1,17,1,"wrong date entered"
"36","1-17-1","2017-04-11","2017-06-26",0.043,0.044,1,17,1,"wrong date entered"
"37","1-24-1","2017-04-11","2017-06-26",0.018,0.019,1,24,1,"wrong date entered"
"38","1-24-1","2017-04-11","2017-06-26",0.047,0.049,1,24,1,"wrong date entered"
