,sample,date.sampled,date.measured,absorbance.1,absorbance.2,species,temp,rep,notes,error_code,evap_volume,evap_relevant
1,2001-03-01,2017-04-04,2017-06-26,0.057,0.057,1,3,1,,,,
7,2001-03-02,2017-04-04,2017-06-26,0.046,0.046,1,3,2,,,,
13,2001-03-03,2017-04-04,2017-06-26,0.04,0.04,1,3,3,,,,
19,2001-03-04,2017-04-04,2017-06-26,0.037,0.034,1,3,4,,,,
25,2001-03-05,2017-04-04,2017-06-26,0.053,0.056,1,3,5,,,,
2,2001-10-01,2017-04-04,2017-06-26,0.021,0.023,1,10,1,,,,
8,2001-10-02,2017-04-04,2017-06-26,0.114,0.115,1,10,2,,,,
14,2001-10-03,2017-04-04,2017-06-26,0.04,0.037,1,10,3,,,,
20,2001-10-04,2017-04-04,2017-06-26,0.217,0.227,1,10,4,,,,
26,2001-10-05,2017-04-04,2017-06-26,NA,NA,1,10,5,,,,
3,1-17-1,2017-04-04,2017-06-26,0.049,0.048,1,17,1,,,,
9,1-17-2,2017-04-04,2017-06-26,0.032,0.027,1,17,2,,,,
15,1-17-3,2017-04-04,2017-06-26,0.04,0.041,1,17,3,,,,
21,1-17-4,2017-04-04,2017-06-26,0.027,0.027,1,17,4,,,,
27,1-17-5,2017-04-04,2017-06-26,0.049,0.048,1,17,5,,,,
4,1-24-1,2017-04-04,2017-06-26,0.022,0.023,1,24,1,,,20,evap
10,1-24-2,2017-04-04,2017-06-26,0.035,0.036,1,24,2,,,20,evap
16,1-24-3,2017-04-04,2017-06-26,NA,NA,1,24,3,,,20,evap
22,1-24-4,2017-04-04,2017-06-26,0.038,0.038,1,24,4,,,20,evap
28,1-24-5,2017-04-04,2017-06-26,0.057,0.057,1,24,5,,,20,evap
5,1-31-1,2017-04-04,2017-06-26,0.026,0.018,1,31,1,,,20,evap
11,1-31-2,2017-04-04,2017-06-26,0.039,0.04,1,31,2,,,20,evap
17,1-31-3,2017-04-04,2017-06-26,0.053,0.054,1,31,3,,,20,evap
23,1-31-4,2017-04-04,2017-06-26,0.059,0.059,1,31,4,,,20,evap
29,1-31-5,2017-04-04,2017-06-26,0.089,0.082,1,31,5,,,20,evap
6,1-38-1,2017-04-04,2017-06-26,0.025,0.023,1,38,1,,,20,evap
12,1-38-2,2017-04-04,2017-06-26,0.051,0.05,1,38,2,,,20,evap
18,1-38-3,2017-04-04,2017-06-26,0.011,0.012,1,38,3,,,20,evap
24,1-38-4,2017-04-04,2017-06-26,0.052,0.058,1,38,4,,,20,evap
30,1-38-5,2017-04-04,2017-06-26,0.036,0.033,1,38,5,,,20,evap
31,2001-03-01,2017-04-11,2017-06-26,0.059,0.061,1,3,1,wrong date entered,check data sheet for correct label,,
32,2001-03-01,2017-04-11,2017-06-26,0.055,0.056,1,3,1,wrong date entered,check data sheet for correct label,,
43,2001-03-02,2017-04-11,2017-06-26,0.054,0.052,1,3,2,,,,
55,2001-03-03,2017-04-11,2017-06-26,0.054,0.057,1,3,3,,,,
67,2001-03-04,2017-04-11,2017-06-26,0.053,0.052,1,3,4,,,,
79,2001-03-05,2017-04-11,2017-06-26,0.065,0.062,1,3,5,,,,
44,2002-03-02,2017-04-11,2017-06-26,0.013,0.014,2,3,2,,,,
56,2002-03-03,2017-04-11,2017-06-26,0.161,0.162,2,3,3,,,,
68,2002-03-04,2017-04-11,2017-06-26,0.045,0.046,2,3,4,,,,
80,2002-03-05,2017-04-11,2017-06-26,0.099,0.098,2,3,5,,,,
33,2001-10-01,2017-04-11,2017-06-26,0.11,0.113,1,10,1,wrong date entered,check data sheet for correct label,,
34,2001-10-01,2017-04-11,2017-06-26,0.075,0.077,1,10,1,wrong date entered,check data sheet for correct label,,
45,2001-10-02,2017-04-11,2017-06-26,0.039,0.033,1,10,2,,,,
57,2001-10-03,2017-04-11,2017-06-26,0.017,0.018,1,10,3,,,,
69,2001-10-04,2017-04-11,2017-06-26,0.02,0.014,1,10,4,,,,
81,2001-10-05,2017-04-11,2017-06-26,0.023,0.021,1,10,5,,,,
46,2002-10-02,2017-04-11,2017-06-26,0.052,0.05,2,10,2,,,,
58,2002-10-03,2017-04-11,2017-06-26,0.069,0.069,2,10,3,,,,
70,2002-10-04,2017-04-11,2017-06-26,0.139,0.145,2,10,4,,,,
82,2002-10-05,2017-04-11,2017-06-26,0.067,0.068,2,10,5,,,,
35,1-17-1,2017-04-11,2017-06-26,0.011,0.015,1,17,1,wrong date entered,check data sheet for correct label,,
36,1-17-1,2017-04-11,2017-06-26,0.043,0.044,1,17,1,wrong date entered,check data sheet for correct label,,
47,1-17-2,2017-04-11,2017-06-26,0.018,0.02,1,17,2,,,,
59,1-17-3,2017-04-11,2017-06-26,0.019,0.02,1,17,3,,,,
71,1-17-4,2017-04-11,2017-06-26,0.016,0.016,1,17,4,,,,
83,1-17-5,2017-04-11,2017-06-26,0.025,0.027,1,17,5,,,,
48,2-17-2,2017-04-11,2017-06-26,0.056,0.057,2,17,2,,,,
60,2-17-3,2017-04-11,2017-06-26,0.033,0.044,2,17,3,,,,
72,2-17-4,2017-04-11,2017-06-26,0.053,0.056,2,17,4,,,,
84,2-17-5,2017-04-11,2017-06-26,0.032,0.03,2,17,5,,,,
37,1-24-1,2017-04-11,2017-06-26,0.018,0.019,1,24,1,wrong date entered,check data sheet for correct label,19.39655172,evap
38,1-24-1,2017-04-11,2017-06-26,0.047,0.049,1,24,1,wrong date entered,check data sheet for correct label,19.39655172,evap
49,1-24-2,2017-04-11,2017-06-26,0.019,0.021,1,24,2,,,19.39655172,evap
61,1-24-3,2017-04-11,2017-06-26,0.029,0.028,1,24,3,,,19.39655172,evap
73,1-24-4,2017-04-11,2017-06-26,0.029,0.026,1,24,4,,,19.39655172,evap
85,1-24-5,2017-04-11,2017-06-26,0.022,0.019,1,24,5,,,19.39655172,evap
50,2-24-2,2017-04-11,2017-06-26,0.04,0.042,2,24,2,,,20,evap
62,2-24-3,2017-04-11,2017-06-26,0.045,0.048,2,24,3,,,20,evap
74,2-24-4,2017-04-11,2017-06-26,0.074,0.064,2,24,4,,,20,evap
86,2-24-5,2017-04-11,2017-06-26,0.037,0.037,2,24,5,,,20,evap
39,1-31-1,2017-04-11,2017-06-26,0.027,0.024,1,31,1,wrong date entered,check data sheet for correct label,18.9137931,evap
40,1-31-1,2017-04-11,2017-06-26,0.048,0.047,1,31,1,wrong date entered,check data sheet for correct label,18.9137931,evap
51,1-31-2,2017-04-11,2017-06-26,0.024,0.025,1,31,2,,,18.9137931,evap
63,1-31-3,2017-04-11,2017-06-26,0.048,0.043,1,31,3,,,18.9137931,evap
75,1-31-4,2017-04-11,2017-06-26,0.02,0.018,1,31,4,,,18.9137931,evap
87,1-31-5,2017-04-11,2017-06-26,0.023,0.022,1,31,5,,,18.9137931,evap
52,2-31-2,2017-04-11,2017-06-26,0.048,0.049,2,31,2,,,20,evap
64,2-31-3,2017-04-11,2017-06-26,0.045,0.053,2,31,3,,,20,evap
76,2-31-4,2017-04-11,2017-06-26,0.056,0.056,2,31,4,,,20,evap
88,2-31-5,2017-04-11,2017-06-26,0.049,0.048,2,31,5,,,20,evap
41,1-38-1,2017-04-11,2017-06-26,0.062,0.068,1,38,1,,,18.55172414,evap
