"","sample_name","species","temp","rep","date_N_assay","day","raw_abs_entry","abs","nitrate","notes"
"1","TT161","TT",16,1,"2016-08-11",2,141,0.141,27.6670870113493,""
"2","TT162","TT",16,2,"2016-08-11",2,198,0.198,39.1677175283733,""
"3","TT163","TT",16,3,"2016-08-11",2,162,0.162,31.9041614123581,""
"4","TT164","TT",16,4,"2016-08-11",2,163,0.163,32.1059268600252,""
"5","TT165","TT",16,5,"2016-08-11",2,158,0.158,31.0970996216898,""
"6","CH161","CH",16,1,"2016-08-11",2,178,0.178,35.1324085750315,""
"7","CH162","CH",16,2,"2016-08-11",2,158,0.158,31.0970996216898,""
"8","CH163","CH",16,3,"2016-08-11",2,180,0.18,35.5359394703657,""
"9","CH164","CH",16,4,"2016-08-11",2,165,0.165,32.5094577553594,""
"10","CH165","CH",16,5,"2016-08-11",2,172,0.172,33.921815889029,""
"11","BB161","BB",16,1,"2016-08-11",2,108,0.108,21.0088272383354,""
"12","BB162","BB",16,2,"2016-08-11",2,123,0.123,24.0353089533417,""
"13","BB163","BB",16,3,"2016-08-11",2,112,0.112,21.8158890290038,""
"14","BB164","BB",16,4,"2016-08-11",2,113,0.113,22.0176544766709,""
"15","BB165","BB",16,5,"2016-08-11",2,118,0.118,23.0264817150063,""
"16","TT251","TT",25,1,"2016-08-11",2,108,0.108,21.0088272383354,""
"17","TT252","TT",25,2,"2016-08-11",2,93,0.093,17.9823455233291,""
"18","TT253","TT",25,3,"2016-08-11",2,101,0.101,19.5964691046658,""
"19","TT254","TT",25,4,"2016-08-11",2,113,0.113,22.0176544766709,""
"20","TT255","TT",25,5,"2016-08-11",2,93,0.093,17.9823455233291,""
"21","CH251","CH",25,1,"2016-08-11",2,139,0.139,27.2635561160151,""
"22","CH252","CH",25,2,"2016-08-11",2,123,0.123,24.0353089533417,""
"23","CH253","CH",25,3,"2016-08-11",2,124,0.124,24.2370744010088,""
"24","CH254","CH",25,4,"2016-08-11",2,141,0.141,27.6670870113493,""
"25","CH255","CH",25,5,"2016-08-11",2,141,0.141,27.6670870113493,""
"26","BB251","BB",25,1,"2016-08-11",2,66,0.066,12.5346784363178,""
"27","BB252","BB",25,2,"2016-08-11",2,82,0.082,15.7629255989912,""
"28","BB253","BB",25,3,"2016-08-11",2,62,0.062,11.7276166456494,""
"29","BB254","BB",25,4,"2016-08-11",2,63,0.063,11.9293820933165,""
"30","BB255","BB",25,5,"2016-08-11",2,58,0.058,10.9205548549811,""
"31","CH161","CH",16,1,"2016-08-18",9,22,0.022,1.58439086294416,""
"32","TT161","TT",16,1,"2016-08-18",9,27,0.027,2.34454314720812,""
