N,Temp,Species,a,b,z,w,ks_a,ks_b,tn,r_pred
0,3,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.11121325237555009
11,3,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.11838330562353229
22,3,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.11912881952727049
33,3,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.11941301244888317
55,3,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.11965549416243715
110,3,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.11984698035870928
220,3,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.11994601827824859
440,3,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.11999639420481742
330,3,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.11997953777565101
0,3.1,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.11253361212049347
11,3.1,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.11987203517641189
22,3.1,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.120635640929206
33,3.1,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.12092675959068834
55,3.1,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.12117516322895955
110,3.1,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.12137133418167635
220,3.1,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.12147279794540197
440,3.1,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.12152440853218587
330,3.1,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.12150713891381139
0,3.2,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.113867210987114
11,3.2,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.121377782956665
22,3.2,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.12215990782502709
33,3.2,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.12245811685390971
55,3.2,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.12271258364978042
110,3.2,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.12291355139047852
220,3.2,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.12301749911557981
440,3.2,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.12307037396955975
330,3.2,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.12305268125168545
0,3.3,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.11521413058277502
11,3.3,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.12290070977241646
22,3.3,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.12370179074295103
33,3.3,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.12400725855088572
55,3.3,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.12426793300069969
110,3.3,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.12447381216078536
220,3.3,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.12458030331702748
440,3.3,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.12463447273525001
330,3.3,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.12461634677652356
0,3.4,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.11657445182248709
11,3.4,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.12444097721616634
22,3.4,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.12526146120475404
33,3.4,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.12557436007037362
55,3.4,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.12584139000602107
110,3.4,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.12605229787460695
220,3.4,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.12616139331456275
440,3.4,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.1262168882996011
330,3.4,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.12619831872242973
0,3.5,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.11794825489213458
11,3.5,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.1259987476494659
22,3.5,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.12683909171455235
33,3.5,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.1271595978680091
55,3.5,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.1274331345304953
110,3.5,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.1276491911134429
220,3.5,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.12776095310335991
440,3.5,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.12781780537910148
