X,sample,date.sampled,date.measured,absorbance.1,absorbance.2,species,temp,rep,notes,error_code,evap_volume,evap_relevant,date,day,meanabs,predicted_N,predicted_N_SE,n.fixed
1,2001-03-01,2017-04-04,2017-06-26,0.057,0.057,1,3,1,,,NA,,2017-04-04,0,0.057,4.7281453600446035,0.24437111140828063,4.362499044796087
7,2001-03-02,2017-04-04,2017-06-26,0.046,0.046,1,3,2,,,NA,,2017-04-04,0,0.046,3.9648868668739246,0.2156055524699027,4.362499044796087
13,2001-03-03,2017-04-04,2017-06-26,0.04,0.04,1,3,3,,,NA,,2017-04-04,0,0.04,3.5485640524171904,0.20889454493388362,4.362499044796087
19,2001-03-04,2017-04-04,2017-06-26,0.037,0.034,1,3,4,,,NA,,2017-04-04,0,0.035500000000000004,3.2363219415746407,0.20862379449154195,4.362499044796087
25,2001-03-05,2017-04-04,2017-06-26,0.053,0.056,1,3,5,,,NA,,2017-04-04,0,0.0545,4.554677520687631,0.23622025981837128,4.362499044796087
2,2001-10-01,2017-04-04,2017-06-26,0.021,0.023,1,10,1,,,NA,,2017-04-04,0,0.022,2.299595609046989,0.23149883592421433,4.362499044796087
8,2001-10-02,2017-04-04,2017-06-26,0.114,0.115,1,10,2,,,NA,,2017-04-04,0,0.1145,8.71790566525497,0.5454966044522926,4.362499044796087
14,2001-10-03,2017-04-04,2017-06-26,0.04,0.037,1,10,3,,,NA,,2017-04-04,0,0.0385,3.444483348803007,0.20834233476492692,4.362499044796087
20,2001-10-04,2017-04-04,2017-06-26,0.217,0.227,1,10,4,,,NA,,2017-04-04,0,0.222,16.177022757604785,1.225514046932941,4.362499044796087
26,2001-10-05,2017-04-04,2017-06-26,NA,NA,1,10,5,,,NA,,2017-04-04,0,NA,NA,NA,4.362499044796087
3,1-17-1,2017-04-04,2017-06-26,0.049,0.048,1,17,1,,,NA,,2017-04-04,0,0.0485,4.1383547062308965,0.22041514706753815,4.362499044796087
9,1-17-2,2017-04-04,2017-06-26,0.032,0.027,1,17,2,,,NA,,2017-04-04,0,0.0295,2.8199991271179066,0.21464217257381238,4.362499044796087
15,1-17-3,2017-04-04,2017-06-26,0.04,0.041,1,17,3,,,NA,,2017-04-04,0,0.0405,3.5832576202885846,0.20918068430691578,4.362499044796087
21,1-17-4,2017-04-04,2017-06-26,0.027,0.027,1,17,4,,,NA,,2017-04-04,0,0.027,2.6465312877609337,0.219186544772199,4.362499044796087
27,1-17-5,2017-04-04,2017-06-26,0.049,0.048,1,17,5,,,NA,,2017-04-04,0,0.0485,4.1383547062308965,0.22041514706753815,4.362499044796087
4,1-24-1,2017-04-04,2017-06-26,0.022,0.023,1,24,1,,,20,evap,2017-04-04,0,0.0225,2.334289176918383,0.23008792535395683,4.362499044796087
10,1-24-2,2017-04-04,2017-06-26,0.035,0.036,1,24,2,,,20,evap,2017-04-04,0,0.035500000000000004,3.2363219415746407,0.20862379449154195,4.362499044796087
16,1-24-3,2017-04-04,2017-06-26,NA,NA,1,24,3,,,20,evap,2017-04-04,0,NA,NA,NA,4.362499044796087
22,1-24-4,2017-04-04,2017-06-26,0.038,0.038,1,24,4,,,20,evap,2017-04-04,0,0.038,3.4097897809316127,0.20826078509260246,4.362499044796087
28,1-24-5,2017-04-04,2017-06-26,0.057,0.057,1,24,5,,,20,evap,2017-04-04,0,0.057,4.7281453600446035,0.24437111140828063,4.362499044796087
5,1-31-1,2017-04-04,2017-06-26,0.026,0.018,1,31,1,,,20,evap,2017-04-04,0,0.022,2.299595609046989,0.23149883592421433,4.362499044796087
11,1-31-2,2017-04-04,2017-06-26,0.039,0.04,1,31,2,,,20,evap,2017-04-04,0,0.0395,3.513870484545796,0.20865933145482485,4.362499044796087
17,1-31-3,2017-04-04,2017-06-26,0.053,0.054,1,31,3,,,20,evap,2017-04-04,0,0.0535,4.485290384944841,0.2332016594277637,4.362499044796087
23,1-31-4,2017-04-04,2017-06-26,0.059,0.059,1,31,4,,,20,evap,2017-04-04,0,0.059,4.866919631530181,0.25146861823496514,4.362499044796087
29,1-31-5,2017-04-04,2017-06-26,0.089,0.082,1,31,5,,,20,evap,2017-04-04,0,0.08549999999999999,6.705678728714088,0.37710910395778796,4.362499044796087
6,1-38-1,2017-04-04,2017-06-26,0.025,0.023,1,38,1,,,20,evap,2017-04-04,0,0.024,2.438369880532567,0.22608662361149398,4.362499044796087
12,1-38-2,2017-04-04,2017-06-26,0.051,0.05,1,38,2,,,20,evap,2017-04-04,0,0.0505,4.277128977716475,0.2250465418748825,4.362499044796087
18,1-38-3,2017-04-04,2017-06-26,0.011,0.012,1,38,3,,,20,evap,2017-04-04,0,0.0115,1.5710306837477048,0.2687278107936775,4.362499044796087
24,1-38-4,2017-04-04,2017-06-26,0.052,0.058,1,38,4,,,20,evap,2017-04-04,0,0.055,4.589371088559025,0.23778273690299717,4.362499044796087
30,1-38-5,2017-04-04,2017-06-26,0.036,0.033,1,38,5,,,20,evap,2017-04-04,0,0.0345,3.1669348058318514,0.20912750948744538,4.362499044796087
32,2001-03-01,2017-04-11,2017-06-26,0.055,0.056,2,3,1,wrong species entered,changed to species 2- check data sheet for correct label,NA,,2017-04-11,0,0.0555,4.62406465643042,0.2393797449107098,4.362499044796087
44,2002-03-02,2017-04-11,2017-06-26,0.013,0.014,2,3,2,,,NA,,2017-04-11,0,0.0135,1.7098049552332828,0.26065178683149287,4.362499044796087
56,2002-03-03,2017-04-11,2017-06-26,0.161,0.162,2,3,3,,,NA,,2017-04-11,0,0.1615,11.97910104516605,0.838049612441423,4.362499044796087
68,2002-03-04,2017-04-11,2017-06-26,0.045,0.046,2,3,4,,,NA,,2017-04-11,0,0.0455,3.9301932990025295,0.21478030204771478,4.362499044796087
80,2002-03-05,2017-04-11,2017-06-26,0.099,0.098,2,3,5,,,NA,,2017-04-11,0,0.0985,7.607711493370346,0.4504944884863509,4.362499044796087
34,2001-10-01,2017-04-11,2017-06-26,0.075,0.077,2,10,1,wrong species entered,changed to species 2- check data sheet for correct label,NA,,2017-04-11,0,0.076,6.0465009391575935,0.3270825530239308,4.362499044796087
46,2002-10-02,2017-04-11,2017-06-26,0.052,0.05,2,10,2,,,NA,,2017-04-11,0,0.051000000000000004,4.311822545587869,0.22630788090153064,4.362499044796087
58,2002-10-03,2017-04-11,2017-06-26,0.069,0.069,2,10,3,,,NA,,2017-04-11,0,0.069,5.560790988958071,0.2932095350617279,4.362499044796087
70,2002-10-04,2017-04-11,2017-06-26,0.139,0.145,2,10,4,,,NA,,2017-04-11,0,0.14200000000000002,10.626051898181666,0.715142362649885,4.362499044796087
82,2002-10-05,2017-04-11,2017-06-26,0.067,0.068,2,10,5,,,NA,,2017-04-11,0,0.0675,5.456710285343887,0.28638345410411853,4.362499044796087
36,1-17-1,2017-04-11,2017-06-26,0.043,0.044,2,17,1,wrong species entered,changed to species 2- check data sheet for correct label,NA,,2017-04-11,0,0.0435,3.7914190275169517,0.21195284512193713,4.362499044796087
48,2-17-2,2017-04-11,2017-06-26,0.056,0.057,2,17,2,,,NA,,2017-04-11,0,0.0565,4.693451792173208,0.24267461205168467,4.362499044796087
60,2-17-3,2017-04-11,2017-06-26,0.033,0.044,2,17,3,,,NA,,2017-04-11,0,0.0385,3.444483348803007,0.20834233476492692,4.362499044796087
72,2-17-4,2017-04-11,2017-06-26,0.053,0.056,2,17,4,,,NA,,2017-04-11,0,0.0545,4.554677520687631,0.23622025981837128,4.362499044796087
