List File,BB301.lst
Start Time,2016-10-21  15:10:34
Sampling Time,58 sec

Count,654
Particles / ml,26131

Efficiency,8.6%
PPUI,1.55

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),78.85,19.60,246.84,36.88,46.77
Aspect Ratio,0.78,0.35,0.98,0.11,14.30
Circle Fit,0.71,0.23,0.92,0.11,15.02
Circularity (Hu),0.90,0.40,1.00,0.08,9.33
Compactness,1.81,1.00,8.54,0.71,38.92
Diameter (ABD),9.75,5.00,17.73,2.33,23.86
Diameter (ESD),11.44,5.51,19.72,2.42,21.15
Elongation,3.29,1.00,24.79,2.36,71.84
Geodesic Aspect Ratio,0.43,0.04,1.00,0.25,57.37
Geodesic Length,18.72,6.21,42.18,6.14,32.82
Geodesic Thickness,6.88,1.70,17.06,2.34,33.99
Image Height,35.72,22.00,52.00,5.17,14.48
Image Width,34.16,23.00,54.00,4.97,14.54
Intensity,149.47,86.95,196.10,19.25,12.88
Length,13.15,5.98,23.89,2.82,21.43
Perimeter,51.20,24.85,91.79,11.34,22.16
Roughness,1.28,1.04,2.18,0.17,13.54
Sigma Intensity,40.21,16.59,56.58,7.04,17.51
Sum Intensity,59419.42,18433.00,1.70e+005,23901.99,40.23
Transparency,0.15,0.05,0.49,0.06,40.89
Volume (ABD),568.54,65.29,2917.28,405.65,71.35
Width,9.46,3.83,17.21,2.26,23.86

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,6,0.92,0.11,240,0.02
6-7um,24,3.67,0.62,959,0.14
7-8um,38,5.81,1.47,1518,0.34
8-9um,33,5.05,1.88,1319,0.44
0-5um,0,0.00,0.00,0.00,0.00
5-10um,164,25.08,9.01,6553,2.09
10-15um,447,68.35,73.82,17860,17
15-20um,42,6.42,17.08,1678,3.96
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,61,9.33,4.80,2437,1.12
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

