List File,BB302_R5.lst
Start Time,2016-10-21  15:18:00
Sampling Time,58 sec

Count,714
Particles / ml,28529

Efficiency,8.6%
PPUI,1.57

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),74.00,19.60,176.33,24.45,33.05
Aspect Ratio,0.75,0.39,0.99,0.11,14.38
Circle Fit,0.70,0.22,0.95,0.10,14.49
Circularity (Hu),0.90,0.43,1.00,0.07,7.99
Compactness,1.72,1.01,6.72,0.59,34.15
Diameter (ABD),9.56,5.00,14.98,1.66,17.39
Diameter (ESD),11.22,5.84,17.21,1.82,16.25
Elongation,2.98,1.00,19.07,2.00,67.05
Geodesic Aspect Ratio,0.47,0.05,1.00,0.27,56.63
Geodesic Length,17.71,6.33,37.11,5.76,32.53
Geodesic Thickness,7.04,1.72,13.40,2.12,30.11
Image Height,34.47,22.00,47.00,4.08,11.85
Image Width,34.65,21.00,49.00,4.27,12.33
Intensity,142.92,91.12,206.57,19.31,13.51
Length,12.98,6.11,19.51,2.14,16.53
Perimeter,49.51,25.31,83.39,9.57,19.33
Roughness,1.27,1.04,2.12,0.17,13.56
Sigma Intensity,38.58,14.72,53.19,7.44,19.29
Sum Intensity,54416.48,19116.00,1.12e+005,16526.00,30.37
Transparency,0.15,0.03,0.40,0.05,34.90
Volume (ABD),498.57,65.29,1761.36,241.11,48.36
Width,9.14,3.93,15.37,1.81,19.82

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,4,0.56,0.08,160,0.02
6-7um,14,1.96,0.38,559,0.09
7-8um,26,3.64,1.03,1039,0.23
8-9um,35,4.90,2.06,1398,0.47
0-5um,0,0.00,0.00,0.00,0.00
5-10um,149,20.87,9.00,5953,2.04
10-15um,555,77.73,87.86,22176,20
15-20um,8,1.12,2.96,320,0.67
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,68,9.52,5.39,2717,1.23
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

