List File,CH102_R3.lst
Start Time,2016-10-21  14:12:49
Sampling Time,58 sec

Count,2019
Particles / ml,80759

Efficiency,8.5%
PPUI,3.14

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),62.14,21.87,221.48,24.37,39.21
Aspect Ratio,0.85,0.29,1.00,0.08,9.34
Circle Fit,0.77,0.00,0.95,0.08,10.26
Circularity (Hu),0.95,0.43,1.00,0.04,3.91
Compactness,1.59,1.00,5.05,0.43,27.09
Diameter (ABD),8.73,5.28,16.79,1.69,19.31
Diameter (ESD),10.08,5.57,20.14,1.98,19.68
Elongation,2.55,1.00,13.78,1.48,58.01
Geodesic Aspect Ratio,0.53,0.07,1.00,0.29,54.04
Geodesic Length,15.53,6.05,46.56,5.86,37.73
Geodesic Thickness,6.82,2.84,13.55,1.68,24.69
Image Height,32.77,22.00,52.00,4.22,12.87
Image Width,32.15,23.00,59.00,3.81,11.86
Intensity,137.72,91.66,178.33,15.86,11.52
Length,11.31,6.03,24.60,2.36,20.86
Perimeter,44.69,24.20,100.96,10.37,23.20
Roughness,1.24,1.03,1.98,0.14,11.31
Sigma Intensity,36.77,9.91,51.42,7.35,19.98
Sum Intensity,46118.09,17554.00,1.56e+005,16841.23,36.52
Transparency,0.13,0.03,0.33,0.04,33.58
Volume (ABD),389.01,76.91,2479.50,234.60,60.31
Width,8.70,4.70,14.91,1.73,19.88

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,7,0.35,0.06,280,0.03
6-7um,75,3.71,0.96,3000,0.46
7-8um,208,10.30,3.93,8320,1.91
8-9um,359,17.78,9.62,14360,4.67
0-5um,0,0.00,0.00,0.00,0.00
5-10um,1033,51.16,28.57,41320,14
10-15um,957,47.40,66.61,38280,32
15-20um,24,1.19,4.29,960,2.08
20-25um,1,0.05,0.35,40,0.17
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,373,18.47,13.74,14920,6.67
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

