List File,CH302.lst
Start Time,2016-10-21  14:47:29
Sampling Time,58 sec

Count,1440
Particles / ml,57512

Efficiency,8.5%
PPUI,2.38

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),71.54,19.81,248.18,32.99,46.11
Aspect Ratio,0.84,0.53,1.00,0.08,9.74
Circle Fit,0.78,0.35,0.95,0.08,10.21
Circularity (Hu),0.95,0.58,1.00,0.03,3.54
Compactness,1.53,1.00,4.66,0.39,25.76
Diameter (ABD),9.31,5.02,17.78,2.12,22.75
Diameter (ESD),10.56,5.55,20.31,2.36,22.37
Elongation,2.34,1.00,12.55,1.36,58.21
Geodesic Aspect Ratio,0.57,0.08,1.00,0.29,51.35
Geodesic Length,15.56,6.25,41.79,6.01,38.62
Geodesic Thickness,7.45,2.92,15.29,2.00,26.90
Image Height,33.57,23.00,55.00,4.86,14.48
Image Width,33.11,24.00,50.00,4.41,13.31
Intensity,141.60,92.24,182.93,18.17,12.83
Length,11.81,6.03,22.59,2.71,22.96
Perimeter,46.02,24.98,92.44,11.24,24.42
Roughness,1.22,1.03,1.97,0.13,10.87
Sigma Intensity,39.15,15.52,54.49,7.17,18.31
Sum Intensity,52795.85,18346.00,1.57e+005,22556.24,42.72
Transparency,0.12,0.03,0.30,0.04,35.67
Volume (ABD),489.95,66.31,2941.05,348.51,71.13
Width,9.14,4.70,16.83,2.12,23.16

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,4,0.28,0.04,160,0.02
6-7um,60,4.17,0.89,2396,0.36
7-8um,153,10.63,3.37,6111,1.38
8-9um,192,13.33,6.08,7668,2.49
0-5um,0,0.00,0.00,0.00,0.00
5-10um,638,44.31,20.40,25481,8.35
10-15um,740,51.39,66.55,29555,27
15-20um,59,4.10,12.40,2356,5.08
20-25um,1,0.07,0.43,40,0.18
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,226,15.69,9.93,9026,4.06
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

