List File,CONT10_R2.lst
Start Time,2016-10-21  14:42:42
Sampling Time,58 sec

Count,31
Particles / ml,1239

Efficiency,8.6%
PPUI,1.00

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),66.18,19.60,152.36,42.82,64.71
Aspect Ratio,0.75,0.43,0.93,0.12,16.49
Circle Fit,0.63,0.37,0.92,0.15,23.30
Circularity (Hu),0.80,0.37,0.99,0.18,22.65
Compactness,2.95,1.01,7.62,1.89,63.95
Diameter (ABD),8.70,5.00,13.93,2.97,34.12
Diameter (ESD),11.15,7.01,15.59,2.62,23.51
Elongation,7.02,1.00,21.90,6.08,86.65
Geodesic Aspect Ratio,0.31,0.05,1.00,0.30,95.05
Geodesic Length,22.41,7.38,35.93,7.92,35.34
Geodesic Thickness,5.28,1.49,13.63,3.16,59.77
Image Height,34.03,25.00,45.00,4.90,14.40
Image Width,35.10,24.00,46.00,6.53,18.60
Intensity,146.47,94.60,184.04,25.27,17.26
Length,13.15,7.71,17.85,2.99,22.72
Perimeter,55.39,29.54,81.90,13.37,24.13
Roughness,1.38,1.05,1.90,0.23,16.94
Sigma Intensity,33.57,20.05,48.55,8.58,25.55
Sum Intensity,47480.19,23132.00,93690.00,20825.17,43.86
Transparency,0.23,0.04,0.49,0.13,58.20
Volume (ABD),465.43,65.29,1414.70,418.60,89.94
Width,8.96,5.24,13.70,2.61,29.16

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,4,12.90,2.86,160,0.03
8-9um,5,16.13,6.47,200,0.07
0-5um,0,0.00,0.00,0.00,0.00
5-10um,11,35.48,13.02,440,0.14
10-15um,17,54.84,65.03,679,0.68
15-20um,3,9.68,21.95,120,0.23
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,2,6.45,3.68,80,0.04
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

