List File,TT101.lst
Start Time,2016-10-21  14:21:19
Sampling Time,58 sec

Count,423
Particles / ml,16902

Efficiency,8.6%
PPUI,1.32

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),119.23,20.01,295.04,43.74,36.68
Aspect Ratio,0.79,0.30,1.00,0.12,15.37
Circle Fit,0.71,0.21,0.92,0.10,13.81
Circularity (Hu),0.92,0.34,1.00,0.08,8.39
Compactness,1.80,1.02,9.03,0.77,42.50
Diameter (ABD),12.09,5.05,19.38,2.40,19.82
Diameter (ESD),13.90,5.79,21.19,2.55,18.36
Elongation,3.26,1.00,26.34,2.52,77.42
Geodesic Aspect Ratio,0.42,0.04,1.00,0.23,54.36
Geodesic Length,22.28,6.33,52.16,7.26,32.58
Geodesic Thickness,8.02,1.51,15.94,2.24,27.95
Image Height,39.80,24.00,57.00,5.63,14.15
Image Width,39.07,23.00,59.00,5.53,14.14
Intensity,126.96,76.72,186.93,17.92,14.11
Length,15.91,6.48,24.68,2.96,18.58
Perimeter,60.61,25.31,110.13,13.16,21.72
Roughness,1.24,1.04,2.17,0.16,12.58
Sigma Intensity,40.52,20.41,57.15,9.11,22.47
Sum Intensity,70795.36,21665.00,1.70e+005,23866.47,33.71
Transparency,0.13,0.04,0.46,0.06,42.97
Volume (ABD),1029.30,67.34,3812.23,550.43,53.48
Width,11.67,4.70,19.06,2.57,22.05

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,2,0.47,0.03,80,0.01
6-7um,7,1.65,0.16,280,0.04
7-8um,6,1.42,0.21,240,0.05
8-9um,4,0.95,0.20,160,0.05
0-5um,0,0.00,0.00,0.00,0.00
5-10um,31,7.33,1.46,1239,0.38
10-15um,243,57.45,45.24,9710,12
15-20um,142,33.57,49.57,5674,13
20-25um,5,1.18,3.65,200,0.95
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,12,2.84,0.86,479,0.22
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

