List File,TT305_R2.lst
Start Time,2016-10-21  15:07:40
Sampling Time,58 sec

Count,317
Particles / ml,12666

Efficiency,8.6%
PPUI,1.25

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),84.89,19.60,226.54,32.64,38.45
Aspect Ratio,0.78,0.40,0.99,0.11,14.24
Circle Fit,0.71,0.06,0.90,0.11,16.00
Circularity (Hu),0.91,0.38,0.99,0.09,9.44
Compactness,1.81,1.06,9.02,0.92,51.00
Diameter (ABD),10.20,5.00,16.98,2.00,19.62
Diameter (ESD),11.93,6.14,23.73,2.18,18.32
Elongation,3.26,1.00,26.31,3.02,92.64
Geodesic Aspect Ratio,0.44,0.04,1.00,0.24,54.42
Geodesic Length,19.20,7.04,69.03,6.98,36.39
Geodesic Thickness,7.25,1.64,14.94,2.28,31.46
Image Height,35.71,25.00,60.00,4.73,13.24
Image Width,35.85,25.00,67.00,4.66,13.00
Intensity,146.06,85.82,187.57,18.66,12.77
Length,13.69,7.61,30.19,2.65,19.37
Perimeter,52.89,28.16,146.70,12.32,23.30
Roughness,1.28,1.04,2.24,0.18,14.32
Sigma Intensity,40.89,15.15,54.27,6.92,16.93
Sum Intensity,62790.14,16720.00,1.59e+005,23830.61,37.95
Transparency,0.14,0.06,0.49,0.06,43.03
Volume (ABD),620.42,65.29,2564.91,357.57,57.63
Width,9.92,4.65,15.26,2.01,20.22

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,4,1.26,0.19,160,0.02
7-8um,8,2.52,0.59,320,0.07
8-9um,15,4.73,1.59,599,0.20
0-5um,0,0.00,0.00,0.00,0.00
5-10um,54,17.03,6.42,2158,0.80
10-15um,245,77.29,79.61,9789,9.89
15-20um,15,4.73,9.69,599,1.20
20-25um,2,0.63,4.11,80,0.51
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,27,8.52,4.05,1079,0.50
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

