List File,CONT30.lst
Start Time,2016-09-13  18:16:53
Sampling Time,50 sec

Count,13
Particles / ml,604

Efficiency,8.6%
PPUI,1.08

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),52.09,19.81,171.10,39.56,75.94
Aspect Ratio,0.76,0.45,0.94,0.15,19.07
Circle Fit,0.71,0.36,0.92,0.16,22.52
Circularity (Hu),0.89,0.61,0.99,0.11,12.82
Compactness,1.56,1.00,2.55,0.60,38.21
Diameter (ABD),7.75,5.02,14.76,2.59,33.40
Diameter (ESD),9.28,5.49,18.21,3.33,35.88
Elongation,2.48,1.00,5.83,2.02,81.25
Geodesic Aspect Ratio,0.66,0.17,1.00,0.36,55.38
Geodesic Length,13.64,5.97,35.67,8.52,62.50
Geodesic Thickness,6.61,2.76,9.43,2.00,30.18
Image Height,30.00,24.00,41.00,4.80,15.99
Image Width,31.69,22.00,52.00,8.29,26.16
Intensity,136.24,108.86,182.78,26.10,19.16
Length,10.91,5.98,22.14,4.43,40.58
Perimeter,40.49,23.88,84.44,16.01,39.54
Roughness,1.16,1.04,1.41,0.12,10.56
Sigma Intensity,24.86,4.07,40.17,13.23,53.21
Sum Intensity,40995.08,16925.00,1.40e+005,32055.89,78.19
Transparency,0.16,0.05,0.36,0.09,56.23
Volume (ABD),331.27,66.31,1683.55,425.26,128.37
Width,7.41,4.14,14.64,2.59,34.87

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,1,7.69,1.12,46,0.00
6-7um,2,15.38,3.17,93,0.01
7-8um,2,15.38,6.54,93,0.02
8-9um,2,15.38,8.79,93,0.03
0-5um,0,0.00,0.00,0.00,0.00
5-10um,10,76.92,35.96,465,0.13
10-15um,2,15.38,23.09,93,0.08
15-20um,1,7.69,40.95,46,0.15
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,3,23.08,16.32,139,0.06
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

