List File,CH301R1.lst
Start Time,2016-09-16  15:26:30
Sampling Time,1 min 7 sec

Count,1649
Particles / ml,57700

Efficiency,8.5%
PPUI,2.38

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),68.52,19.81,220.15,26.27,38.34
Aspect Ratio,0.80,0.34,0.99,0.09,11.54
Circle Fit,0.76,0.23,0.95,0.09,11.34
Circularity (Hu),0.94,0.35,1.00,0.05,4.82
Compactness,1.55,1.00,7.70,0.49,31.77
Diameter (ABD),9.18,5.02,16.74,1.75,19.05
Diameter (ESD),10.48,5.59,20.07,2.09,19.95
Elongation,2.42,1.00,22.14,1.67,68.78
Geodesic Aspect Ratio,0.57,0.05,1.00,0.30,52.37
Geodesic Length,15.55,6.05,52.49,6.08,39.06
Geodesic Thickness,7.28,1.49,16.62,1.79,24.62
Image Height,33.27,23.00,58.00,4.51,13.55
Image Width,33.12,23.00,51.00,4.32,13.04
Intensity,128.69,87.77,179.50,16.59,12.89
Length,11.98,6.03,25.07,2.62,21.86
Perimeter,45.67,24.20,113.65,10.67,23.36
Roughness,1.20,1.03,2.41,0.13,11.05
Sigma Intensity,34.42,14.50,52.75,7.31,21.23
Sum Intensity,46339.33,18311.00,1.61e+005,16502.82,35.61
Transparency,0.12,0.03,0.50,0.04,36.74
Volume (ABD),449.42,66.31,2457.21,265.55,59.09
Width,8.79,4.70,16.52,1.73,19.68

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,6,0.36,0.05,210,0.02
6-7um,39,2.37,0.53,1365,0.21
7-8um,159,9.64,3.20,5564,1.25
8-9um,228,13.83,6.67,7978,2.61
0-5um,0,0.00,0.00,0.00,0.00
5-10um,679,41.18,20.36,23759,7.95
10-15um,933,56.58,72.12,32646,28
15-20um,35,2.12,7.10,1225,2.77
20-25um,1,0.06,0.38,35,0.15
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,239,14.49,9.67,8363,3.78
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

