List File,CONT10R2.lst
Start Time,2016-09-16  11:17:22
Sampling Time,1 min 7 sec

Count,3
Particles / ml,103

Efficiency,8.6%
PPUI,1.00

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),42.93,26.50,65.93,20.52,47.79
Aspect Ratio,0.42,0.25,0.67,0.22,52.17
Circle Fit,0.34,0.16,0.66,0.28,83.57
Circularity (Hu),0.53,0.35,0.84,0.27,50.15
Compactness,3.52,2.08,5.64,1.87,53.25
Diameter (ABD),7.26,5.81,9.16,1.72,23.73
Diameter (ESD),11.70,7.56,14.50,3.67,31.32
Elongation,8.90,4.30,15.64,5.97,67.00
Geodesic Aspect Ratio,0.15,0.06,0.23,0.08,57.00
Geodesic Length,25.02,15.62,32.56,8.62,34.46
Geodesic Thickness,3.23,2.08,3.97,1.01,31.18
Image Height,42.67,30.00,52.00,11.37,26.65
Image Width,25.00,23.00,26.00,1.73,6.93
Intensity,159.70,150.37,171.39,10.71,6.71
Length,16.16,9.18,20.78,6.15,38.04
Perimeter,56.49,38.51,69.29,16.03,28.37
Roughness,1.37,1.20,1.46,0.15,11.16
Sigma Intensity,28.62,24.74,33.54,4.49,15.70
Sum Intensity,40453.00,26615.00,59816.00,17276.31,42.71
Transparency,0.36,0.23,0.48,0.12,34.51
Volume (ABD),223.42,102.64,402.69,158.35,70.88
Width,5.67,4.63,6.35,0.92,16.17

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,1,33.33,7.56,34,0.01
8-9um,0,0.00,0.00,0.00,0.00
0-5um,0,0.00,0.00,0.00,0.00
5-10um,1,33.33,7.56,34,0.01
10-15um,2,66.67,92.44,69,0.10
15-20um,0,0.00,0.00,0.00,0.00
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,0,0.00,0.00,0.00,0.00
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

