List File,CONT30R2.lst
Start Time,2016-09-16  16:02:36
Sampling Time,50 sec

Count,5
Particles / ml,231

Efficiency,8.6%
PPUI,1.00

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),94.75,22.70,145.63,59.00,62.27
Aspect Ratio,0.78,0.55,0.88,0.13,16.83
Circle Fit,0.70,0.52,0.89,0.16,23.43
Circularity (Hu),0.91,0.80,0.99,0.08,8.58
Compactness,1.70,1.03,2.67,0.65,38.37
Diameter (ABD),10.41,5.38,13.62,3.90,37.48
Diameter (ESD),12.05,6.55,16.21,4.70,38.98
Elongation,2.98,1.00,6.22,2.16,72.61
Geodesic Aspect Ratio,0.51,0.16,1.00,0.33,65.46
Geodesic Length,19.76,7.58,35.84,12.07,61.10
Geodesic Thickness,7.15,5.20,10.48,2.07,29.01
Image Height,38.00,26.00,46.00,10.07,26.51
Image Width,34.60,26.00,43.00,7.83,22.63
Intensity,133.31,114.37,149.95,13.66,10.25
Length,14.00,7.73,18.91,5.63,40.23
Perimeter,53.83,29.08,83.20,23.85,44.31
Roughness,1.21,1.05,1.54,0.20,16.41
Sigma Intensity,40.37,32.44,45.59,5.25,13.01
Sum Intensity,61953.80,22476.00,92070.00,34558.49,55.78
Transparency,0.13,0.05,0.18,0.06,43.98
Volume (ABD),780.46,81.35,1322.07,597.86,76.60
Width,9.71,5.24,13.52,3.57,36.72

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,1,20.00,2.38,46,0.01
7-8um,1,20.00,3.40,46,0.01
8-9um,0,0.00,0.00,0.00,0.00
0-5um,0,0.00,0.00,0.00,0.00
5-10um,2,40.00,5.78,92,0.02
10-15um,1,20.00,25.35,46,0.07
15-20um,2,40.00,68.87,92,0.20
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,0,0.00,0.00,0.00,0.00
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

