List File,BB105_copy.lst
Start Time,2016-09-20  18:16:30
Sampling Time,44 sec

Count,370  of  370
Particles / ml,19561

Efficiency,8.7%
PPUI,1.47

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),77.93,24.59,188.14,28.23,36.22
Aspect Ratio,0.81,0.54,1.00,0.10,12.14
Circle Fit,0.78,0.27,0.95,0.09,11.53
Circularity (Hu),0.95,0.82,1.00,0.03,3.34
Compactness,1.37,1.00,3.15,0.34,24.74
Diameter (ABD),9.82,5.60,15.48,1.67,16.95
Diameter (ESD),10.95,5.96,18.00,1.93,17.58
Elongation,1.81,1.00,7.76,1.16,64.15
Geodesic Aspect Ratio,0.73,0.13,1.00,0.31,42.02
Geodesic Length,13.99,6.44,39.64,5.43,38.82
Geodesic Thickness,8.76,4.15,15.06,2.09,23.85
Image Height,33.68,24.00,49.00,3.97,11.80
Image Width,34.34,25.00,50.00,4.32,12.58
Intensity,126.23,93.35,155.47,11.37,9.00
Length,12.39,6.50,20.07,2.29,18.46
Perimeter,45.49,25.76,92.06,9.30,20.44
Roughness,1.20,1.04,1.77,0.15,12.93
Sigma Intensity,29.40,7.89,54.54,11.61,39.48
Sum Intensity,50030.58,19172.00,1.13e+005,14681.87,29.35
Transparency,0.10,0.03,0.23,0.04,44.17
Volume (ABD),541.31,91.72,1941.29,316.79,58.52
Width,9.27,5.49,17.37,1.79,19.28

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,1,0.27,0.04,53,0.01
6-7um,0,0.00,0.00,0.00,0.00
7-8um,7,1.89,0.56,370,0.08
8-9um,37,10.00,4.45,1956,0.66
0-5um,0,0.00,0.00,0.00,0.00
5-10um,116,31.35,16.56,6133,2.45
10-15um,230,62.16,66.91,12160,9.89
15-20um,20,5.41,15.78,1057,2.33
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,71,19.19,11.51,3754,1.70
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

