List File,CH102_copy.lst
Start Time,2016-09-20  17:25:56
Sampling Time,1 min 0 sec

Count,252  of  252
Particles / ml,10308

Efficiency,8.3%
PPUI,2.10

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),85.64,30.83,213.78,25.22,29.45
Aspect Ratio,0.85,0.57,1.00,0.09,10.13
Circle Fit,0.80,0.34,0.95,0.07,9.26
Circularity (Hu),0.96,0.81,1.00,0.02,2.60
Compactness,1.40,1.01,2.99,0.33,23.41
Diameter (ABD),10.33,6.27,16.50,1.51,14.58
Diameter (ESD),11.60,6.80,19.12,1.74,15.00
Elongation,1.92,1.00,7.25,1.13,58.84
Geodesic Aspect Ratio,0.68,0.14,1.00,0.31,44.92
Geodesic Length,15.19,7.11,32.01,5.19,34.18
Geodesic Thickness,8.95,3.72,13.64,2.18,24.31
Image Height,34.90,26.00,55.00,3.59,10.29
Image Width,35.38,25.00,49.00,3.67,10.37
Intensity,126.44,87.95,176.48,12.98,10.27
Length,12.88,7.32,22.87,2.04,15.82
Perimeter,48.28,28.43,82.36,8.41,17.42
Roughness,1.27,1.04,1.69,0.16,12.39
Sigma Intensity,35.32,7.86,54.36,12.15,34.40
Sum Intensity,54082.92,27445.00,1.28e+005,13722.63,25.37
Transparency,0.11,0.03,0.24,0.04,38.43
Volume (ABD),615.05,128.76,2351.25,278.22,45.23
Width,10.14,5.80,14.98,1.65,16.27

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,2,0.79,0.15,82,0.01
7-8um,1,0.40,0.12,41,0.01
8-9um,10,3.97,1.53,409,0.14
0-5um,0,0.00,0.00,0.00,0.00
5-10um,50,19.84,9.68,2045,0.87
10-15um,194,76.98,83.24,7936,7.49
15-20um,7,2.78,6.85,286,0.62
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,37,14.68,7.87,1514,0.71
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

