List File,TT301R2.lst
Start Time,2016-09-20  15:32:35
Sampling Time,2 min 17 sec

Count,723  of  723
Particles / ml,12941

Efficiency,16.3%
PPUI,1.24

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),121.14,21.04,319.72,47.00,38.80
Aspect Ratio,0.76,0.22,0.99,0.12,15.91
Circle Fit,0.68,0.16,0.89,0.11,16.47
Circularity (Hu),0.91,0.24,0.99,0.08,8.92
Compactness,1.87,1.06,7.77,0.78,41.74
Diameter (ABD),12.18,5.18,20.18,2.42,19.88
Diameter (ESD),14.05,7.28,23.52,2.66,18.95
Elongation,3.46,1.00,22.36,2.59,74.95
Geodesic Aspect Ratio,0.42,0.04,1.00,0.24,58.41
Geodesic Length,23.38,7.58,69.39,9.47,40.51
Geodesic Thickness,8.01,1.73,18.67,2.44,30.40
Image Height,39.79,23.00,66.00,6.03,15.15
Image Width,39.46,23.00,60.00,5.52,13.99
Intensity,147.68,85.80,211.41,18.11,12.26
Length,16.23,7.90,28.63,2.87,17.67
Perimeter,62.79,30.32,146.05,17.14,27.29
Roughness,1.31,1.04,2.33,0.23,17.56
Sigma Intensity,41.47,3.93,55.86,8.09,19.52
Sum Intensity,85556.23,23951.00,2.32e+005,34233.51,40.01
Transparency,0.13,0.04,0.57,0.05,40.77
Volume (ABD),1058.82,72.59,4300.54,612.19,57.82
Width,11.55,3.05,20.07,2.80,24.24

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,5,0.69,0.10,89,0.02
8-9um,9,1.24,0.27,161,0.06
0-5um,0,0.00,0.00,0.00,0.00
5-10um,41,5.67,1.42,734,0.30
10-15um,426,58.92,41.32,7625,8.61
15-20um,244,33.75,52.13,4367,11
20-25um,11,1.52,4.98,197,1.04
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,27,3.73,1.05,483,0.22
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

