List File,BB105R2.lst
Start Time,2016-09-23  16:04:53
Sampling Time,1 min 1 sec

Count,1006
Particles / ml,37967

Efficiency,8.6%
PPUI,1.99

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),80.46,20.83,272.09,38.66,48.05
Aspect Ratio,0.82,0.43,0.99,0.10,12.12
Circle Fit,0.75,0.20,0.95,0.09,12.38
Circularity (Hu),0.94,0.59,1.00,0.05,4.86
Compactness,1.67,1.00,7.10,0.57,34.08
Diameter (ABD),9.86,5.15,18.61,2.31,23.41
Diameter (ESD),11.36,6.13,21.39,2.67,23.52
Elongation,2.83,1.00,20.26,1.92,68.06
Geodesic Aspect Ratio,0.49,0.05,1.00,0.28,56.07
Geodesic Length,17.93,6.56,63.94,7.31,40.77
Geodesic Thickness,7.20,2.31,18.90,1.93,26.80
Image Height,35.13,24.00,56.00,5.53,15.74
Image Width,34.47,22.00,57.00,5.11,14.82
Intensity,134.32,81.97,177.59,15.61,11.62
Length,12.87,6.64,25.52,3.25,25.25
Perimeter,50.27,26.22,137.45,13.62,27.10
Roughness,1.25,1.04,2.15,0.16,12.69
Sigma Intensity,37.09,12.92,56.78,7.97,21.49
Sum Intensity,54618.11,16245.00,1.96e+005,22490.25,41.18
Transparency,0.13,0.04,0.34,0.04,32.12
Volume (ABD),587.52,71.52,3376.15,437.63,74.49
Width,9.64,5.25,18.41,2.22,23.06

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,24,2.39,0.40,906,0.14
7-8um,51,5.07,1.27,1925,0.43
8-9um,125,12.43,4.51,4718,1.53
0-5um,0,0.00,0.00,0.00,0.00
5-10um,361,35.88,14.22,13624,4.84
10-15um,528,52.49,57.26,19927,19
15-20um,108,10.74,26.43,4076,8.99
20-25um,4,0.40,2.03,151,0.69
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,159,15.81,7.97,6001,2.71
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

