List File,ch104.lst
Start Time,2016-09-23  15:49:03
Sampling Time,59 sec

Count,1565
Particles / ml,61047

Efficiency,8.6%
PPUI,2.60

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),70.11,22.28,208.74,24.72,35.26
Aspect Ratio,0.84,0.31,1.00,0.09,10.33
Circle Fit,0.76,0.14,0.95,0.09,12.20
Circularity (Hu),0.94,0.17,1.00,0.05,5.41
Compactness,1.69,1.00,7.14,0.61,35.78
Diameter (ABD),9.31,5.33,16.30,1.62,17.42
Diameter (ESD),10.78,6.19,21.00,2.03,18.87
Elongation,2.90,1.00,20.40,2.04,70.50
Geodesic Aspect Ratio,0.50,0.05,1.00,0.29,57.92
Geodesic Length,17.34,6.52,62.58,7.22,41.66
Geodesic Thickness,6.89,1.63,13.62,1.73,25.17
Image Height,33.78,25.00,60.00,4.31,12.75
Image Width,33.67,24.00,51.00,4.08,12.10
Intensity,136.61,89.39,214.09,15.77,11.54
Length,12.14,6.50,25.77,2.49,20.52
Perimeter,48.46,26.09,131.34,12.50,25.80
Roughness,1.27,1.03,2.18,0.17,13.38
Sigma Intensity,36.33,3.54,51.09,7.90,21.75
Sum Intensity,50297.31,17028.00,1.38e+005,16847.08,33.49
Transparency,0.13,0.03,0.62,0.05,35.22
Volume (ABD),461.60,79.12,2268.63,249.06,53.96
Width,9.26,5.25,15.48,1.74,18.81

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,22,1.41,0.29,858,0.13
7-8um,80,5.11,1.60,3121,0.71
8-9um,197,12.59,5.75,7684,2.55
0-5um,0,0.00,0.00,0.00,0.00
5-10um,608,38.85,19.94,23717,8.84
10-15um,907,57.96,71.81,35380,32
15-20um,40,2.56,7.59,1560,3.37
20-25um,1,0.06,0.43,39,0.19
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,306,19.55,12.20,11936,5.41
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

