List File,TT301.lst
Start Time,2016-09-23  10:52:08
Sampling Time,1 min 8 sec

Count,355
Particles / ml,12064

Efficiency,8.6%
PPUI,1.23

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),109.18,21.66,373.23,43.05,39.43
Aspect Ratio,0.77,0.40,0.99,0.10,13.56
Circle Fit,0.72,0.40,0.89,0.09,12.54
Circularity (Hu),0.92,0.50,0.99,0.06,6.71
Compactness,1.69,1.03,5.17,0.47,27.60
Diameter (ABD),11.58,5.25,21.80,2.24,19.36
Diameter (ESD),13.27,6.93,24.62,2.35,17.74
Elongation,2.90,1.00,14.16,1.60,55.18
Geodesic Aspect Ratio,0.44,0.07,1.00,0.22,50.42
Geodesic Length,20.69,7.35,49.25,6.05,29.25
Geodesic Thickness,7.99,2.35,15.56,2.13,26.65
Image Height,38.40,26.00,56.00,4.89,12.73
Image Width,38.12,25.00,68.00,5.32,13.95
Intensity,140.39,81.66,183.11,19.90,14.18
Length,15.15,7.48,30.64,2.70,17.85
Perimeter,57.35,29.40,109.15,11.24,19.59
Roughness,1.26,1.04,2.01,0.15,11.65
Sigma Intensity,41.52,21.40,60.04,7.15,17.21
Sum Intensity,74374.51,21557.00,2.34e+005,29775.95,40.04
Transparency,0.13,0.04,0.35,0.04,34.34
Volume (ABD),905.96,75.82,5424.20,563.80,62.23
Width,11.07,5.80,19.53,2.30,20.82

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,1,0.28,0.04,34,0.01
7-8um,3,0.85,0.15,102,0.02
8-9um,8,2.25,0.57,272,0.09
0-5um,0,0.00,0.00,0.00,0.00
5-10um,27,7.61,2.24,918,0.36
10-15um,251,70.70,58.91,8530,9.53
15-20um,75,21.13,36.09,2549,5.84
20-25um,2,0.56,2.76,68,0.45
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,15,4.23,1.49,510,0.24
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

