List File,TT304R2.lst
Start Time,2016-09-23  10:58:37
Sampling Time,1 min 4 sec

Count,464
Particles / ml,16897

Efficiency,8.6%
PPUI,1.38

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),110.09,21.87,250.32,36.67,33.31
Aspect Ratio,0.77,0.33,0.98,0.10,13.63
Circle Fit,0.71,0.27,0.92,0.09,12.18
Circularity (Hu),0.92,0.44,0.99,0.06,6.29
Compactness,1.70,1.03,5.04,0.43,25.16
Diameter (ABD),11.68,5.28,17.85,1.97,16.85
Diameter (ESD),13.39,6.83,20.70,2.08,15.52
Elongation,2.95,1.00,13.75,1.47,49.96
Geodesic Aspect Ratio,0.41,0.07,1.00,0.20,47.47
Geodesic Length,21.10,7.22,42.53,5.52,26.17
Geodesic Thickness,7.88,2.13,15.34,1.94,24.64
Image Height,38.73,23.00,64.00,5.09,13.14
Image Width,38.22,26.00,52.00,4.47,11.69
Intensity,140.74,75.37,184.07,17.81,12.66
Length,15.40,8.03,27.48,2.49,16.18
Perimeter,57.96,28.89,94.98,10.08,17.40
Roughness,1.26,1.04,1.97,0.13,10.75
Sigma Intensity,42.73,19.57,55.27,6.24,14.60
Sum Intensity,75021.26,21580.00,1.70e+005,26062.64,34.74
Transparency,0.13,0.04,0.46,0.04,31.28
Volume (ABD),904.41,76.91,2979.24,455.59,50.37
Width,11.16,4.51,16.30,1.98,17.74

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,1,0.22,0.03,36,0.01
7-8um,3,0.65,0.11,109,0.02
8-9um,8,1.72,0.42,291,0.10
0-5um,0,0.00,0.00,0.00,0.00
5-10um,24,5.17,1.47,874,0.33
10-15um,344,74.14,63.20,12527,14
15-20um,94,20.26,33.91,3423,7.72
20-25um,2,0.43,1.43,73,0.32
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,12,2.59,0.91,437,0.21
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

