List File,CH102.lst
Start Time,2016-09-27  12:19:57
Sampling Time,58 sec

Count,1623
Particles / ml,65477

Efficiency,8.5%
PPUI,2.65

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),72.00,19.81,231.60,25.62,35.58
Aspect Ratio,0.83,0.40,1.00,0.09,10.38
Circle Fit,0.76,0.01,0.95,0.09,11.50
Circularity (Hu),0.94,0.51,1.00,0.04,4.37
Compactness,1.65,1.00,8.79,0.57,34.79
Diameter (ABD),9.43,5.02,17.17,1.68,17.84
Diameter (ESD),10.87,6.03,22.05,2.05,18.87
Elongation,2.76,1.00,25.56,1.94,70.27
Geodesic Aspect Ratio,0.51,0.04,1.00,0.28,55.75
Geodesic Length,17.02,6.44,64.14,6.86,40.32
Geodesic Thickness,7.09,1.63,13.74,1.83,25.87
Image Height,34.09,24.00,61.00,4.50,13.20
Image Width,33.73,24.00,64.00,4.08,12.11
Intensity,133.68,80.16,177.63,15.77,11.80
Length,12.29,6.27,28.07,2.51,20.45
Perimeter,48.23,25.76,133.30,11.90,24.68
Roughness,1.25,1.03,2.23,0.16,12.85
Sigma Intensity,35.01,10.60,53.18,7.74,22.11
Sum Intensity,50091.21,17974.00,1.50e+005,16462.93,32.87
Transparency,0.13,0.03,0.43,0.04,33.53
Volume (ABD),480.95,66.31,2651.41,259.98,54.06
Width,9.27,5.25,16.73,1.72,18.59

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,33,2.03,0.41,1331,0.20
7-8um,79,4.87,1.49,3187,0.73
8-9um,189,11.65,5.14,7625,2.51
0-5um,0,0.00,0.00,0.00,0.00
5-10um,592,36.48,17.89,23883,8.73
10-15um,984,60.63,74.58,39698,36
15-20um,36,2.22,6.31,1452,3.08
20-25um,2,0.12,0.91,81,0.44
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,290,17.87,10.82,11699,5.28
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

