List File,CONT30.lst
Start Time,2016-09-27  15:02:45
Sampling Time,1 min 0 sec

Count,1
Particles / ml,39

Efficiency,8.6%
PPUI,1.00

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),69.54,69.54,69.54,0.00,0.00
Aspect Ratio,0.80,0.80,0.80,0.00,0.00
Circle Fit,0.58,0.58,0.58,0.00,0.00
Circularity (Hu),0.80,0.80,0.80,0.00,0.00
Compactness,3.68,3.68,3.68,0.00,0.00
Diameter (ABD),9.41,9.41,9.41,0.00,0.00
Diameter (ESD),12.66,12.66,12.66,0.00,0.00
Elongation,9.45,9.45,9.45,0.00,0.00
Geodesic Aspect Ratio,0.11,0.11,0.11,0.00,0.00
Geodesic Length,32.94,32.94,32.94,0.00,0.00
Geodesic Thickness,3.49,3.49,3.49,0.00,0.00
Image Height,37.00,37.00,37.00,0.00,0.00
Image Width,35.00,35.00,35.00,0.00,0.00
Intensity,150.54,150.54,150.54,0.00,0.00
Length,14.17,14.17,14.17,0.00,0.00
Perimeter,72.85,72.85,72.85,0.00,0.00
Roughness,1.71,1.71,1.71,0.00,0.00
Sigma Intensity,40.18,40.18,40.18,0.00,0.00
Sum Intensity,54795.00,54795.00,54795.00,0.00,0.00
Transparency,0.26,0.26,0.26,0.00,0.00
Volume (ABD),436.24,436.24,436.24,0.00,0.00
Width,11.33,11.33,11.33,0.00,0.00

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,0,0.00,0.00,0.00,0.00
8-9um,0,0.00,0.00,0.00,0.00
0-5um,0,0.00,0.00,0.00,0.00
5-10um,0,0.00,0.00,0.00,0.00
10-15um,1,100.00,100.00,39,0.04
15-20um,0,0.00,0.00,0.00,0.00
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,0,0.00,0.00,0.00,0.00
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

