List File,CH304_R3.lst
Start Time,2016-09-30  14:26:34
Sampling Time,59 sec

Count,736
Particles / ml,28947

Efficiency,8.5%
PPUI,1.62

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),73.17,20.22,296.39,27.49,37.57
Aspect Ratio,0.82,0.38,1.00,0.10,12.01
Circle Fit,0.76,0.20,0.95,0.09,11.81
Circularity (Hu),0.94,0.42,1.00,0.05,5.30
Compactness,1.58,1.00,5.56,0.48,30.24
Diameter (ABD),9.50,5.07,19.43,1.73,18.23
Diameter (ESD),10.87,6.01,21.91,2.05,18.84
Elongation,2.53,1.00,15.39,1.62,63.95
Geodesic Aspect Ratio,0.55,0.06,1.00,0.30,54.60
Geodesic Length,16.35,6.44,48.12,6.19,37.85
Geodesic Thickness,7.35,2.11,14.81,1.88,25.54
Image Height,34.28,22.00,57.00,4.62,13.49
Image Width,33.58,24.00,53.00,4.04,12.04
Intensity,131.58,83.79,176.82,18.13,13.78
Length,12.33,6.50,25.07,2.57,20.84
Perimeter,47.42,25.76,103.04,10.69,22.55
Roughness,1.23,1.03,1.84,0.14,11.23
Sigma Intensity,35.52,15.82,52.69,7.68,21.63
Sum Intensity,50154.74,17306.00,2.05e+005,18881.05,37.65
Transparency,0.12,0.03,0.44,0.05,37.47
Volume (ABD),494.58,68.37,3838.49,297.43,60.14
Width,9.20,4.85,15.79,1.70,18.45

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,13,1.77,0.36,511,0.08
7-8um,35,4.76,1.49,1377,0.32
8-9um,75,10.19,4.48,2950,0.97
0-5um,0,0.00,0.00,0.00,0.00
5-10um,266,36.14,18.15,10462,3.92
10-15um,446,60.60,72.40,17541,16
15-20um,20,2.72,8.17,787,1.76
20-25um,1,0.14,1.00,39,0.22
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,139,18.89,11.53,5467,2.49
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

