List File,TT103.lst
Start Time,2016-09-30  09:13:35
Sampling Time,59 sec

Count,787
Particles / ml,31170

Efficiency,8.6%
PPUI,1.67

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),126.22,20.01,254.34,34.02,26.96
Aspect Ratio,0.75,0.31,1.00,0.12,15.86
Circle Fit,0.71,0.10,0.93,0.10,14.00
Circularity (Hu),0.92,0.34,1.00,0.07,7.39
Compactness,1.64,1.04,12.65,0.76,46.66
Diameter (ABD),12.55,5.05,18.00,1.80,14.31
Diameter (ESD),14.18,7.06,22.04,1.97,13.85
Elongation,2.67,1.00,37.71,2.51,94.12
Geodesic Aspect Ratio,0.52,0.03,1.00,0.28,53.19
Geodesic Length,20.68,8.60,85.04,7.16,34.64
Geodesic Thickness,9.19,1.70,17.57,2.41,26.26
Image Height,40.06,21.00,58.00,5.13,12.80
Image Width,39.67,24.00,57.00,4.55,11.47
Intensity,123.85,81.51,196.29,17.30,13.97
Length,16.38,7.90,26.72,2.34,14.29
Perimeter,59.74,34.28,174.59,11.81,19.77
Roughness,1.20,1.04,2.50,0.14,12.03
Sigma Intensity,36.63,17.64,57.99,9.76,26.63
Sum Intensity,73445.18,23276.00,1.65e+005,21796.19,29.68
Transparency,0.12,0.03,0.50,0.05,42.10
Volume (ABD),1096.29,67.34,3051.34,430.22,39.24
Width,11.62,3.59,18.51,2.15,18.54

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,4,0.51,0.07,158,0.04
8-9um,5,0.64,0.12,198,0.06
0-5um,0,0.00,0.00,0.00,0.00
5-10um,19,2.41,0.57,753,0.28
10-15um,507,64.42,51.80,20080,25
15-20um,254,32.27,46.03,10060,23
20-25um,3,0.38,1.27,119,0.62
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,10,1.27,0.38,396,0.19
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

