List File,BB104_R2.lst
Start Time,2016-10-04  14:51:28
Sampling Time,58 sec

Count,1192
Particles / ml,47954

Efficiency,8.5%
PPUI,2.14

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),107.47,22.70,418.59,45.03,41.90
Aspect Ratio,0.79,0.31,0.99,0.12,14.61
Circle Fit,0.73,0.00,0.94,0.09,12.68
Circularity (Hu),0.93,0.42,1.00,0.05,5.30
Compactness,1.62,1.00,5.99,0.42,26.07
Diameter (ABD),11.42,5.38,23.09,2.53,22.16
Diameter (ESD),12.99,5.74,30.92,2.93,22.56
Elongation,2.65,1.00,16.75,1.46,54.91
Geodesic Aspect Ratio,0.50,0.06,1.00,0.27,54.28
Geodesic Length,19.71,6.28,71.99,7.39,37.49
Geodesic Thickness,8.17,1.76,15.09,2.07,25.33
Image Height,37.76,23.00,67.00,6.00,15.89
Image Width,37.62,24.00,78.00,6.20,16.47
Intensity,125.15,77.03,176.66,16.45,13.14
Length,14.85,6.28,38.71,3.49,23.53
Perimeter,55.76,25.12,158.53,14.02,25.14
Roughness,1.22,1.04,1.84,0.13,10.37
Sigma Intensity,38.02,11.89,56.57,9.64,25.35
Sum Intensity,64299.43,17403.00,2.46e+005,24682.45,38.39
Transparency,0.12,0.03,0.39,0.04,31.64
Volume (ABD),893.31,81.35,6442.47,549.56,61.52
Width,10.89,4.95,19.01,2.66,24.44

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,1,0.08,0.01,40,0.00
6-7um,19,1.59,0.19,764,0.12
7-8um,47,3.94,0.66,1891,0.42
8-9um,74,6.21,1.50,2977,0.95
0-5um,0,0.00,0.00,0.00,0.00
5-10um,214,17.95,4.39,8609,2.79
10-15um,668,56.04,49.10,26873,31
15-20um,299,25.08,42.46,12029,27
20-25um,4,0.34,1.53,161,0.97
25-30um,2,0.17,1.09,80,0.69
30-35um,1,0.08,0.98,40,0.62
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,71,5.96,2.00,2856,1.27
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

