List File,BB301.lst
Start Time,2016-10-04  14:30:35
Sampling Time,51 sec

Count,846
Particles / ml,38153

Efficiency,8.5%
PPUI,1.87

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),78.41,20.42,220.42,25.65,32.71
Aspect Ratio,0.76,0.43,0.99,0.11,14.67
Circle Fit,0.71,0.22,0.94,0.11,15.06
Circularity (Hu),0.91,0.43,1.00,0.07,7.95
Compactness,1.64,1.00,6.22,0.58,35.54
Diameter (ABD),9.85,5.10,16.75,1.66,16.88
Diameter (ESD),11.47,6.11,18.97,1.87,16.29
Elongation,2.70,1.00,17.49,1.98,73.27
Geodesic Aspect Ratio,0.54,0.06,1.00,0.31,56.59
Geodesic Length,17.20,6.68,43.72,6.26,36.42
Geodesic Thickness,7.68,2.23,15.83,2.34,30.41
Image Height,34.94,22.00,54.00,4.44,12.72
Image Width,34.96,24.00,54.00,4.11,11.75
Intensity,137.74,90.33,185.79,16.33,11.85
Length,13.22,6.70,22.90,2.16,16.38
Perimeter,49.75,26.74,94.33,10.17,20.44
Roughness,1.28,1.04,2.00,0.18,14.35
Sigma Intensity,35.75,6.91,53.11,10.08,28.19
Sum Intensity,55293.21,18440.00,1.38e+005,17143.63,31.00
Transparency,0.14,0.02,0.40,0.05,37.81
Volume (ABD),543.19,69.42,2461.66,263.35,48.48
Width,9.41,3.91,16.04,1.93,20.45

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,12,1.42,0.25,541,0.08
7-8um,29,3.43,0.90,1308,0.29
8-9um,51,6.03,2.31,2300,0.75
0-5um,0,0.00,0.00,0.00,0.00
5-10um,163,19.27,7.86,7351,2.56
10-15um,666,78.72,87.32,30036,28
15-20um,14,1.65,4.43,631,1.44
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,69,8.16,4.34,3112,1.41
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

