List File,CH102_R4.lst
Start Time,2016-10-04  14:22:11
Sampling Time,1 min 1 sec

Count,2913
Particles / ml,111537

Efficiency,8.5%
PPUI,4.08

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),53.23,20.22,216.70,16.97,31.88
Aspect Ratio,0.82,0.40,1.00,0.09,10.47
Circle Fit,0.80,0.11,0.95,0.07,9.12
Circularity (Hu),0.95,0.55,1.00,0.03,3.02
Compactness,1.30,1.00,3.32,0.31,23.83
Diameter (ABD),8.14,5.07,16.61,1.24,15.29
Diameter (ESD),9.09,5.38,22.43,1.42,15.62
Elongation,1.64,1.00,8.31,1.04,63.33
Geodesic Aspect Ratio,0.78,0.12,1.00,0.29,37.36
Geodesic Length,11.34,5.86,45.24,4.06,35.84
Geodesic Thickness,7.79,3.19,14.85,1.72,22.03
Image Height,30.64,22.00,56.00,3.16,10.32
Image Width,30.56,23.00,65.00,3.11,10.17
Intensity,130.56,92.38,173.12,11.66,8.93
Length,10.28,5.76,28.08,1.68,16.35
Perimeter,38.26,23.42,103.30,6.68,17.45
Roughness,1.17,1.03,1.74,0.14,11.78
Sigma Intensity,26.18,4.43,51.14,12.53,47.85
Sum Intensity,38401.15,16877.00,1.32e+005,9641.81,25.11
Transparency,0.10,0.03,0.32,0.05,47.96
Volume (ABD),302.74,68.37,2399.60,154.15,50.92
Width,7.67,3.93,13.54,1.32,17.26

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,17,0.58,0.14,651,0.07
6-7um,118,4.05,1.49,4518,0.70
7-8um,494,16.96,9.24,18915,4.36
8-9um,870,29.87,22.86,33312,11
0-5um,0,0.00,0.00,0.00,0.00
5-10um,2213,75.97,59.11,84735,28
10-15um,692,23.76,39.41,26496,19
15-20um,5,0.17,0.91,191,0.43
20-25um,1,0.03,0.48,38,0.23
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,696,23.89,24.93,26649,12
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

