List File,TT103_R2.lst
Start Time,2016-10-04  14:01:22
Sampling Time,1 min 1 sec

Count,913
Particles / ml,34645

Efficiency,8.5%
PPUI,1.78

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),126.70,20.01,306.96,38.95,30.74
Aspect Ratio,0.77,0.36,0.99,0.12,15.75
Circle Fit,0.72,0.10,0.95,0.10,13.73
Circularity (Hu),0.92,0.42,1.00,0.06,6.84
Compactness,1.63,1.00,8.38,0.59,35.88
Diameter (ABD),12.54,5.05,19.77,2.01,16.02
Diameter (ESD),14.19,5.41,25.61,2.26,15.92
Elongation,2.67,1.00,24.30,1.97,73.62
Geodesic Aspect Ratio,0.50,0.04,1.00,0.26,51.91
Geodesic Length,21.01,5.97,77.57,7.17,34.11
Geodesic Thickness,8.99,1.76,17.06,2.21,24.53
Image Height,40.28,24.00,68.00,5.40,13.41
Image Width,39.52,21.00,61.00,4.95,12.51
Intensity,124.30,83.23,180.88,16.59,13.35
Length,16.33,6.22,33.20,2.64,16.14
Perimeter,60.01,23.88,161.52,12.41,20.68
Roughness,1.21,1.03,2.61,0.15,12.08
Sigma Intensity,37.63,11.94,61.22,10.40,27.65
Sum Intensity,73988.37,18178.00,1.81e+005,23889.15,32.29
Transparency,0.12,0.03,0.44,0.04,36.75
Volume (ABD),1110.85,67.34,4045.61,509.23,45.84
Width,11.77,3.23,18.94,2.36,20.07

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,1,0.11,0.01,38,0.00
6-7um,2,0.22,0.02,76,0.01
7-8um,6,0.66,0.09,228,0.05
8-9um,2,0.22,0.05,76,0.03
0-5um,0,0.00,0.00,0.00,0.00
5-10um,30,3.29,0.74,1138,0.41
10-15um,572,62.65,48.47,21705,27
15-20um,301,32.97,47.25,11422,26
20-25um,8,0.88,2.94,304,1.64
25-30um,1,0.11,0.60,38,0.33
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,17,1.86,0.54,645,0.30
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

