List File,TT301_R1.lst
Start Time,10/4/2016 13:46
Sampling Time,52 sec

Count,1767
Particles / ml,79799

Efficiency,8.50%
PPUI,3.2

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),97.07,19.6,318.91,41.9,43.16
Aspect Ratio,0.77,0.17,0.99,0.13,16.57
Circle Fit,0.69,0,0.92,0.13,18.95
Circularity (Hu),0.89,0.22,1,0.12,13.35
Compactness,1.96,1,11.45,1.24,62.93
Diameter (ABD),10.85,5,20.15,2.42,22.33
Diameter (ESD),12.77,6.36,30.49,2.55,19.93
Elongation,3.77,1,33.94,4.01,106.28
Geodesic Aspect Ratio,0.42,0.03,1,0.24,58.1
Geodesic Length,21.13,7.27,92.11,8.39,39.71
Geodesic Thickness,7.4,1.28,17.68,2.58,34.86
Image Height,37.61,23,74,5.46,14.53
Image Width,37.14,23,77,5.28,14.23
Intensity,144.3,76.77,200.34,20.98,14.54
Length,14.69,7.32,36.01,2.91,19.79
Perimeter,57.05,29.08,192.81,15.04,26.37
Roughness,1.3,1.04,2.73,0.21,16.24
Sigma Intensity,39.68,14.23,60.01,7.96,20.05
Sum Intensity,69095.46,17274,2.35E+05,29782.98,43.1
Transparency,0.15,0.04,0.55,0.08,54.04
Volume (ABD),768.91,65.29,4284.1,495.3,64.42
Width,10.59,2.35,24.04,2.55,24.08

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0,0,0,0
3-4um,0,0,0,0,0
4-5um,0,0,0,0,0
5-6um,0,0,0,0,0
6-7um,4,0.23,0.03,181,0.03
7-8um,36,2.04,0.39,1626,0.37
8-9um,79,4.47,1.21,3568,1.17
0-5um,0,0,0,0,0
5-10um,228,12.9,3.9,10297,3.79
10-15um,1221,69.1,60.69,55141,59
15-20um,287,16.24,30.07,12961,29
20-25um,13,0.74,3.59,587,3.49
25-30um,2,0.11,0.82,90,0.79
30-35um,1,0.06,0.69,45,0.67
35-40um,0,0,0,0,0
40-45um,0,0,0,0,0
45-50um,0,0,0,0,0
50-55um,0,0,0,0,0
55-60um,0,0,0,0,0
60-65um,0,0,0,0,0
65-70um,0,0,0,0,0
75-80um,0,0,0,0,0
80-85um,0,0,0,0,0
85-90um,0,0,0,0,0
90-95um,0,0,0,0,0
95-100um,0,0,0,0,0
9-10um,107,6.06,2.25,4832,2.19
1-2um,0,0,0,0,0
0-1um,0,0,0,0,0
