List File,BB105_R3.lst
Start Time,2016-10-18  16:29:47
Sampling Time,1 min 1 sec

Count,396
Particles / ml,14967

Efficiency,8.6%
PPUI,1.31

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),112.86,19.60,295.58,41.95,37.17
Aspect Ratio,0.80,0.36,0.98,0.12,14.52
Circle Fit,0.72,0.17,0.93,0.09,13.13
Circularity (Hu),0.92,0.32,1.00,0.06,6.61
Compactness,1.73,1.03,10.83,0.67,39.04
Diameter (ABD),11.75,5.00,19.40,2.39,20.31
Diameter (ESD),13.47,6.15,22.50,2.69,19.94
Elongation,3.02,1.00,31.98,2.23,73.84
Geodesic Aspect Ratio,0.45,0.03,1.00,0.26,57.66
Geodesic Length,21.29,6.88,50.87,7.63,35.83
Geodesic Thickness,8.01,1.59,15.29,2.12,26.49
Image Height,38.52,23.00,59.00,5.71,14.82
Image Width,38.76,25.00,53.00,5.53,14.27
Intensity,128.76,86.15,186.18,16.59,12.88
Length,15.40,6.64,25.59,3.12,20.29
Perimeter,58.62,27.52,104.92,13.95,23.81
Roughness,1.25,1.04,1.97,0.14,11.34
Sigma Intensity,39.71,11.96,56.69,8.86,22.30
Sum Intensity,69125.51,20265.00,1.83e+005,24611.46,35.60
Transparency,0.13,0.04,0.48,0.05,36.27
Volume (ABD),949.72,65.29,3822.73,500.39,52.69
Width,11.36,3.89,18.08,2.63,23.13

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,5,1.26,0.13,189,0.03
7-8um,14,3.54,0.56,529,0.12
8-9um,14,3.54,0.79,529,0.17
0-5um,0,0.00,0.00,0.00,0.00
5-10um,52,13.13,3.04,1965,0.65
10-15um,225,56.82,49.53,8504,11
15-20um,116,29.29,46.18,4384,9.85
20-25um,1,0.25,1.06,38,0.23
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,19,4.80,1.56,718,0.33
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

