List File,BB305.lst
Start Time,2016-10-18  17:13:34
Sampling Time,1 min 1 sec

Count,276
Particles / ml,10418

Efficiency,8.6%
PPUI,1.17

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),85.23,19.60,225.74,39.57,46.43
Aspect Ratio,0.79,0.44,0.98,0.11,14.56
Circle Fit,0.72,0.39,0.89,0.10,14.43
Circularity (Hu),0.91,0.52,0.99,0.07,7.86
Compactness,1.70,1.02,4.35,0.51,29.74
Diameter (ABD),10.14,5.00,16.95,2.38,23.47
Diameter (ESD),11.79,5.93,18.85,2.43,20.59
Elongation,2.92,1.00,11.57,1.75,59.94
Geodesic Aspect Ratio,0.45,0.09,1.00,0.23,51.82
Geodesic Length,18.52,7.35,38.36,5.69,30.73
Geodesic Thickness,7.35,2.71,15.40,2.38,32.41
Image Height,35.67,23.00,50.00,4.84,13.56
Image Width,35.50,24.00,51.00,5.12,14.42
Intensity,149.07,99.64,185.08,18.34,12.30
Length,13.52,6.64,21.57,2.80,20.68
Perimeter,51.74,27.84,85.35,10.87,21.01
Roughness,1.28,1.04,1.91,0.17,13.38
Sigma Intensity,40.50,16.51,56.97,6.68,16.48
Sum Intensity,64334.71,20975.00,1.56e+005,28555.03,44.39
Transparency,0.14,0.05,0.33,0.05,37.10
Volume (ABD),638.18,65.29,2551.36,446.04,69.89
Width,9.78,4.70,16.69,2.36,24.17

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,1,0.36,0.04,38,0.00
6-7um,8,2.90,0.44,302,0.04
7-8um,12,4.35,1.06,453,0.11
8-9um,12,4.35,1.55,453,0.16
0-5um,0,0.00,0.00,0.00,0.00
5-10um,59,21.38,7.30,2227,0.74
10-15um,186,67.39,68.18,7021,6.87
15-20um,30,10.87,24.33,1132,2.45
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,24,8.70,3.92,906,0.39
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

