List File,CH101.lst
Start Time,2016-10-14  13:03:20
Sampling Time,1 min 58 sec

Count,2300
Particles / ml,47925

Efficiency,16.2%
PPUI,2.01

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),65.22,19.81,222.81,24.64,37.78
Aspect Ratio,0.85,0.37,1.00,0.08,8.98
Circle Fit,0.78,0.06,0.95,0.08,9.75
Circularity (Hu),0.95,0.50,1.00,0.03,3.58
Compactness,1.57,1.00,5.17,0.41,25.89
Diameter (ABD),8.96,5.02,16.84,1.69,18.82
Diameter (ESD),10.28,5.75,22.40,2.00,19.45
Elongation,2.50,1.00,14.18,1.40,55.91
Geodesic Aspect Ratio,0.53,0.07,1.00,0.28,53.32
Geodesic Length,15.75,6.25,48.75,5.89,37.38
Geodesic Thickness,6.96,2.06,12.34,1.60,22.95
Image Height,33.04,24.00,59.00,4.04,12.24
Image Width,32.66,24.00,63.00,4.03,12.35
Intensity,137.64,94.29,176.28,15.27,11.10
Length,11.49,6.11,27.99,2.34,20.41
Perimeter,45.42,24.98,108.70,10.44,22.99
Roughness,1.24,1.03,2.13,0.14,11.14
Sigma Intensity,37.48,11.07,52.78,7.95,21.21
Sum Intensity,47736.97,17300.00,1.29e+005,16470.69,34.50
Transparency,0.13,0.03,0.41,0.04,33.27
Volume (ABD),416.83,66.31,2501.88,240.05,57.59
Width,8.95,4.72,15.15,1.79,19.95

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,8,0.35,0.06,167,0.02
6-7um,48,2.09,0.50,1000,0.15
7-8um,249,10.83,3.80,5188,1.16
8-9um,338,14.70,7.50,7043,2.29
0-5um,0,0.00,0.00,0.00,0.00
5-10um,1049,45.61,24.19,21858,7.37
10-15um,1212,52.70,70.63,25254,22
15-20um,26,1.13,4.09,542,1.25
20-25um,2,0.09,0.70,42,0.21
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,395,17.17,12.13,8231,3.70
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

