List File,BB302.lst
Start Time,2016-10-18  16:34:54
Sampling Time,1 min 1 sec

Count,1416
Particles / ml,53727

Efficiency,8.5%
PPUI,2.28

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),73.04,19.60,191.56,29.74,40.72
Aspect Ratio,0.83,0.41,1.00,0.08,9.93
Circle Fit,0.79,0.27,0.95,0.07,9.31
Circularity (Hu),0.95,0.65,1.00,0.03,3.04
Compactness,1.44,1.00,3.95,0.34,23.35
Diameter (ABD),9.45,5.00,15.62,1.90,20.14
Diameter (ESD),10.61,5.71,17.54,2.11,19.88
Elongation,2.06,1.00,10.31,1.16,56.56
Geodesic Aspect Ratio,0.64,0.10,1.00,0.30,47.16
Geodesic Length,14.67,6.25,40.41,5.40,36.80
Geodesic Thickness,7.97,3.29,15.76,2.01,25.18
Image Height,33.73,24.00,55.00,4.50,13.35
Image Width,33.10,23.00,48.00,4.05,12.25
Intensity,139.86,94.12,179.38,17.17,12.28
Length,11.88,6.11,22.38,2.42,20.40
Perimeter,45.27,24.98,88.67,9.80,21.66
Roughness,1.20,1.03,1.75,0.13,10.48
Sigma Intensity,37.84,10.70,52.84,8.74,23.10
Sum Intensity,53152.00,20081.00,1.41e+005,20576.91,38.71
Transparency,0.11,0.03,0.26,0.04,37.86
Volume (ABD),497.76,65.29,1994.50,310.63,62.41
Width,9.15,4.04,14.80,1.94,21.17

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,2,0.14,0.02,76,0.01
6-7um,35,2.47,0.54,1328,0.20
7-8um,97,6.85,2.24,3680,0.84
8-9um,200,14.12,6.50,7589,2.45
0-5um,0,0.00,0.00,0.00,0.00
5-10um,587,41.45,20.66,22272,7.79
10-15um,788,55.65,71.11,29899,27
15-20um,38,2.68,7.95,1442,3.00
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,248,17.51,11.21,9410,4.22
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

