List File,TT103_R2.lst
Start Time,2016-10-28  15:36:52
Sampling Time,59 sec

Count,526
Particles / ml,20743

Efficiency,8.5%
PPUI,1.47

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),121.31,19.60,255.68,44.09,36.34
Aspect Ratio,0.76,0.14,0.99,0.15,19.23
Circle Fit,0.67,0.11,0.93,0.11,17.15
Circularity (Hu),0.89,0.22,1.00,0.10,11.28
Compactness,1.94,1.04,7.27,0.84,43.32
Diameter (ABD),12.17,5.00,18.04,2.50,20.55
Diameter (ESD),14.20,5.98,21.91,2.59,18.27
Elongation,3.73,1.00,20.78,2.78,74.45
Geodesic Aspect Ratio,0.39,0.05,1.00,0.24,61.70
Geodesic Length,23.72,7.16,73.18,8.37,35.30
Geodesic Thickness,7.79,1.45,17.45,2.56,32.79
Image Height,40.16,23.00,57.00,5.89,14.66
Image Width,39.70,22.00,59.00,5.82,14.66
Intensity,129.62,83.99,187.34,20.75,16.01
Length,16.46,7.06,24.86,2.92,17.76
Perimeter,63.03,27.84,153.78,14.88,23.61
Roughness,1.28,1.04,2.41,0.19,14.82
Sigma Intensity,39.71,7.43,57.44,8.33,20.97
Sum Intensity,73476.18,22749.00,1.60e+005,26180.00,35.63
Transparency,0.15,0.03,0.58,0.07,47.73
Volume (ABD),1056.92,65.29,3075.52,535.56,50.67
Width,11.67,2.52,19.11,2.91,24.93

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,1,0.19,0.01,39,0.00
6-7um,6,1.14,0.11,237,0.04
7-8um,7,1.33,0.18,276,0.06
8-9um,9,1.71,0.34,355,0.12
0-5um,0,0.00,0.00,0.00,0.00
5-10um,40,7.60,1.51,1577,0.51
10-15um,283,53.80,41.43,11160,14
15-20um,196,37.26,53.89,7729,18
20-25um,5,0.95,2.77,197,0.94
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,15,2.85,0.78,592,0.27
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

