List File,BB161_copy.lst
Start Time,2016-08-12  14:23:57
Sampling Time,2 min 23 sec

Count,120  of  120
Particles / ml,2055

Efficiency,16.3%
PPUI,1.06

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),124.60,19.81,299.10,56.45,45.30
Aspect Ratio,0.74,0.43,0.95,0.12,15.59
Circle Fit,0.70,0.42,0.87,0.09,13.46
Circularity (Hu),0.90,0.48,0.98,0.09,10.04
Compactness,1.81,1.07,4.67,0.67,37.16
Diameter (ABD),12.17,5.02,19.51,3.25,26.67
Diameter (ESD),13.99,6.56,23.13,3.19,22.82
Elongation,3.31,1.00,12.58,2.25,67.77
Geodesic Aspect Ratio,0.41,0.08,1.00,0.23,55.28
Geodesic Length,22.05,9.04,65.64,6.91,31.31
Geodesic Thickness,8.18,1.92,14.07,2.79,34.05
Image Height,39.45,25.00,58.00,6.21,15.75
Image Width,39.70,23.00,56.00,6.68,16.83
Intensity,130.01,87.20,180.96,23.07,17.74
Length,16.26,7.26,25.59,3.57,21.97
Perimeter,60.46,31.29,142.41,14.08,23.29
Roughness,1.25,1.05,2.20,0.19,14.97
Sigma Intensity,39.07,22.58,55.99,9.45,24.20
Sum Intensity,73587.28,23850.00,1.93e+005,31836.37,43.26
Transparency,0.14,0.04,0.40,0.08,54.50
Volume (ABD),1130.47,66.31,3891.22,694.04,61.39
Width,11.42,4.40,20.17,3.11,27.20

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,2,1.67,0.15,34,0.01
7-8um,5,4.17,0.56,86,0.02
8-9um,6,5.00,0.95,103,0.03
0-5um,0,0.00,0.00,0.00,0.00
5-10um,16,13.33,2.22,274,0.08
10-15um,50,41.67,31.87,856,1.08
15-20um,51,42.50,58.67,873,1.99
20-25um,2,1.67,6.34,34,0.21
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,2,1.67,0.42,34,0.01
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

