List File,CH253REAL.lst
Start Time,2016-08-12  15:38:45
Sampling Time,1 min 57 sec

Count,405  of  406
Particles / ml,8445

Efficiency,16.3%
PPUI,1.15

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),80.04,19.81,238.81,41.27,51.56
Aspect Ratio,0.79,0.27,0.99,0.13,16.09
Circle Fit,0.70,0.14,0.94,0.15,20.83
Circularity (Hu),0.88,0.27,1.00,0.13,14.73
Compactness,2.13,1.03,8.23,1.21,56.71
Diameter (ABD),9.76,5.02,17.44,2.57,26.29
Diameter (ESD),11.68,6.16,21.10,2.79,23.85
Elongation,4.31,1.00,23.80,3.97,91.97
Geodesic Aspect Ratio,0.42,0.04,1.00,0.30,69.86
Geodesic Length,20.52,7.35,56.78,9.31,45.37
Geodesic Thickness,6.68,1.69,13.79,2.76,41.32
Image Height,36.15,23.00,61.00,5.77,15.96
Image Width,34.56,24.00,56.00,5.18,14.99
Intensity,141.51,86.92,179.11,20.29,14.34
Length,13.34,6.98,25.95,3.32,24.86
Perimeter,54.41,27.97,121.20,16.42,30.17
Roughness,1.33,1.05,2.24,0.23,17.61
Sigma Intensity,36.80,7.44,52.44,8.23,22.37
Sum Intensity,56452.03,19974.00,1.44e+005,24808.07,43.95
Transparency,0.17,0.04,0.53,0.09,55.11
Volume (ABD),590.65,66.31,2776.16,454.60,76.97
Width,9.76,3.51,17.45,2.55,26.14

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,7,1.73,0.26,146,0.02
7-8um,20,4.94,1.15,417,0.10
8-9um,38,9.38,3.13,792,0.26
0-5um,0,0.00,0.00,0.00,0.00
5-10um,117,28.89,10.44,2440,0.87
10-15um,240,59.26,57.44,5004,4.77
15-20um,43,10.62,28.17,897,2.34
20-25um,3,0.74,3.38,63,0.28
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,51,12.59,5.80,1063,0.48
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

